strategy_id,window_id,decision_date,holding_end_date,trading_days,is_complete_period,gross_return,net_return,wealth,drawdown,turnover,turnover_convention,transaction_cost,financing_cost,financing_year_fraction,short_notional,cash_borrow_notional,gross_exposure,net_exposure,w_SP500,w_NASDAQ,w_DOW,w_SSE50,w_DIVIDEND,w_CHINEXT,w_GOLD
a2c_lstm_full__seed_20261001,locked_oos_v1,2024-07-31,2024-08-30,22,True,-0.018119132668286353,-0.018778221068124323,98122.17789318757,-0.018778221068124212,0.616235210959401,drifted_pretrade_v1,0.000616235210959401,5.52410624352696e-05,0.0821917808219178,0.022403319765414598,4.440892098500626e-16,1.0448066395308295,1.0000000000000004,0.157911230144756,0.18770441812064,0.149518419323223,-0.0111990074760148,0.266335074124592,0.260934178052204,-0.0112043122893998
a2c_lstm_full__seed_20261001,locked_oos_v1,2024-08-30,2024-09-30,18,True,0.1597240988564288,0.1596140234973451,113783.85350104149,0.0,0.03765192714798306,drifted_pretrade_v1,3.765192714798306e-05,5.726770367728592e-05,0.08493150684931507,0.022476034238934503,4.440892098500626e-16,1.0449520684778695,1.0000000000000004,0.156125167384744,0.186107853427529,0.150837788358331,-0.0112753314897418,0.267278367653489,0.262126857414842,-0.0112007027491927
a2c_lstm_full__seed_20261001,locked_oos_v1,2024-09-30,2024-10-31,18,True,-0.037089696889030854,-0.0372639621329246,109543.81629284045,-0.03726396213292449,0.12449906567397197,drifted_pretrade_v1,0.00012449906567397196,5.6494962835937097e-05,0.08493150684931507,0.0221727542313082,6.661338147750939e-16,1.0443455084626172,1.0000000000000007,0.155911217177553,0.178448165500803,0.162011096919222,-0.0111749389075807,0.255950267160577,0.269852007473154,-0.0109978153237275
a2c_lstm_full__seed_20261001,locked_oos_v1,2024-10-31,2024-11-29,20,True,0.043912025720377335,0.04381131508335301,114343.07494387902,0.0,0.04322937395070722,drifted_pretrade_v1,4.322937395070722e-05,5.324953696061825e-05,0.07945205479452055,0.022340322977730198,6.661338147750939e-16,1.0446806459554614,1.0000000000000007,0.155159076143588,0.178926055718746,0.155307849336948,-0.0112657841028912,0.263291483212795,0.269655858565654,-0.011074538874839
a2c_lstm_full__seed_20261001,locked_oos_v1,2024-11-29,2024-12-31,21,True,-0.008216645661343724,-0.008300492266024584,113393.97113463389,-0.008300492266024584,0.02618151686129797,drifted_pretrade_v1,2.618151686129797e-05,5.836330712891362e-05,0.08767123287671233,0.0221902157313057,0.0,1.0443804314626108,0.9999999999999994,0.153409833221563,0.182006860284933,0.151805753021368,-0.0111761212881122,0.263718867807516,0.271248901395925,-0.0110140944431935
a2c_lstm_full__seed_20261001,locked_oos_v1,2024-12-31,2025-01-27,16,True,-0.01718367441899582,-0.017268603228121515,111435.81563864883,-0.025425757586606035,0.036820487172551174,drifted_pretrade_v1,3.682048717255118e-05,4.9596960964356135e-05,0.07397260273972603,0.0223492478419628,2.220446049250313e-16,1.0446984956839258,1.0000000000000002,0.157621704441096,0.183817156058337,0.151540868383433,-0.0113256597625358,0.260568060380008,0.268801458579089,-0.011023588079427
a2c_lstm_full__seed_20261001,locked_oos_v1,2025-01-27,2025-02-28,17,True,-0.00466711723168578,-0.004774693570703925,110903.74376617282,-0.030079050956030917,0.04923438634553513,drifted_pretrade_v1,4.923438634553514e-05,5.8852219418303735e-05,0.08767123287671233,0.0223761042580009,0.0,1.0447522085160017,1.0,0.155342969112098,0.181851896457374,0.151657613925636,-0.0112690329551697,0.265032264403999,0.268491360358894,-0.0111070713028312
a2c_lstm_full__seed_20261001,locked_oos_v1,2025-02-28,2025-03-31,21,True,-0.0339318666977908,-0.034013325630909086,107131.53861576707,-0.06306928803210388,0.0274927687862708,drifted_pretrade_v1,2.74927687862708e-05,5.683085686160881e-05,0.08493150684931507,0.0223045836069755,0.0,1.0446091672139497,0.9999999999999986,0.155855343544057,0.18064388712602,0.154196769797376,-0.0112962994192328,0.262303353154233,0.269305229985288,-0.0110082841877427
a2c_lstm_full__seed_20261001,locked_oos_v1,2025-03-31,2025-04-30,20,True,-0.026731550475258214,-0.02682092231248956,104258.17194133611,-0.08819863386998039,0.03647224034405044,drifted_pretrade_v1,3.647224034405044e-05,5.535847797202528e-05,0.0821917808219178,0.0224509382886547,0.0,1.0449018765773088,0.9999999999999994,0.158745130790131,0.180632746113198,0.153729534042733,-0.0113778866029212,0.260768821729081,0.268574705613511,-0.0110730516857335
a2c_lstm_full__seed_20261001,locked_oos_v1,2025-04-30,2025-05-30,18,True,0.047405233231677,0.04732581423232096,109192.27481883316,-0.045046891799734645,0.02046371182995827,drifted_pretrade_v1,2.0463711829958273e-05,5.536368328152082e-05,0.0821917808219178,0.022453049330839,0.0,1.044906098661678,1.0,0.156928532224681,0.182691179615046,0.152251430254962,-0.0113218012931091,0.264750771623637,0.265831135612513,-0.0111312480377299
