label,reference_experiment_id,alternative_experiment_id,window_count,observations,observed_mean_crra_utility_difference,annualized_ce_difference,annualized_ce_ci_lower,annualized_ce_ci_upper,raw_one_sided_p_reference_greater,holm_adjusted_p_value,reference_superiority_signal,opposite_direction_signal
Direct raw NN-vine state contribution,full_vine_state_and_cvar_observation,zero_vine_features_keep_cvar_observation,2,46,-0.00023411714319936046,-0.002980167927767452,-0.02820352009292073,0.024633433824606775,0.5919,1.0,False,False
Joint policy-visible dependence contribution,full_vine_state_and_cvar_observation,zero_vine_features_and_cvar_observation,2,46,-0.00382665846899345,-0.04987039854436426,-0.0875927538382747,-0.006685238306183907,0.994,1.0,False,True
