window_id,comparison_family,label,reference_experiment_id,alternative_experiment_id,reference_total_return,alternative_total_return,difference_total_return,reference_cagr,alternative_cagr,difference_cagr,reference_annual_volatility,alternative_annual_volatility,difference_annual_volatility,reference_sharpe_ratio,alternative_sharpe_ratio,difference_sharpe_ratio,reference_max_drawdown,alternative_max_drawdown,difference_max_drawdown,reference_annualized_certainty_equivalent_return,alternative_annualized_certainty_equivalent_return,difference_annualized_certainty_equivalent_return,reference_mean_monthly_turnover,alternative_mean_monthly_turnover,difference_mean_monthly_turnover,reference_mean_gross_exposure,alternative_mean_gross_exposure,difference_mean_gross_exposure,reference_mean_short_notional,alternative_mean_short_notional,difference_mean_short_notional,reference_implementation_drag_total_return,alternative_implementation_drag_total_return,difference_implementation_drag_total_return
retrospective_original_7asset_expanding_24m_v1_w01,mechanism,Direct raw NN-vine state contribution,full_vine_state_and_cvar_observation,zero_vine_features_keep_cvar_observation,-0.016642006192365444,-0.012817576436304656,-0.0038244297560607876,-0.008700085470041308,-0.006694548155146807,-0.002005537314894501,0.1437302989803197,0.11146803984198744,0.03226225913833225,0.008551590578645988,-0.0063068322379922544,0.014858422816638243,0.2046226602684721,0.1663045218187934,0.038318138449678685,-0.01861960540379115,-0.012721552260310909,-0.005898053143480242,0.3613272618544106,0.23384697767404763,0.12748028418036297,1.1044493066667584,1.0161919659269707,0.08825734073978775,0.05222465333337918,0.008095982963485371,0.04412867036989381,0.011231434113463168,0.005780251260797509,0.005451182852665659
retrospective_original_7asset_expanding_24m_v1_w01,mechanism,Joint policy-visible dependence contribution,full_vine_state_and_cvar_observation,zero_vine_features_and_cvar_observation,-0.016642006192365444,0.050056916210695857,-0.0666989224030613,-0.008700085470041308,0.02575868284826832,-0.03445876831830963,0.1437302989803197,0.1135986656655134,0.030131633314806297,0.008551590578645988,0.27879546271576316,-0.2702438721371172,0.2046226602684721,0.1548829554936909,0.04973970477478118,-0.01861960540379115,0.019363561208064928,-0.03798316661185608,0.3613272618544106,0.4401520353806628,-0.07882477352625217,1.1044493066667584,1.0582855027701172,0.04616380389664121,0.05222465333337918,0.029142751385058653,0.023081901948320528,0.011231434113463168,0.012489802551876483,-0.0012583684384133154
retrospective_original_7asset_expanding_24m_v1_w01,financial_benchmark,Scenario-CVaR representation minus equal_weight,zero_vine_features_keep_cvar_observation,equal_weight,-0.012817576436304656,-0.05814875220552784,0.045331175769223186,-0.006694548155146807,-0.030711656882795313,0.024017108727648506,0.11146803984198744,0.11210400859527153,-0.0006359687532840885,-0.0063068322379922544,-0.2235259845516856,0.21721915231369335,0.1663045218187934,0.1744162329090464,-0.008111711090252993,-0.012721552260310909,-0.03668874490639973,0.02396719264608882,0.23384697767404763,0.03465343316647552,0.19919354450757212,1.0161919659269707,1.0000000000000007,0.01619196592697003,0.008095982963485371,0.0,0.008095982963485371,0.005780251260797509,0.0007509819605995283,0.0050292693001979805
retrospective_original_7asset_expanding_24m_v1_w01,financial_benchmark,Scenario-CVaR representation minus shrinkage_mean_variance,zero_vine_features_keep_cvar_observation,shrinkage_mean_variance,-0.012817576436304656,-0.1489117658100101,0.13609418937370543,-0.006694548155146807,-0.08052730637435201,0.07383275821920521,0.11146803984198744,0.16011065845880856,-0.04864261861682112,-0.0063068322379922544,-0.444249694119022,0.4379428618810297,0.1663045218187934,0.2571028319477503,-0.0907983101289569,-0.012721552260310909,-0.09224566790369693,0.07952411564338602,0.23384697767404763,0.056617993442923696,0.17722898423112393,1.0161919659269707,1.0007537280914343,0.01543823783553644,0.008095982963485371,0.0003768640457163658,0.007719118917769005,0.005780251260797509,0.0011277673589407122,0.0046524839018567965
retrospective_original_7asset_expanding_24m_v1_w01,financial_benchmark,Scenario-CVaR representation minus dcc_garch,zero_vine_features_keep_cvar_observation,dcc_garch,-0.012817576436304656,-0.12145295522859034,0.10863537879228569,-0.006694548155146807,-0.06519870483284151,0.05850415667769471,0.11146803984198744,0.12744964323903063,-0.015981603397043187,-0.0063068322379922544,-0.4643876821997886,0.4580808499617963,0.1663045218187934,0.23511925859773264,-0.06881473677893923,-0.012721552260310909,-0.072971414673764,0.06024986241345309,0.23384697767404763,0.1280751033275479,0.10577187434649973,1.0161919659269707,1.000017478485721,0.01617448744124972,0.008095982963485371,8.739242860418196e-06,0.008087243720624953,0.005780251260797509,0.002592218032653082,0.003188033228144427
retrospective_original_7asset_expanding_24m_v1_w01,financial_benchmark,Scenario-CVaR representation minus static_vine,zero_vine_features_keep_cvar_observation,static_vine,-0.012817576436304656,0.025365546775729664,-0.03818312321203432,-0.006694548155146807,0.013128153028984402,-0.01982270118413121,0.11146803984198744,0.1424575718439811,-0.03098953200199367,-0.0063068322379922544,0.16002287132225035,-0.1663297035602426,0.1663045218187934,0.15521384567029484,0.011090676148498568,-0.012721552260310909,0.0032516046525321585,-0.015973156912843067,0.23384697767404763,0.8308382381397429,-0.5969912604656953,1.0161919659269707,1.4541108383682253,-0.4379188724412546,0.008095982963485371,0.22705541918411243,-0.21895943622062705,0.005780251260797509,0.033536581135463095,-0.027756329874665586
retrospective_original_7asset_expanding_24m_v1_w01,financial_benchmark,Scenario-CVaR representation minus rolling_vine,zero_vine_features_keep_cvar_observation,rolling_vine,-0.012817576436304656,-0.16852744411090848,0.15570986767460382,-0.006694548155146807,-0.09162319753925008,0.08492864938410327,0.11146803984198744,0.1674960862395341,-0.05602804639754666,-0.0063068322379922544,-0.49089494620930224,0.48458811397130996,0.1663045218187934,0.2670670306896027,-0.10076250887080929,-0.012721552260310909,-0.10388342672625328,0.09116187446594237,0.23384697767404763,1.2366745885419907,-1.002827610867943,1.0161919659269707,1.487599526967237,-0.4714075610402664,0.008095982963485371,0.24379976348361607,-0.2357037805201307,0.005780251260797509,0.036084752084386884,-0.030304500823589375
retrospective_original_7asset_expanding_24m_v1_w01,financial_benchmark,Scenario-CVaR representation minus dynamic_nn_vine,zero_vine_features_keep_cvar_observation,dynamic_nn_vine,-0.012817576436304656,0.02488456092948277,-0.037702137365787425,-0.006694548155146807,0.012880672156476702,-0.01957522031162351,0.11146803984198744,0.14083121243558241,-0.02936317259359497,-0.0063068322379922544,0.1585367776294085,-0.16484360986740074,0.1663045218187934,0.13972454158628766,0.02657998023250574,-0.012721552260310909,0.0032378664780012834,-0.015959418738312192,0.23384697767404763,0.780266458539277,-0.5464194808652294,1.0161919659269707,1.456930537541408,-0.4407385716144374,0.008095982963485371,0.22846526877070084,-0.22036928580721546,0.005780251260797509,0.032401179182249384,-0.026620927921451876
retrospective_original_7asset_expanding_24m_v1_w02,mechanism,Direct raw NN-vine state contribution,full_vine_state_and_cvar_observation,zero_vine_features_keep_cvar_observation,0.29796079775809226,0.29823673220559943,-0.00027593444750717566,0.14500081754030814,0.14512719379720695,-0.00012637625689881915,0.09178169562952276,0.0980100631006201,-0.00622836747109734,1.5268354115488472,1.4364033390770838,0.09043207247176333,0.0360666642166666,0.04661078572460553,-0.01054412150793893,0.14055121152445582,0.14010006149970589,0.0004511500247499356,0.27030184256450573,0.3248925220607584,-0.05459067949625268,1.03154686430689,1.0026823117172126,0.02886455258967735,0.015773432153444823,0.0013411558586062869,0.014432276294838536,0.00926698335269105,0.009835613382275898,-0.000568630029584849
retrospective_original_7asset_expanding_24m_v1_w02,mechanism,Joint policy-visible dependence contribution,full_vine_state_and_cvar_observation,zero_vine_features_and_cvar_observation,0.29796079775809226,0.4367804995680067,-0.13881970180991443,0.14500081754030814,0.20702883718743204,-0.0620280196471239,0.09178169562952276,0.07199774945819551,0.019783946171327255,1.5268354115488472,2.6680538934181652,-1.141218481869318,0.0360666642166666,0.0314239617546318,0.004642702462034798,0.14055121152445582,0.20412830220517186,-0.06357709068071604,0.27030184256450573,0.2392679611251325,0.031033881439373245,1.03154686430689,1.117657676540454,-0.0861108122335641,0.015773432153444823,0.05882883827022696,-0.04305540611678214,0.00926698335269105,0.012819690506750803,-0.0035527071540597532
