contrast_id,family,method,block_length,observations,annualized_ce_difference,mean_period_crra_utility_difference,ci_lower,ci_upper,one_sided_p_candidate_greater,two_sided_p,bootstrap_replications,holm_p_candidate_greater,positive_effect_holm_0_05,confirmatory_claim_created
primary_vs_dynamic_nn_vine,frozen_primary_benchmarks,moving_block,1,22,-0.002477705912159678,-0.00015833564354756307,-0.16456856920276686,0.1511494337808535,0.501289974200516,0.9744205115897682,50000,1.0,False,False
primary_vs_equal_weight,frozen_primary_benchmarks,moving_block,1,22,0.04649011609167775,0.00303408611022313,-0.11740798375543475,0.18759124059741364,0.27647447051058976,0.5312693746125078,50000,0.8294234115317694,False,False
primary_vs_static_vine,frozen_primary_benchmarks,moving_block,1,22,-0.01496326362785183,-0.0009512016368068018,-0.16622875264133466,0.11776031400374942,0.5779884402311953,0.8268234635307293,50000,1.0,False,False
joint_visible_dependence_contribution,post_holdout_causal_components,moving_block,1,22,0.0249867274774227,0.0016593387815081009,-0.030936441497351842,0.08875350762800255,0.20423591528169435,0.4097718045639087,50000,0.4084718305633887,False,False
raw_vine_state_contribution,post_holdout_causal_components,moving_block,1,22,-0.07206402826591951,-0.004591322485597798,-0.1377746313482939,-0.019859578936750853,0.99620007599848,0.005699886002279954,50000,0.99620007599848,False,False
concentrated_synthetic_vs_full_state,post_holdout_presentation_mechanism,moving_block,1,22,0.04923653177823617,0.003137463347710731,-0.04830907972059243,0.1608627956369096,0.17095658086838264,0.34285314293714125,50000,0.17095658086838264,False,False
historical_vs_original_bootstrap,post_holdout_pretraining_sources,moving_block,1,22,0.18908216047207138,0.011442070935335785,0.06164023163152627,0.37365040289153534,0.0064598708025839485,0.007159856802863943,50000,0.0064598708025839485,True,False
concentrated_synthetic_vs_bootstrap_masked,post_holdout_terminal_pretraining_controls,moving_block,1,22,0.06538796910223565,0.004195700529425624,-0.08364471300157626,0.22524469762058236,0.18355632887342252,0.370372592548149,50000,0.36711265774684504,False,False
concentrated_synthetic_vs_historical_masked,post_holdout_terminal_pretraining_controls,moving_block,1,22,-0.012781590805198473,-0.0007935850387363431,-0.1848721525802634,0.19535173046280818,0.5463290734185317,0.8911821763564729,50000,0.5463290734185317,False,False
focused_joint_visible_dependence_contribution,retrospective_focused_mechanisms,moving_block,1,46,-0.04987039854436426,-0.00382665846899345,-0.0914414932554883,0.0007257823781880017,0.9826603467930641,0.04367912641747165,50000,1.0,False,False
focused_raw_vine_state_contribution,retrospective_focused_mechanisms,moving_block,1,46,-0.002980167927767452,-0.00023411714319936046,-0.03576377024280442,0.033378264224568535,0.5698686026279475,0.8617227655446891,50000,1.0,False,False
primary_vs_dynamic_nn_vine,frozen_primary_benchmarks,moving_block,2,22,-0.002477705912159678,-0.00015833564354756307,-0.18908331109635929,0.159121315104448,0.500989980200396,0.9770204595908082,50000,1.0,False,False
primary_vs_equal_weight,frozen_primary_benchmarks,moving_block,2,22,0.04649011609167775,0.00303408611022313,-0.08398768332432295,0.17231690105032393,0.23235535289294215,0.4548909021819564,50000,0.6970660586788264,False,False
primary_vs_static_vine,frozen_primary_benchmarks,moving_block,2,22,-0.01496326362785183,-0.0009512016368068018,-0.17681051525079874,0.12488265598834203,0.5628887422251555,0.8400431991360173,50000,1.0,False,False
joint_visible_dependence_contribution,post_holdout_causal_components,moving_block,2,22,0.0249867274774227,0.0016593387815081009,-0.031551129952340176,0.08291851493924272,0.1972560548789024,0.39293214135717286,50000,0.3945121097578048,False,False
raw_vine_state_contribution,post_holdout_causal_components,moving_block,2,22,-0.07206402826591951,-0.004591322485597798,-0.14269443050705397,-0.021261529377121113,0.992460150796984,0.007739845203095938,50000,0.992460150796984,False,False
concentrated_synthetic_vs_full_state,post_holdout_presentation_mechanism,moving_block,2,22,0.04923653177823617,0.003137463347710731,-0.0474743603344166,0.16705933376290172,0.1730365392692146,0.34209315813683727,50000,0.1730365392692146,False,False
historical_vs_original_bootstrap,post_holdout_pretraining_sources,moving_block,2,22,0.18908216047207138,0.011442070935335785,0.07079544551458423,0.3655016182689188,0.004199916001679967,0.004259914801703966,50000,0.004199916001679967,True,False
concentrated_synthetic_vs_bootstrap_masked,post_holdout_terminal_pretraining_controls,moving_block,2,22,0.06538796910223565,0.004195700529425624,-0.07278964900802914,0.24046786698106845,0.1856762864742705,0.375372492550149,50000,0.371352572948541,False,False
concentrated_synthetic_vs_historical_masked,post_holdout_terminal_pretraining_controls,moving_block,2,22,-0.012781590805198473,-0.0007935850387363431,-0.18148739648516,0.20923901507689907,0.5311493770124598,0.8934421311573768,50000,0.5311493770124598,False,False
focused_joint_visible_dependence_contribution,retrospective_focused_mechanisms,moving_block,2,46,-0.04987039854436426,-0.00382665846899345,-0.08867794703586795,-0.006643818415229234,0.9924201515969681,0.01993960120797584,50000,1.0,False,False
focused_raw_vine_state_contribution,retrospective_focused_mechanisms,moving_block,2,46,-0.002980167927767452,-0.00023411714319936046,-0.03277147027193373,0.029207851921245465,0.5763884722305553,0.8473830523389532,50000,1.0,False,False
primary_vs_dynamic_nn_vine,frozen_primary_benchmarks,moving_block,3,22,-0.002477705912159678,-0.00015833564354756307,-0.1826031796559953,0.14329865516822005,0.502029959400812,0.9743405131897362,50000,1.0,False,False
primary_vs_equal_weight,frozen_primary_benchmarks,moving_block,3,22,0.04649011609167775,0.00303408611022313,-0.09001251019885786,0.16737033446511876,0.24283514329713407,0.4631707365852683,50000,0.7285054298914022,False,False
primary_vs_static_vine,frozen_primary_benchmarks,moving_block,3,22,-0.01496326362785183,-0.0009512016368068018,-0.17587805497371753,0.11633673499662202,0.5705285894282114,0.8353232935341293,50000,1.0,False,False
joint_visible_dependence_contribution,post_holdout_causal_components,moving_block,3,22,0.0249867274774227,0.0016593387815081009,-0.029472366326272377,0.07858021695604693,0.1877762444751105,0.372912541749165,50000,0.375552488950221,False,False
raw_vine_state_contribution,post_holdout_causal_components,moving_block,3,22,-0.07206402826591951,-0.004591322485597798,-0.13665350576575297,-0.024847850318836528,0.9954800903981921,0.004619907601847963,50000,0.9954800903981921,False,False
concentrated_synthetic_vs_full_state,post_holdout_presentation_mechanism,moving_block,3,22,0.04923653177823617,0.003137463347710731,-0.05284498310133708,0.17426360484075987,0.1882162356752865,0.37807243855122896,50000,0.1882162356752865,False,False
historical_vs_original_bootstrap,post_holdout_pretraining_sources,moving_block,3,22,0.18908216047207138,0.011442070935335785,0.0720654978033987,0.3578554591709494,0.0023999520009599807,0.0023999520009599807,50000,0.0023999520009599807,True,False
concentrated_synthetic_vs_bootstrap_masked,post_holdout_terminal_pretraining_controls,moving_block,3,22,0.06538796910223565,0.004195700529425624,-0.05151443952345456,0.23513585008403287,0.16353672926541468,0.32695346093078137,50000,0.32707345853082936,False,False
concentrated_synthetic_vs_historical_masked,post_holdout_terminal_pretraining_controls,moving_block,3,22,-0.012781590805198473,-0.0007935850387363431,-0.1641184349296745,0.20700074971532956,0.5290094198116038,0.8922821543569128,50000,0.5290094198116038,False,False
focused_joint_visible_dependence_contribution,retrospective_focused_mechanisms,moving_block,3,46,-0.04987039854436426,-0.00382665846899345,-0.0901810474996006,-0.006493222344004374,0.992560148797024,0.019879602407951842,50000,1.0,False,False
focused_raw_vine_state_contribution,retrospective_focused_mechanisms,moving_block,3,46,-0.002980167927767452,-0.00023411714319936046,-0.027900926098619248,0.02308564968108834,0.5964080718385633,0.8178236435271294,50000,1.0,False,False
primary_vs_dynamic_nn_vine,frozen_primary_benchmarks,moving_block,4,22,-0.002477705912159678,-0.00015833564354756307,-0.17830777570080272,0.13325193354114162,0.5037499250015,0.9752804943901122,50000,1.0,False,False
primary_vs_equal_weight,frozen_primary_benchmarks,moving_block,4,22,0.04649011609167775,0.00303408611022313,-0.08565039982762668,0.16778179130578488,0.24789504209915803,0.4760304793904122,50000,0.7436851262974741,False,False
primary_vs_static_vine,frozen_primary_benchmarks,moving_block,4,22,-0.01496326362785183,-0.0009512016368068018,-0.16618493241650473,0.10766540047130564,0.5707885842283155,0.8262834743305134,50000,1.0,False,False
