source_id,canonical_strategy_id,window_id,holding_end_date,daily_observations,gross_error,net_error,reconciliation_pass
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2024-08-30,22,7.771561172376096e-16,5.551115123125783e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2024-09-30,18,-2.220446049250313e-16,-4.440892098500626e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2024-10-31,18,6.661338147750939e-16,3.3306690738754696e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2024-11-29,20,-1.7763568394002505e-15,-1.3322676295501878e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2024-12-31,21,-1.4432899320127035e-15,-1.2212453270876722e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-01-27,16,-3.3306690738754696e-16,3.3306690738754696e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-02-28,17,2.220446049250313e-16,-2.220446049250313e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-03-31,21,2.220446049250313e-16,-8.881784197001252e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-04-30,20,-9.992007221626409e-16,-9.992007221626409e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-05-30,18,4.440892098500626e-16,1.5543122344752192e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-06-30,19,0.0,-8.881784197001252e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-07-31,22,-6.661338147750939e-16,-8.881784197001252e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-08-29,21,-1.5543122344752192e-15,-4.440892098500626e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-09-30,21,1.7763568394002505e-15,2.6645352591003757e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-10-31,17,-2.220446049250313e-16,-8.881784197001252e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-11-28,19,5.551115123125783e-16,1.1102230246251565e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2025-12-31,22,2.220446049250313e-16,-1.3322676295501878e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2026-01-30,19,-4.440892098500626e-16,-2.220446049250313e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2026-02-27,14,0.0,-5.551115123125783e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2026-03-31,22,-1.3322676295501878e-15,-1.1102230246251565e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2026-04-30,20,0.0,4.440892098500626e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2026-05-29,17,-6.661338147750939e-16,4.440892098500626e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2026-06-30,21,1.1102230246251565e-16,0.0,True
causal_components,causal_components::a2c_lstm_full__seed_20261001,locked_oos_v1,2026-07-06,3,1.2212453270876722e-15,1.4432899320127035e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2024-08-30,22,2.220446049250313e-16,3.3306690738754696e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2024-09-30,18,8.881784197001252e-16,0.0,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2024-10-31,18,-2.220446049250313e-16,-7.771561172376096e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2024-11-29,20,0.0,8.881784197001252e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2024-12-31,21,-2.3314683517128287e-15,-1.4432899320127035e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2025-01-27,16,1.3322676295501878e-15,1.1102230246251565e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2025-02-28,17,8.881784197001252e-16,0.0,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2025-03-31,21,2.220446049250313e-16,-2.220446049250313e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2025-04-30,20,-8.881784197001252e-16,-1.5543122344752192e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2025-05-30,18,6.661338147750939e-16,1.1102230246251565e-15,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2025-06-30,19,-2.220446049250313e-16,4.440892098500626e-16,True
causal_components,causal_components::a2c_lstm_full__seed_20261002,locked_oos_v1,2025-07-31,22,1.1102230246251565e-15,2.220446049250313e-16,True
