scope,source_id,evidence_class,canonical_strategy_id,strategy_id,window_id,transaction_cost_bps_one_way,annual_short_borrow_percent,annual_cash_borrow_percent,observations,elapsed_years,total_return,cagr,annualized_volatility,max_drawdown,annualized_certainty_equivalent_return
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched__seed_20261002,feedforward_capacity_matched__seed_20261002,locked_oos_v1,10,3,2,22,1.8383561643835618,0.4839995286304193,0.2395208467781198,0.15868134658964728,0.0679206630084983,0.22540675019914214
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched__seed_20261003,feedforward_capacity_matched__seed_20261003,locked_oos_v1,10,3,2,22,1.8383561643835618,0.49694665821453676,0.24539172048895752,0.12844637446770776,0.042727662492675456,0.236486790945039
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched__seed_20261004,feedforward_capacity_matched__seed_20261004,locked_oos_v1,10,3,2,22,1.8383561643835618,0.34863686654243864,0.17667966696766446,0.18855721409844797,0.09379791961302686,0.15773253430036815
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched__seed_20261005,feedforward_capacity_matched__seed_20261005,locked_oos_v1,10,3,2,22,1.8383561643835618,0.6792241758927062,0.32571774473853177,0.17386467319297913,0.08504711103601414,0.3078860282447684
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched__seed_20261006,feedforward_capacity_matched__seed_20261006,locked_oos_v1,10,3,2,22,1.8383561643835618,0.7192427071475866,0.342811383802228,0.1922819252340257,0.09064282338922902,0.3204221522351396
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched__seed_20261007,feedforward_capacity_matched__seed_20261007,locked_oos_v1,10,3,2,22,1.8383561643835618,0.3493718806500652,0.17702846600799504,0.15278635040166222,0.08961723201533112,0.1640030026070427
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched__seed_20261008,feedforward_capacity_matched__seed_20261008,locked_oos_v1,10,3,2,22,1.8383561643835618,0.7654579227447584,0.3623276790214618,0.1443551850740869,0.07073243295412679,0.3495250300772932
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched__seed_20261009,feedforward_capacity_matched__seed_20261009,locked_oos_v1,10,3,2,22,1.8383561643835618,0.7378310057446427,0.35068948238685893,0.1674148703950366,0.0827096050379208,0.33347638232861554
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched__seed_20261010,feedforward_capacity_matched__seed_20261010,locked_oos_v1,10,3,2,22,1.8383561643835618,0.4366926872330117,0.21786829027829802,0.20955148533114654,0.085736648209771,0.1967544093878726
complete_periods,causal_components,post_holdout_explanatory,causal_components::feedforward_capacity_matched_ensemble,feedforward_capacity_matched_ensemble,locked_oos_v1,10,3,2,22,1.8383561643835618,0.5572882682606881,0.27245332794150245,0.13501895919501034,0.06817545566785865,0.2617861282182865
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261001,full_vine_state_and_cvar_observation__seed_20261001,locked_oos_v1,10,3,2,22,1.8383561643835618,0.46233402093739695,0.22964412267770906,0.15547956053714482,0.13282530198169662,0.21599758922081458
complete_periods,causal_components,post_holdout_explanatory,causal_components::full_vine_state_and_cvar_observation__seed_20261002,full_vine_state_and_cvar_observation__seed_20261002,locked_oos_v1,10,3,2,22,1.8383561643835618,0.39593953366463164,0.19895325922297302,0.1613950598041142,0.12991711587906352,0.18411248052110518
