scope,source_id,evidence_class,canonical_strategy_id,strategy_id,window_id,daily_observations,total_net_return,annualized_daily_volatility,annualized_daily_downside_deviation,daily_path_max_drawdown,maximum_drawdown_duration_trading_days,unrecovered_drawdown_days_at_end,worst_daily_return,best_daily_return,daily_return_skewness,daily_return_excess_kurtosis,daily_var_95_loss,daily_cvar_95_loss,daily_tail_95_event_count,daily_var_99_loss,daily_cvar_99_loss,daily_tail_99_event_count
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261001,a2c_lstm_full__seed_20261001,locked_oos_v1,431,0.5088969400185173,0.16861387475684048,0.1121579078574035,0.1916200184273139,185,17,-0.07738770205547107,0.07733504273498504,-0.09730105319176631,17.431394614767335,0.013634044837076698,0.022498198395822986,22,0.022090838680407253,0.04319016698127467,5
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261002,a2c_lstm_full__seed_20261002,locked_oos_v1,431,0.6191240063990282,0.1479213819747978,0.09900715967973366,0.11679974920297975,81,81,-0.05978373094142342,0.04716481486979407,-0.44306448033068185,7.896783934646491,0.012793127205441679,0.0211103214469711,22,0.022859326610964806,0.03787585495966332,5
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261003,a2c_lstm_full__seed_20261003,locked_oos_v1,431,0.680628501843968,0.1542188187227488,0.10209558902074814,0.11052275721364124,54,32,-0.06303392500478311,0.04988278236116095,-0.32582356491967746,8.318321371904105,0.012319218242072827,0.0216207619308196,22,0.02493374126932227,0.037921842036908515,5
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261004,a2c_lstm_full__seed_20261004,locked_oos_v1,431,0.48393879627289116,0.16529916652818083,0.10845169129209987,0.17939936277863422,198,6,-0.07274135823944328,0.07757497681170489,-0.025249247109774327,17.501678813271162,0.012092204031612486,0.02145346825308613,22,0.02058550408358396,0.040609649424838155,5
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261005,a2c_lstm_full__seed_20261005,locked_oos_v1,431,0.5288046330351,0.14483076999961103,0.09866297109398423,0.12454468474453828,104,19,-0.06405268504583272,0.05324547139446745,-0.4672359730697484,11.61920939508414,0.011957006856363084,0.020393635712683714,22,0.021371937132569824,0.03668202229666147,5
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261006,a2c_lstm_full__seed_20261006,locked_oos_v1,431,0.2981641867847282,0.11431126252496468,0.07967313476830613,0.10556211873519816,81,81,-0.05121610383781183,0.03478975245947291,-0.7794402574323132,8.529466817906851,0.009970200151645014,0.01668035424830985,22,0.018906734829329145,0.030782109944605174,5
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261007,a2c_lstm_full__seed_20261007,locked_oos_v1,431,0.4145205559060392,0.13616728849143564,0.09084390423788276,0.12250095911716041,57,31,-0.05276093002282434,0.06457519739265694,0.20589959167121352,10.516503390578936,0.012151493047232842,0.019001488929268538,22,0.021356483593869397,0.030734959248169803,5
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261008,a2c_lstm_full__seed_20261008,locked_oos_v1,431,0.6393458587547769,0.17976471745608782,0.1177352592037025,0.13631258011054626,182,6,-0.07904258053252011,0.08880577719175675,0.09936596991429325,19.393844373740002,0.013708965567501508,0.023547754099028182,22,0.0207863677072772,0.04601714098427652,5
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261009,a2c_lstm_full__seed_20261009,locked_oos_v1,431,0.2945896171403817,0.12422571323678418,0.08502724105510408,0.11108696452007816,58,19,-0.05373482748007008,0.057954809646962646,-0.08622735036410659,11.693475476729846,0.01165439822065606,0.01721629827625939,22,0.017497679253426438,0.02909821417941958,5
complete_periods,causal_components,post_holdout_explanatory,causal_components::a2c_lstm_full__seed_20261010,a2c_lstm_full__seed_20261010,locked_oos_v1,431,0.6839857316778917,0.1545166237842659,0.10236908475191168,0.13291267184043842,66,19,-0.06250528297270697,0.061650085186247816,-0.1826471085935754,8.241416728803836,0.01318592267255625,0.021828752210662657,22,0.026891997812384567,0.03547410678634795,5
