decision_date,holding_end_date,w_SP500,w_NASDAQ,w_DOW,w_SSE50,w_DIVIDEND,w_CHINEXT,w_GOLD
2024-07-31,2024-08-30,0.11899988459689263,0.15020485952762624,0.1714846668232765,0.11441780761150373,0.12023564189938571,0.14078224379835375,0.18387489574296131
2024-08-30,2024-09-30,0.11907167827178342,0.150657161757616,0.1718437681573311,0.11415814716768058,0.12022165606197502,0.14075468505200545,0.18329290353160868
2024-09-30,2024-10-31,0.11733297877279772,0.14662862819885564,0.1717745428838367,0.1156676053934331,0.1211232336171503,0.14220042311852538,0.18527258801540086
2024-10-31,2024-11-29,0.1187665995609547,0.14963588401941313,0.17251438828451304,0.11393842412424944,0.12048396416274583,0.14064838713301073,0.18401235271511338
2024-11-29,2024-12-31,0.1186364718712866,0.14823196288198232,0.1714537084102631,0.11380571871995919,0.12068879231810566,0.14242214234545827,0.1847612034529448
2024-12-31,2025-01-27,0.11996350154014576,0.14933704552905888,0.17166084121646613,0.11426786944004041,0.12034267509090057,0.14073049533846113,0.183697571844927
2025-01-27,2025-02-28,0.11962047694250943,0.14980180240236218,0.17133140671066951,0.11396450544707486,0.12064967486076066,0.1409999112132936,0.18363222242333005
2025-02-28,2025-03-31,0.12019087955621735,0.149020880547219,0.1711740738645728,0.11422303448697288,0.1207148809850747,0.14020259398301793,0.18447365657692505
2025-03-31,2025-04-30,0.12076025776831167,0.15037176631657143,0.1712955834743167,0.1149671270911183,0.12045985529465338,0.13892366014687077,0.1832217499081577
2025-04-30,2025-05-30,0.1208400304828372,0.15055717839194185,0.171452151558229,0.11462497333330782,0.12082332823691604,0.13941311626029862,0.1822892217364695
2025-05-30,2025-06-30,0.11978803372808869,0.14842168165237773,0.17076995324210395,0.11414502465964424,0.1209859325350928,0.14193121379108303,0.18395816039160956
2025-06-30,2025-07-31,0.1190505192615093,0.14768866021186108,0.1710051130503418,0.11413795314729216,0.12100834846496586,0.1422326574102044,0.1848767484538258
2025-07-31,2025-08-29,0.11892831372097132,0.14772700192406765,0.1712729173712431,0.11426344169303768,0.12099863309413188,0.14179254351183762,0.18501714868471025
2025-08-29,2025-09-30,0.11827046124796774,0.14679847563217793,0.17146581400717995,0.11465515036668113,0.12123146521459724,0.14190779634352232,0.18567083718787342
2025-09-30,2025-10-31,0.11744813457397481,0.1470874606565174,0.17172630484482,0.11475307782446702,0.12183136669253666,0.14139127674778657,0.18576237865989773
2025-10-31,2025-11-28,0.11840398449982917,0.14791875834177637,0.1713037127495876,0.11483650960560357,0.12137034422318846,0.14157259071777983,0.1845940998622349
2025-11-28,2025-12-31,0.11967525909255657,0.14896110592942144,0.17097575095083045,0.11463795386786968,0.12098534804369736,0.14099528387721094,0.18376929823841368
2025-12-31,2026-01-30,0.1199872598052026,0.14860702790319918,0.17064646668732164,0.11445680651813742,0.12100399453192945,0.14080660240724677,0.18449184214696285
2026-01-30,2026-02-27,0.1190650082991592,0.14861686298224527,0.1706960581575653,0.1152475893830082,0.1216753976752184,0.14024341575402235,0.18445566774878103
2026-02-27,2026-03-31,0.12014130765040018,0.14914414846737475,0.17057994102526985,0.11473988538075779,0.12078668942142815,0.14059891478557676,0.18400911326919278
2026-03-31,2026-04-30,0.12118634783795901,0.1500467403991415,0.15502780240162137,0.11393718395515222,0.11961630240215775,0.14049703452869194,0.19968858847527632
2026-04-30,2026-05-29,0.11866532969953766,0.14754360970774927,0.17059029918829255,0.11439245483571922,0.12116453396821673,0.1426954288102154,0.1849483437902692
2026-05-29,2026-06-30,0.1188409653226179,0.14752897128595832,0.17102937616540909,0.11379902504517556,0.12092336828022128,0.1426799753880394,0.18519831851257806
2026-06-30,2026-07-06,0.11937635314783872,0.14848389790526456,0.17145895182288126,0.11376658740586462,0.12013178651354132,0.14204009601048062,0.18474232719412875
