decision_date,holding_end_date,w_SP500,w_NASDAQ,w_DOW,w_SSE50,w_DIVIDEND,w_CHINEXT,w_GOLD
2024-07-31,2024-08-30,0.1665968462226114,0.13436692760858152,0.20007297386016157,0.003070593565436261,0.03182360607731556,-0.0019114155921022224,0.46598046825799555
2024-08-30,2024-09-30,0.1978339959800775,0.13104675541897962,0.16753853265462176,0.018831018910610224,0.046778344076924966,-0.02393682720804857,0.4619081801668342
2024-09-30,2024-10-31,0.09400973579447171,0.04479148381921866,0.2751643457782588,-0.03254269423362399,0.012324841446908479,0.15519091778966998,0.4510613696050963
2024-10-31,2024-11-29,0.19689785138304744,0.1421366053500346,0.17530388355787307,-0.02232673029814441,0.06072495122041022,0.050531276581542925,0.39673216220523644
2024-11-29,2024-12-31,0.12860766019938244,0.05769402463255182,0.11085741356281298,0.03556035900754591,0.07065685581681992,0.08724571116534738,0.50937797561554
2024-12-31,2025-01-27,0.25492663745369226,0.12427430719669377,0.21751056461195856,-0.03733876954231957,0.04235995838950789,-0.010542066315455111,0.40880936820592206
2025-01-27,2025-02-28,0.25454688203254994,0.12616691459635535,0.15950479875983933,-0.03062371461918309,0.09452265296796601,-0.0028853088550801916,0.3987677751175527
2025-02-28,2025-03-31,0.24997978718685246,0.1707742383304451,0.19551237053903095,-0.05481496000928541,0.08215108724044898,0.029501440242997178,0.3268960364695106
2025-03-31,2025-04-30,0.3040343778740084,0.18742340789841755,0.32516279076891275,-0.03357908822862172,0.030905831937811386,-0.02701450841767446,0.21306718816714615
2025-04-30,2025-05-30,0.300795355545623,0.17657055120382995,0.3062645554675587,-0.0320675927081279,0.05607464063380445,-0.01985797871436396,0.21222046857167562
2025-05-30,2025-06-30,0.23455862489395907,0.11752657827788167,0.23439049676858942,-0.032944984428052417,0.0685506413956839,0.07090514025517879,0.30701350283675954
2025-06-30,2025-07-31,0.19860852193087342,0.07807741407305,0.174622843787074,-0.01851515993475928,0.09427966233342887,0.08528411127626898,0.3876426065340638
2025-07-31,2025-08-29,0.20869459130668214,0.07336865507864523,0.15052150742017792,0.005960050251867149,0.07794825465285357,0.09908538863861131,0.3844215526511626
2025-08-29,2025-09-30,0.1799149483974489,0.03695608755307531,0.1402125318135533,0.015737054550222007,0.04803589289741857,0.19774378766970974,0.3813996971185718
2025-09-30,2025-10-31,0.17124000537608347,0.09449127625141832,0.13404569943834635,0.01805418079186773,0.12364819693778244,0.17218281879488906,0.2863378224096127
2025-10-31,2025-11-28,0.19822634332148092,0.12545716449884436,0.1492294730086412,0.009017115126230919,0.10825707935062893,0.11932528917012468,0.29048753552404916
2025-11-28,2025-12-31,0.2636694702319802,0.16371373943984513,0.1934213136322796,-0.029332320392131815,0.09140294631943102,0.05880349017679688,0.258321360591799
2025-12-31,2026-01-30,0.2582892442454717,0.17104507939490887,0.18296946788738874,-0.03406622909408601,0.10101936593252644,0.0863549684506975,0.23438810318309308
2026-01-30,2026-02-27,0.23416282410866446,0.15836642940661733,0.1900749363670392,-0.020821020126874968,0.09297700978017287,0.12655580311215348,0.21868401735222762
2026-02-27,2026-03-31,0.2761931587675851,0.1929863108987254,0.2403769546853644,-0.0191760394056993,0.04669759317434245,0.06511651377326685,0.19780550810641484
2026-03-31,2026-04-30,0.33860964515645586,0.21332022083391022,0.2620003824255296,-0.004256519475685712,0.06919083317209561,-0.0191770767660013,0.14031251465369537
2026-04-30,2026-05-29,0.14669415054044557,0.11628903147897543,0.1042302952813251,0.015042959685836521,0.12360965401998576,0.1582120315837008,0.3359218774097306
2026-05-29,2026-06-30,0.1448532479948231,0.1472804152539798,0.01883359394435369,0.04967483944658718,0.14143003440861185,0.14338027566139186,0.35454759329025237
2026-06-30,2026-07-06,0.25631624218076465,0.21735269147902728,0.037088518775999654,0.05226154252886774,0.105450882576406,0.05987860951572652,0.2716515129432081
