candidate,comparator,seed,ce_difference,cagr_difference,volatility_difference,turnover_difference,gross_exposure_difference
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261001,-0.03208169700610641,-0.03322579564285455,-0.0016413583372755225,-0.10720212014948416,0.020057706005097042
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261002,0.27629432207286486,0.2807776200657346,0.01268240198140061,0.01285649561504687,0.026742154109449023
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261003,-0.09277143365423979,-0.09928841446092207,-0.033208558059110854,-0.2926329802116987,0.022443817626056184
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261004,-0.07162054669536833,-0.06674869443653009,0.03014261127911222,0.38419759349728183,0.03256322375752729
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261005,0.3305164146892454,0.3567600562472162,0.1109515035342643,-0.09386651624937542,-0.008481509028026801
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261006,-0.27251323090378654,-0.2809788594999656,-0.031556655030286734,-0.33482968112357003,0.016194552533908668
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261007,-0.02413848483611747,-0.024565824550594417,-0.0023340358535369754,-0.36337556045308905,0.0005979532521069864
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261008,0.036223824027463936,0.027989950882025383,-0.04977675386484515,-0.42503357953815296,0.004744541238654643
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261009,-0.19544520900697782,-0.1919590766230448,0.025553820758701273,-0.7749840935704286,-0.006537424279497328
mixed_pretraining_plus_historical_finetuning,historical_only_training,20261010,0.0694035315925563,0.06813835471473961,-0.007485379803423439,-0.2262748614038248,0.035103317253388555
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261001,-0.014276483067071188,-0.013134401116172256,0.006874901782150139,-0.033833700117304355,0.00046101793066255503
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261002,0.1709587034768405,0.1690856768286091,-0.01416316799483458,-0.10718953265965747,0.004429182733179493
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261003,0.059974079770706235,0.059393632361686155,-0.008474630659990073,-0.08708434070569393,0.0063707047178374054
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261004,0.22905596506832326,0.23396566257401208,0.015979640325345296,0.01158740325504326,0.018278826511912927
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261005,0.17137548732069252,0.19090298979139764,0.07553086331134048,0.05666079449576217,0.016675225422753792
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261006,-0.09098363227514383,-0.09831785822009897,-0.03407969546755685,-0.21447390890619755,-0.0034020420091300796
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261007,0.020983483874027264,0.022953153333172382,0.009277208375715523,0.30803339996121165,-0.003313465563991702
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261008,0.11057041032269677,0.11001675751449747,-0.009838344886214018,-0.12347302651758468,-0.015375124871149781
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261009,0.21024203158412247,0.21623007949229067,0.02518677197219038,-0.07742169746137273,-0.006047750786913886
mixed_pretraining_plus_historical_finetuning,synthetic_only_training,20261010,0.017361367575820186,0.013416867227892704,-0.025797707734794312,0.08026535478843955,0.02040241537736609
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261001,-0.046045956863925985,-0.052756770471387604,-0.032009292213960205,0.05410375811957885,-0.009159166680334563
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261002,0.07037953942922215,0.06325220333069259,-0.032769492277017476,0.06582859736661639,-0.009567501948686497
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261003,0.034883827679581536,0.03677348643473333,0.005740633327697642,-0.14293280620635973,-0.0006555821020879371
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261004,0.16713270857144913,0.17224812078984364,0.02271514514756995,0.14764016413117786,0.014150176100529821
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261005,-0.009142693044184913,-0.0037962885762452547,0.01835942889788217,-0.09069293883157442,0.013813752765682752
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261006,-0.05941933116493314,-0.06315308735429848,-0.016926182757818375,-0.16713503974961563,-0.008096217758373436
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261007,0.014159983827760403,0.015285193356894933,0.006673288018487489,0.37222345093531284,-0.003934801701311441
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261008,-0.04079339481569422,-0.05080037490299261,-0.05109061589671615,-0.012162178990660688,-0.009278587295443952
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261009,0.11542654418701215,0.11832820769002672,0.011073890155089083,-0.05619707898321474,0.0033227735041798656
mixed_pretraining_plus_historical_finetuning,synthetic_pretraining_plus_historical_finetuning,20261010,-0.07621737472090628,-0.08624718052290592,-0.053025783449451774,0.16431616070111899,0.015797608108683026
