decision_date,holding_end_date,w_SP500,w_NASDAQ,w_DOW,w_SSE50,w_DIVIDEND,w_CHINEXT,w_GOLD
2024-07-31,2024-08-30,0.1220639134499046,0.2645328919785364,0.09100152764637325,-0.012492453216315568,0.052014871209909386,0.044533814562976955,0.43834543436861473
2024-08-30,2024-09-30,0.10645221108598639,0.3638935373051093,0.13222720050474174,-0.0046075305665843795,0.04999810985394313,0.0325671233355999,0.3194693484812044
2024-09-30,2024-10-31,0.21426566207659903,0.21625727669156153,0.023464704087510273,-0.016239269476551507,0.006383994392800222,0.11229859835288485,0.4435690338751953
2024-10-31,2024-11-29,0.2202837537830499,0.40963888453935315,0.10988794326356366,-0.00919035341557089,0.04732002420448919,0.04997490636106601,0.17208484126404883
2024-11-29,2024-12-31,0.18360746193016958,0.2993963234703739,0.03218979331336251,0.01772140032213497,0.0801050741506953,0.09375257707384729,0.29322736973941627
2024-12-31,2025-01-27,0.2023016138764277,0.3788073007401025,0.06013954401291126,0.005494159905886678,0.039737183565869055,0.0842257495072618,0.22929444839154076
2025-01-27,2025-02-28,0.16754865693123155,0.3821732481844637,0.07277545868659885,-0.00850231296304529,0.0893727976954754,0.031083485851323554,0.26554866561395196
2025-02-28,2025-03-31,0.18218045979840625,0.3308049544440346,0.0644032697269588,-0.007901231215941293,0.04297135527629986,0.06262963230649429,0.32491155966374735
2025-03-31,2025-04-30,0.18141967764805794,0.38303838320990813,0.11342980853848213,-0.014980513730721812,0.017924415864823847,0.04263649922778622,0.27653172924166336
2025-04-30,2025-05-30,0.17123226639296257,0.4134260709287444,0.08086500597696618,-0.012532963021021729,0.0022772293099933135,0.050191980260478844,0.2945404101518761
2025-05-30,2025-06-30,0.13207779046898943,0.31744541487534306,0.00358677152194995,-0.010360318604565618,0.004846973170933589,0.15116872925829367,0.40123463930905556
2025-06-30,2025-07-31,0.08267551462049348,0.3092953572078817,0.003917071660550095,-0.010826107344476149,0.004668104976741833,0.15421908006537463,0.4560509788134343
2025-07-31,2025-08-29,0.08216653858730746,0.3052346901288273,0.010603901778517846,-0.01260620851057866,0.004489560547222007,0.15001532848295937,0.46009618898574434
2025-08-29,2025-09-30,0.09253643711442855,0.28920496457092376,0.010503769923259835,-0.01306029698437052,0.0037368792441229946,0.15685075783064967,0.4602274883009855
2025-09-30,2025-10-31,0.08831504300207722,0.335619818119741,0.010702896840663391,-0.016502018031022615,0.01927853009037463,0.10155234586884157,0.4610333841093247
2025-10-31,2025-11-28,0.0762469186037459,0.33482023990919413,0.01633667282651696,-0.00906717806964576,0.005055729035600663,0.11660534450175772,0.46000227319283005
2025-11-28,2025-12-31,0.09341944452102023,0.34607739226852263,0.06861316763489275,-0.00896639996714239,0.005486259630841662,0.03839126359165364,0.4569788723202115
2025-12-31,2026-01-30,0.09004560211184379,0.3394659786005498,0.04497262844583159,-0.009017638298916242,0.0039752563147353506,0.07213658148399502,0.4584215913419606
2026-01-30,2026-02-27,0.10333468715913745,0.33920105956864693,0.03269570633659219,-0.009172786634674638,0.006524545433997021,0.07268184157807536,0.4547349465582256
2026-02-27,2026-03-31,0.10328483113501967,0.35020456608566275,0.06327602960064992,-0.009770986473236171,0.008546870499970213,0.027778632036129115,0.4566800571158042
2026-03-31,2026-04-30,0.10555603560915272,0.3452281464849881,0.07694597798299377,-0.008977283878083752,-0.001526462875610615,0.018853244124148537,0.46392034255241094
2026-04-30,2026-05-29,0.08720161222921494,0.29607208078490266,0.00345944885312808,-0.007383317761163459,-0.013960937064520581,0.13669063886739946,0.49792047409103884
2026-05-29,2026-06-30,0.08697199243595471,0.30807348052747197,0.004966254920649166,-0.00826926072351982,-0.0010685381292627732,0.09987903900453472,0.5094470319641718
2026-06-30,2026-07-06,0.08879784018423771,0.3165520414993482,0.015105537292119383,-0.008049006239921897,0.003596813253979476,0.06621765187516233,0.5177791221350747
