experiment_id,strategy_id,strategy_level,seed_count,path,sha256,ensemble_rule,returns_averaged
a2c_lstm_full,a2c_lstm_full_ensemble,ensemble,10,weights_a2c_lstm_full_ensemble.csv,8143001f8e1ed2f51268cbe1d609e4ce32339e741f49b88b4c4d54d66f08115a,arithmetic_mean_target_weights_then_rescore_costs,False
ddpg_lstm_full,ddpg_lstm_full_ensemble,ensemble,10,weights_ddpg_lstm_full_ensemble.csv,069ca96baf14ac98eb549731ed0f2a6766d29fe01c099356e14af418924d0ebf,arithmetic_mean_target_weights_then_rescore_costs,False
feedforward_capacity_matched,feedforward_capacity_matched_ensemble,ensemble,10,weights_feedforward_capacity_matched_ensemble.csv,d05e23cb74eb4a6153dc8a5e7c7252c2c02e53e300fe8cfd54ea963fbc4c15dc,arithmetic_mean_target_weights_then_rescore_costs,False
full_vine_state_and_cvar_observation,full_vine_state_and_cvar_observation_ensemble,ensemble,10,weights_full_vine_state_and_cvar_observation_ensemble.csv,ca34607c3c8aa717f45c821c5a0fa59572d40a06435be944cedefdbe4cdb3375,arithmetic_mean_target_weights_then_rescore_costs,False
historical_only_no_synthetic_pretraining,historical_only_no_synthetic_pretraining_ensemble,ensemble,10,weights_historical_only_no_synthetic_pretraining_ensemble.csv,54970a16f346e2ec8e3e6479d3deae4e7448c9f312f917b74413fc42d592982b,arithmetic_mean_target_weights_then_rescore_costs,False
keep_vine_features_zero_cvar_observation,keep_vine_features_zero_cvar_observation_ensemble,ensemble,10,weights_keep_vine_features_zero_cvar_observation_ensemble.csv,2c2c6fb126aa0b1dfefaa05dc8d43a179a9af56da6715ee06c2aecda2524b597,arithmetic_mean_target_weights_then_rescore_costs,False
moving_block_bootstrap_pretraining,moving_block_bootstrap_pretraining_ensemble,ensemble,10,weights_moving_block_bootstrap_pretraining_ensemble.csv,3876f8e174481a1e3f15c2353f2637a4fb9e4adbe64791afe2015827aaa23db0,arithmetic_mean_target_weights_then_rescore_costs,False
ppo_lstm_full,ppo_lstm_full_ensemble,ensemble,10,weights_ppo_lstm_full_ensemble.csv,d99af054380f0ad6ea35041cdfe42770371d17a78f62eb4df2955993a6d0e3bf,arithmetic_mean_target_weights_then_rescore_costs,False
pretrained_only_no_historical_finetuning,pretrained_only_no_historical_finetuning_ensemble,ensemble,10,weights_pretrained_only_no_historical_finetuning_ensemble.csv,c093feaafb1bc8bded91b3c9924a822b0b2a08a902c9f4f283390a121795153a,arithmetic_mean_target_weights_then_rescore_costs,False
sac_lstm_full,sac_lstm_full_ensemble,ensemble,10,weights_sac_lstm_full_ensemble.csv,bfe06cc32c769e3ad590c308b88e0ce2e711b2c7ff88e63d918e78e4b10bc956,arithmetic_mean_target_weights_then_rescore_costs,False
zero_cvar_reward_keep_state,zero_cvar_reward_keep_state_ensemble,ensemble,10,weights_zero_cvar_reward_keep_state_ensemble.csv,fb34c3f949a6d9811a2993f0db0b5e12e43823d8be6caef75f992cd3da493441,arithmetic_mean_target_weights_then_rescore_costs,False
zero_vine_features_and_cvar_observation,zero_vine_features_and_cvar_observation_ensemble,ensemble,10,weights_zero_vine_features_and_cvar_observation_ensemble.csv,de752ce0ff5e79078a2c531e12ef070908dc420ee2f31d82672e6cee421179a5,arithmetic_mean_target_weights_then_rescore_costs,False
zero_vine_features_keep_cvar_observation,zero_vine_features_keep_cvar_observation_ensemble,ensemble,10,weights_zero_vine_features_keep_cvar_observation_ensemble.csv,d2a63b27d4dabb89dbb42be55ace808bce0661e6e54ff13d1fe936ddb027dbbd,arithmetic_mean_target_weights_then_rescore_costs,False
