"seed","output_dir","vine_observation_mode","no_vine_signal_mask","training_status","sanity_status","no_holdout_gate_pass","pretrained_mean_reward","full_mean_reward","finetune_reward_delta","pretrained_mean_terminal_wealth","full_mean_terminal_wealth","finetune_terminal_wealth_delta","full_mean_cvar","full_median_turnover","full_mean_leverage_gate","full_std_leverage_gate","full_mean_normalized_entropy","full_mean_effective_positions","full_zero_vine_median_action_l1","full_zero_market_median_action_l1","full_zero_market_median_gate_change"
20260844,"/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v2/seed_20260844","zero","",2,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260848,"/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v2/seed_20260848","zero","",2,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
