stage,pass,episode,reward,noise,terminal_wealth,mean_turnover,q95_turnover,mean_cvar,mean_gross_exposure,fraction_at_gross_cap,mean_short_notional,max_abs_weight,total_actions,update_count
pretrain,,1,0.20072069764400186,0.3,128182.20753552084,0.7120068068837836,1.2117533034511974,0.07974928361134555,1.01698296472785,0.0,0.008491482363925095,0.6079760140606335,24,0
pretrain,,2,-0.057156153666282,0.2991,96353.59031026099,0.7345655390194484,1.4627844100551934,0.080467115891429,1.0348713210828249,0.0,0.01743566054141238,0.6247866717832429,48,0
pretrain,,3,0.2888147730222071,0.2982027,144627.9585001235,0.7631251021687473,1.2886062236768858,0.08231659594257908,1.0380576896880354,0.0,0.01902884484401771,0.6121440455317497,72,0
pretrain,,4,-0.40715743746248745,0.29730809189999996,72049.95591747455,0.5839973424694368,0.9481037020683287,0.08013140098851214,1.000896327463644,0.0,0.0004481637318219459,0.4760082960128784,96,0
pretrain,,5,-0.06055561997204717,0.2964161676243,96148.32289535188,0.869290591705413,1.2609227143228054,0.08539948740176151,1.0348177671964678,0.0,0.017408883598233973,0.6755843652146203,120,0
pretrain,,6,-0.017916052367353483,0.2955269191214271,100134.82941377675,0.6988249477886018,1.2430723462785993,0.0802605460658287,1.0206550017354035,0.0,0.010327500867701714,0.6431441722171647,144,51
pretrain,,7,0.37074061006675657,0.29464033836406284,164045.45176085547,0.8201595520866768,1.2719359225460463,0.08196765138663445,1.0210265011659692,0.0,0.010513250582984517,0.8516305078353201,168,123
pretrain,,8,-0.03938355816462349,0.2937564173489706,97977.56665574721,0.7456314568186091,1.1271722320999418,0.07809065864255493,1.033950321908508,0.0,0.016975160954254016,0.46961415239742826,192,195
pretrain,,9,0.25016614341483595,0.2928751480969237,136891.84988350476,0.5878650530108384,0.8756609204624379,0.08054240554001747,1.0025837854260489,0.0,0.0012918927130245045,0.4030203659619604,216,267
pretrain,,10,0.25368701512809344,0.29199652265263293,137676.2830996353,0.7165213747038729,1.1069848092538968,0.0832144591965475,1.017867425013156,0.0,0.008933712506578085,0.6943436924900328,240,339
pretrain,,11,0.2570525525115188,0.29112053308467506,138468.77851455894,0.9477224624937488,1.4750090480915135,0.0865124490240568,1.0368618285726934,0.0,0.018430914286346665,0.6251676476427487,264,411
