"window_id","decision_date","holding_end_date","w_SP500","w_NASDAQ","w_DOW","w_SSE50","w_DIVIDEND","w_CHINEXT","w_GOLD"
"locked_oos_v1",2024-07-31,2024-08-30,-0.0397700832358429,-0.0313595325819084,0.125253262264388,0.220080213887351,0.134111644966262,0.305095853550093,0.286588641149657
"locked_oos_v1",2024-08-30,2024-09-30,-0.0382642511810575,-0.0307548296238695,0.125035909137556,0.214196455797979,0.129091379365751,0.318353501281568,0.282341835222074
"locked_oos_v1",2024-09-30,2024-10-31,-0.0498046938862119,-0.0321745638336454,0.145058536103794,0.257011466792652,0.162059434822627,0.250993424228259,0.266856395772525
"locked_oos_v1",2024-10-31,2024-11-29,-0.0368091671594552,-0.0314484483429364,0.14194215248738,0.172311434256179,0.129611739622695,0.312541240560157,0.31185104857598
"locked_oos_v1",2024-11-29,2024-12-31,-0.0368141774088144,-0.0296531990170479,0.1229502055794,0.231728846207261,0.127567449584603,0.31175054050982,0.272470334544778
"locked_oos_v1",2024-12-31,2025-01-27,-0.0482930370739528,-0.0345148422888347,0.143465640289443,0.212396206600325,0.153704883796828,0.275763752205031,0.29747739647116
"locked_oos_v1",2025-01-27,2025-02-28,-0.0352527552417347,-0.0296547726861068,0.124428702784436,0.208529299391167,0.122095084083932,0.324070235980409,0.285784205687898
"locked_oos_v1",2025-02-28,2025-03-31,-0.0456801876425743,-0.0353549867868423,0.134684480726719,0.200203768908978,0.145006619393826,0.279418967664242,0.321721337735653
"locked_oos_v1",2025-03-31,2025-04-30,-0.0479320936969349,-0.035724440323455,0.14377764452781,0.187719812882798,0.164476370705026,0.259424602878945,0.328258103025811
"locked_oos_v1",2025-04-30,2025-05-30,-0.0420924606067794,-0.0328689174992698,0.131920915629183,0.204804149057184,0.146398138787065,0.286495533372675,0.305342641259943
"locked_oos_v1",2025-05-30,2025-06-30,-0.0408834269536393,-0.0308300139648574,0.125521181683455,0.242040066580687,0.135250060419951,0.302050976614867,0.266851155619536
"locked_oos_v1",2025-06-30,2025-07-31,-0.0437313185206482,-0.032042247908456,0.129189750445741,0.240461161626237,0.138192033661263,0.29630812097873,0.271622499717133
"locked_oos_v1",2025-07-31,2025-08-29,-0.0475811905094556,-0.0335556699761323,0.136254491018397,0.236036883401019,0.149492995547397,0.276900084423167,0.282452406095607
"locked_oos_v1",2025-08-29,2025-09-30,-0.048378416470119,-0.0349221277449812,0.139839964785746,0.227837937750987,0.153375628271273,0.259269031562975,0.302977981844119
"locked_oos_v1",2025-09-30,2025-10-31,-0.0464956973280226,-0.0331198748733316,0.133138229272195,0.238451068422624,0.155981307051011,0.269356225750276,0.282688741705247
"locked_oos_v1",2025-10-31,2025-11-28,-0.0459705559270722,-0.0315635209637029,0.132629841033901,0.251722633306469,0.151958137218441,0.281315624181713,0.25990784115025
"locked_oos_v1",2025-11-28,2025-12-31,-0.0438000671565533,-0.0335625670850277,0.132701747119427,0.207912229001522,0.142217643558979,0.295162700116634,0.299368314445019
"locked_oos_v1",2025-12-31,2026-01-30,-0.0441439683948245,-0.0344073708568301,0.130412823387555,0.207814938255719,0.143371931144169,0.282994127699307,0.313957518764905
"locked_oos_v1",2026-01-30,2026-02-27,-0.0459350155932563,-0.0323356198413031,0.130762044872556,0.240585495318685,0.161027242030416,0.267676894153867,0.278218959059034
"locked_oos_v1",2026-02-27,2026-03-31,-0.0462130026093551,-0.0348066517284938,0.135897910488503,0.206852844251054,0.14637894023742,0.28155746151294,0.310332497847932
"locked_oos_v1",2026-03-31,2026-04-30,-0.0382533791874136,-0.0328342254672732,0.142200688698462,0.166245291807822,0.133874441363982,0.297994474747351,0.33077270803707
"locked_oos_v1",2026-04-30,2026-05-29,-0.0426396283188037,-0.0306937343307904,0.129524942221386,0.254720743479473,0.142279650749905,0.28831213313554,0.25849589306329
"locked_oos_v1",2026-05-29,2026-06-30,-0.0407361260482243,-0.0326422027179173,0.127629754798753,0.212241632597787,0.128500995891435,0.310382125633104,0.294623819845063
"locked_oos_v1",2026-06-30,2026-07-06,-0.0379157396299498,-0.0320084797484534,0.131094079996858,0.190927934433733,0.127973583127771,0.305279281522546,0.314649340297495
