"Package","Version","LibPath"
"shape","1.4.6.1","/gabirel/miniforge3/lib/R/library"
"showtext","0.9-8","/gabirel/miniforge3/lib/R/library"
"showtextdb","3.0","/gabirel/miniforge3/lib/R/library"
"spd","2.0-1","/gabirel/miniforge3/lib/R/library"
"splines","4.5.3","/gabirel/miniforge3/lib/R/library"
"stabledist","0.7-2","/gabirel/miniforge3/lib/R/library"
"stats","4.5.3","/gabirel/miniforge3/lib/R/library"
"stats4","4.5.3","/gabirel/miniforge3/lib/R/library"
"stringfish","0.19.0","/gabirel/miniforge3/lib/R/library"
"stringi","1.8.7","/gabirel/miniforge3/lib/R/library"
"stringr","1.6.0","/gabirel/miniforge3/lib/R/library"
"sysfonts","0.8.9","/gabirel/miniforge3/lib/R/library"
"tcltk","4.5.3","/gabirel/miniforge3/lib/R/library"
"tools","4.5.3","/gabirel/miniforge3/lib/R/library"
"torch","0.17.0","/gabirel/miniforge3/lib/R/library"
"truncnorm","1.0-9","/gabirel/miniforge3/lib/R/library"
"utils","4.5.3","/gabirel/miniforge3/lib/R/library"
"vctrs","0.7.3","/gabirel/miniforge3/lib/R/library"
"viridisLite","0.4.3","/gabirel/miniforge3/lib/R/library"
"wdm","0.2.6","/gabirel/miniforge3/lib/R/library"
"withr","3.0.3","/gabirel/miniforge3/lib/R/library"
"xts","0.14.2","/gabirel/miniforge3/lib/R/library"
"yaml","2.3.12","/gabirel/miniforge3/lib/R/library"
"zoo","1.8-15","/gabirel/miniforge3/lib/R/library"
