============================================================
PYTHON DEBUG LOG STARTED
============================================================
[18:18:22] Run seed: 20261001
[18:18:22] Run mode: full
[18:18:22] PyTorch: 2.10.0+cu128
[18:18:22] Device: cuda
[18:18:22] Action schema: interior_rank_partition_leverage_gate_v5; projection temperature=1.5
[18:18:22] Experiment: algorithm=sac; encoder=lstm; vine_features=full; cvar_observation=full; cvar_reward=full; pretraining=vine_synthetic; finetune=True
[18:18:22] GPU: NVIDIA A100-SXM4-80GB
[18:18:22] PYTHON: Framework ready.
[18:18:22] Action schema: interior_rank_partition_leverage_gate_v5 | gross=1.500 | net=1.000 | max_long=0.600 | max_short=0.200
[18:18:22] Risk/training: entropy_coef=0.1 | leverage_target=0.800 | leverage_penalty=0.25 | direction_bound=5.000 | AMP=False
[18:18:22] ============================================================
[18:18:22] STAGE 1: PRE-TRAINING
[18:18:22] ============================================================
[18:18:22] ============================================================
[18:18:22] TRAIN STAGE STARTED: stage=pretrain, episodes=1000, batch_size=128, updates_per_step=1
[18:18:22] ============================================================
[18:18:56] Episode 40  Reward:  -0.109309  Wealth:     99441.15  Turnover: 1.0452  Gross: 1.2499  Gate: 0.4998
[18:18:56] Episode     40  AvgReward:  -0.057046  Noise: 0.1387
[18:18:56] Episode 41  Reward:   0.114473  Wealth:    127510.62  Turnover: 1.1675  Gross: 1.2760  Gate: 0.5519
[18:18:57] Episode 42  Reward:   0.245544  Wealth:    150221.33  Turnover: 0.7388  Gross: 1.3523  Gate: 0.7046
[18:18:58] Episode 43  Reward:   0.146239  Wealth:    126433.79  Turnover: 0.2550  Gross: 1.5000  Gate: 1.0000
[18:18:59] Episode 44  Reward:   0.160910  Wealth:    128894.73  Turnover: 0.2336  Gross: 1.5000  Gate: 1.0000
[18:19:00] Episode 45  Reward:   0.224466  Wealth:    140582.70  Turnover: 0.3263  Gross: 1.5000  Gate: 1.0000
[18:19:01] Episode 46  Reward:  -0.031391  Wealth:    103356.03  Turnover: 0.2685  Gross: 1.5000  Gate: 1.0000
[18:19:02] Episode 47  Reward:   0.041025  Wealth:    111544.80  Turnover: 0.2772  Gross: 1.5000  Gate: 1.0000
[18:19:03] Episode 48  Reward:   0.072189  Wealth:    115664.12  Turnover: 0.2925  Gross: 1.5000  Gate: 1.0000
[18:19:04] Episode 49  Reward:   0.203527  Wealth:    136634.54  Turnover: 0.3111  Gross: 1.5000  Gate: 1.0000
[18:19:05] Episode 50  Reward:   0.188297  Wealth:    133310.83  Turnover: 0.1797  Gross: 1.5000  Gate: 1.0000
[18:19:05] Episode     50  AvgReward:   0.136528  Noise: 0.1360
[18:19:06] Episode 51  Reward:   0.084334  Wealth:    117281.16  Turnover: 0.2908  Gross: 1.5000  Gate: 1.0000
[18:19:07] Episode 52  Reward:   0.174995  Wealth:    131209.49  Turnover: 0.2287  Gross: 1.5000  Gate: 1.0000
[18:19:08] Episode 53  Reward:  -0.063163  Wealth:    100061.38  Turnover: 0.2728  Gross: 1.4999  Gate: 0.9998
[18:19:09] Episode 54  Reward:   0.100632  Wealth:    120268.82  Turnover: 0.1593  Gross: 1.4976  Gate: 0.9951
[18:19:09] Episode 55  Reward:   0.035699  Wealth:    111964.94  Turnover: 0.2418  Gross: 1.4971  Gate: 0.9943
[18:19:10] Episode 56  Reward:   0.170019  Wealth:    131988.95  Turnover: 0.2947  Gross: 1.4976  Gate: 0.9953
[18:19:11] Episode 57  Reward:  -0.216921  Wealth:     88336.08  Turnover: 0.3045  Gross: 1.4996  Gate: 0.9992
[18:19:12] Episode 58  Reward:  -0.056366  Wealth:    106202.35  Turnover: 0.2924  Gross: 1.4993  Gate: 0.9985
[18:19:13] Episode 59  Reward:  -0.165216  Wealth:     97660.60  Turnover: 0.3023  Gross: 1.4994  Gate: 0.9987
[18:19:14] Episode 60  Reward:  -0.154387  Wealth:     99954.37  Turnover: 0.3039  Gross: 1.4999  Gate: 0.9998
[18:19:14] Episode     60  AvgReward:  -0.009037  Noise: 0.1333
