update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,entropy_temperature,stage,episode,step,pass
100,0.06963590532541275,0.02965526282787323,-0.0004742273595184088,0.0009543910855427384,0.00898756179958582,0.01797357201576233,0.13680557906627655,0.09707148373126984,pretrain,10,11,
200,0.06851734966039658,-0.05007815361022949,0.03754999488592148,0.036115117371082306,0.03281940519809723,0.013431409373879433,0.10024368762969971,0.09414561092853546,pretrain,14,15,
300,0.0846378281712532,-0.0463622510433197,0.04472363740205765,0.04317135363817215,0.04561367258429527,0.012990946881473064,0.08787216246128082,0.09126564860343933,pretrain,18,19,
400,0.07265837490558624,-0.09011545777320862,0.061787985265254974,0.06042419746518135,0.10319767892360687,0.012482544407248497,0.4712817370891571,0.0884493738412857,pretrain,22,23,
500,0.05978333204984665,-0.20487800240516663,0.13689196109771729,0.13764184713363647,0.11173192411661148,0.013958764262497425,0.2840023338794708,0.08569016307592392,pretrain,27,3,
600,0.05910032242536545,-0.2257656753063202,0.1519007682800293,0.15912537276744843,0.1686488538980484,0.013765810057520866,0.1684032678604126,0.08299518376588821,pretrain,31,7,
700,0.054594069719314575,-0.3273114264011383,0.22442853450775146,0.23273852467536926,0.22292828559875488,0.0151069862768054,0.08510935306549072,0.08036438375711441,pretrain,35,11,
800,0.042207177728414536,-0.40272194147109985,0.2948073148727417,0.30289632081985474,0.2730666697025299,0.015329440124332905,0.2867637574672699,0.07779529690742493,pretrain,39,15,
900,0.07167251408100128,-0.46221059560775757,0.3105248212814331,0.32997965812683105,0.36978742480278015,0.02224777452647686,0.5886849761009216,0.07529639452695847,pretrain,43,19,
1000,0.05100584030151367,-0.512290358543396,0.3859506845474243,0.37971174716949463,0.3875499963760376,0.02183452807366848,0.10329503566026688,0.07285743206739426,pretrain,47,23,
1100,0.04995928332209587,-0.6250663995742798,0.4922374486923218,0.48522400856018066,0.47657597064971924,0.0319192111492157,0.32481464743614197,0.0704888254404068,pretrain,52,3,
1200,0.05762362480163574,-0.6462297439575195,0.5096710920333862,0.5220571756362915,0.5184096097946167,0.03957308456301689,0.53211909532547,0.06818472594022751,pretrain,56,7,
1300,0.04589201509952545,-0.6703798770904541,0.5115232467651367,0.538610577583313,0.5479461550712585,0.04168732836842537,0.9414145946502686,0.06594789028167725,pretrain,60,11,
1400,0.04727260023355484,-0.6957864165306091,0.5441641807556152,0.5671446919441223,0.5868872404098511,0.044175341725349426,1.2584335803985596,0.0637766644358635,pretrain,64,15,
1500,0.03992500528693199,-0.8499575853347778,0.6972498893737793,0.7008188962936401,0.6419591903686523,0.027008190751075745,2.067462682723999,0.061673711985349655,pretrain,68,19,
1600,0.03869571536779404,-0.8023126125335693,0.6513330340385437,0.6258145570755005,0.6580184698104858,0.04169418662786484,1.2905993461608887,0.05963573977351189,pretrain,72,23,
1700,0.029150810092687607,-0.8825407028198242,0.7276241779327393,0.7266335487365723,0.7507184743881226,0.026638874784111977,0.9508624076843262,0.0576624758541584,pretrain,77,3,
