"window_id","decision_date","holding_end_date","w_SP500","w_NASDAQ","w_DOW","w_SSE50","w_DIVIDEND","w_CHINEXT","w_GOLD"
"locked_oos_v1",2024-07-31,2024-08-30,-0.0140282780464207,0.147705542988011,0.225803482479283,0.220544609374234,-0.0148381766464029,0.150707784241864,0.284105035609433
"locked_oos_v1",2024-08-30,2024-09-30,-0.0139880498339023,0.149194317736796,0.225552665867976,0.220284732856921,-0.0148798191387739,0.149925517716578,0.283910634794405
"locked_oos_v1",2024-09-30,2024-10-31,-0.0145910870549934,0.14393969305924,0.217953447784696,0.22108176776341,-0.0142174087730902,0.15277356335095,0.293060023869787
"locked_oos_v1",2024-10-31,2024-11-29,-0.0141069541818329,0.14856675386961,0.222300053840237,0.224023209219532,-0.0148690452000925,0.147254751329975,0.28683123112257
"locked_oos_v1",2024-11-29,2024-12-31,-0.014311523708914,0.144772161197449,0.221864972662713,0.221587960076119,-0.0145294112818582,0.152340446066644,0.288275394987847
"locked_oos_v1",2024-12-31,2025-01-27,-0.014188463134425,0.147473358283085,0.225863092312855,0.219303496847195,-0.014681742792683,0.147548966774983,0.288681291708989
"locked_oos_v1",2025-01-27,2025-02-28,-0.0140505611364331,0.148419286922685,0.223775129632226,0.222972150758973,-0.0149026886959161,0.147924300150147,0.285862382368318
"locked_oos_v1",2025-02-28,2025-03-31,-0.0141883597576193,0.146914180102093,0.222871895613415,0.223209079088909,-0.0148508542084268,0.146197970690472,0.289846088471157
"locked_oos_v1",2025-03-31,2025-04-30,-0.0140386434005839,0.15095166622528,0.224631232608642,0.223259923447456,-0.0149675575750215,0.142683980454292,0.287479398239936
"locked_oos_v1",2025-04-30,2025-05-30,-0.0139597948374493,0.150388160188283,0.225648858983602,0.223246806700315,-0.0149220671238644,0.144523838002767,0.285074198086347
"locked_oos_v1",2025-05-30,2025-06-30,-0.0142495315521955,0.145308969542384,0.222889600321651,0.221407411620021,-0.0145740136504173,0.150212792679667,0.28900477103889
"locked_oos_v1",2025-06-30,2025-07-31,-0.0143432136891144,0.143677902940129,0.221737188819264,0.221915481212948,-0.0145219782633441,0.150837821486805,0.290696797493313
"locked_oos_v1",2025-07-31,2025-08-29,-0.0143710181915334,0.143402559416635,0.222154034035546,0.221857038991792,-0.0145318296604923,0.149323491113526,0.292165724294526
"locked_oos_v1",2025-08-29,2025-09-30,-0.0144939378702215,0.142868933933122,0.218319339411599,0.224958760397775,-0.0144736108237079,0.149169711130006,0.293650803821427
"locked_oos_v1",2025-09-30,2025-10-31,-0.0144433502906135,0.143314266311271,0.215645575629813,0.226830282913787,-0.0145124823653272,0.149713480579002,0.293452227222068
"locked_oos_v1",2025-10-31,2025-11-28,-0.0143252736223596,0.143895917172943,0.221142523522888,0.223194920058761,-0.0145074403179543,0.150300466056381,0.290298887129341
"locked_oos_v1",2025-11-28,2025-12-31,-0.0141412296465465,0.145930240196841,0.224413583321231,0.222694078726428,-0.0147715711167881,0.147204512996333,0.288670385522502
"locked_oos_v1",2025-12-31,2026-01-30,-0.0141772598560367,0.144989443144628,0.223307830414602,0.224068728408643,-0.0148124293025051,0.146332410297223,0.290291276893445
"locked_oos_v1",2026-01-30,2026-02-27,-0.0141968007332512,0.145425586295979,0.219108520341771,0.226221127701657,-0.0147961272991129,0.147528289152043,0.290709404540913
"locked_oos_v1",2026-02-27,2026-03-31,-0.0141207374898451,0.145761325556253,0.224055617648576,0.223751350838159,-0.0148652078849929,0.145791351396058,0.289626299935792
"locked_oos_v1",2026-03-31,2026-04-30,-0.0139152141554015,0.14873375424317,0.228241388286863,0.223461021270071,-0.0150428744299071,0.141328547682081,0.287193377103124
"locked_oos_v1",2026-04-30,2026-05-29,-0.0143666879406997,0.142732950193541,0.220451699835914,0.22325416122164,-0.0145509780517646,0.149674909455436,0.292803945285933
"locked_oos_v1",2026-05-29,2026-06-30,-0.0142897682796632,0.142971934883722,0.220573367684015,0.223676594107279,-0.0146332614656006,0.149482043593058,0.29221908947719
"locked_oos_v1",2026-06-30,2026-07-06,-0.0141613737546972,0.144308685990317,0.224295094343168,0.223354935379965,-0.0148092538916639,0.14638118419264,0.290630727740271
