"window_id","decision_date","holding_end_date","w_SP500","w_NASDAQ","w_DOW","w_SSE50","w_DIVIDEND","w_CHINEXT","w_GOLD"
"locked_oos_v1",2024-07-31,2024-08-30,0.233931952555265,0.283943795998182,-0.0167801702128989,0.152077117402639,-0.0218567518251283,0.175419413883771,0.193264642198171
"locked_oos_v1",2024-08-30,2024-09-30,0.245133523962327,0.286003415605852,-0.0181995563741241,0.153548483869859,-0.0244604506130729,0.181030144116708,0.176944439432451
"locked_oos_v1",2024-09-30,2024-10-31,0.192498418901648,0.265839877937521,-0.0161094633596284,0.179546404097761,-0.0169805479901178,0.145320627306189,0.249884683106627
"locked_oos_v1",2024-10-31,2024-11-29,0.254069596262915,0.297240048380835,-0.0170568751969508,0.124777778717024,-0.0241771696933678,0.182522758575422,0.182623862954123
"locked_oos_v1",2024-11-29,2024-12-31,0.202825884201697,0.271090174892119,-0.0163524552647557,0.176032419183425,-0.018808956391045,0.162199343421629,0.223013589956931
"locked_oos_v1",2024-12-31,2025-01-27,0.24385684914887,0.279992999508977,-0.0176147446036339,0.154616208747029,-0.0226450134068727,0.17730906791985,0.184484632685781
"locked_oos_v1",2025-01-27,2025-02-28,0.246401066492711,0.293274859498654,-0.0176282929522651,0.141924912642155,-0.0243485210729497,0.177500764440213,0.182875210951482
"locked_oos_v1",2025-02-28,2025-03-31,0.250157624217016,0.299614041777594,-0.0178264419415168,0.130546524854643,-0.0244488662907056,0.170459493728621,0.191497623654348
"locked_oos_v1",2025-03-31,2025-04-30,0.284790762833187,0.308024176529476,-0.0208627608205591,0.119073734751769,-0.0290817943002497,0.16926112132413,0.168794759682247
"locked_oos_v1",2025-04-30,2025-05-30,0.269078727545483,0.295855995001537,-0.0208240843244961,0.141580547871334,-0.0281848910131625,0.170336719336254,0.17215698558305
"locked_oos_v1",2025-05-30,2025-06-30,0.204472680975284,0.266679515529956,-0.0168547281729323,0.188909833718623,-0.0196857606726033,0.15728983788618,0.219188620735492
"locked_oos_v1",2025-06-30,2025-07-31,0.201947089018566,0.268134142937405,-0.0160043912806681,0.176201577963574,-0.0180671832391194,0.158603261890156,0.229185502710087
"locked_oos_v1",2025-07-31,2025-08-29,0.205948353611997,0.271665544116071,-0.016014344191977,0.167646900617651,-0.0183289173458304,0.160551116668752,0.228531346523336
"locked_oos_v1",2025-08-29,2025-09-30,0.206705917737314,0.281142314097711,-0.0160343748118196,0.151111056229898,-0.0180566300238882,0.153646488807031,0.241485227963754
"locked_oos_v1",2025-09-30,2025-10-31,0.200128385797143,0.287270361557603,-0.0161648541688919,0.146277317777276,-0.0179351586848497,0.150728741660714,0.249695206061006
"locked_oos_v1",2025-10-31,2025-11-28,0.205105219834617,0.271771450393966,-0.0161408494625773,0.167037998193077,-0.0181363440517869,0.159839321726135,0.230523203366569
"locked_oos_v1",2025-11-28,2025-12-31,0.244595150862421,0.28603763452598,-0.017033510442291,0.141656454120364,-0.0221787547426564,0.173920344029154,0.193002681647028
"locked_oos_v1",2025-12-31,2026-01-30,0.239236960187554,0.292273947969079,-0.0171406101435423,0.137904593721032,-0.0223759897053242,0.167107293382287,0.202993804588914
"locked_oos_v1",2026-01-30,2026-02-27,0.215863520545619,0.288371349019664,-0.0168089994362423,0.148432860417025,-0.0202223860791751,0.155445272369044,0.228918383164065
"locked_oos_v1",2026-02-27,2026-03-31,0.258303040904658,0.29315825764622,-0.017807276653392,0.133088449282306,-0.0235815660229751,0.171168053788798,0.185671041054385
"locked_oos_v1",2026-03-31,2026-04-30,0.307862106710672,0.306582871824503,-0.0206458866596222,0.119565170258284,-0.0294374190270901,0.16975237801671,0.146320778876543
"locked_oos_v1",2026-04-30,2026-05-29,0.193841861294849,0.267869921135051,-0.0164271931030921,0.185969011592013,-0.0176567028143576,0.144248159336192,0.242154942559344
"locked_oos_v1",2026-05-29,2026-06-30,0.215085760557226,0.279077381693891,-0.0159328329776015,0.154961258971265,-0.0193248830203499,0.165583134495786,0.220550180279783
"locked_oos_v1",2026-06-30,2026-07-06,0.257625733901347,0.298738782693233,-0.0168267456548555,0.12097928433546,-0.022772936682616,0.176976819921817,0.185279061485614
