label,alternative_experiment_id,seed,paired_annualized_ce_difference,inference_scope
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261001,0.04512094507317066,training_randomness_only
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261002,-0.13721545509692756,training_randomness_only
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261003,-0.25282637363540683,training_randomness_only
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261004,-0.0647404319256284,training_randomness_only
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261005,-0.13715970263725397,training_randomness_only
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261006,-0.13987869448140233,training_randomness_only
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261007,-0.09971709805440976,training_randomness_only
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261008,0.08058394781743972,training_randomness_only
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261009,0.018449169420741374,training_randomness_only
Direct NN-vine state contribution,zero_vine_features_keep_cvar_observation,20261010,-0.04502080985872081,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261001,-0.14764177458758354,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261002,-0.0878650257453708,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261003,-0.1204186069904063,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261004,0.17767800029615755,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261005,-0.08584950035639038,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261006,-0.2721347759848791,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261007,-0.09222242552718507,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261008,0.22036046269988763,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261009,-0.027769934102735983,training_randomness_only
Scenario-CVaR observation contribution,keep_vine_features_zero_cvar_observation,20261010,-0.11458624863670575,training_randomness_only
