experiment_id,strategy_id,strategy_level,seed,observations,elapsed_years,total_return,cagr,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,omega_ratio,monthly_var_95_loss,monthly_cvar_95_loss,annualized_certainty_equivalent_return,mean_crra_utility,terminal_wealth,gross_total_return_before_costs,mean_monthly_turnover,annualized_turnover,mean_gross_exposure,maximum_gross_exposure,mean_short_notional,total_transaction_cost,total_financing_cost,implementation_drag_total_return
a2c_lstm_full,a2c_lstm_full__seed_20261001,seed,20261001.0,22,1.8383561643835618,0.5088969400185246,0.2507900567241488,0.1661264963846908,1.4350156102772664,4.482062195999625,0.08819863386998006,2.843468721906242,3.22007906966829,0.03386446948483262,0.0356386438819168,0.2359786675602702,0.01754784033118988,150889.69400185245,0.5139197934388948,0.09522035816824753,1.1395223190626342,1.044549877065923,1.0449520684778697,0.022274938532961655,0.0020948478797012645,0.001228448559411619,0.005022853420370232
a2c_lstm_full,a2c_lstm_full__seed_20261002,seed,20261002.0,22,1.8383561643835618,0.619124006399024,0.2996933460368074,0.1421155479031781,1.9306316078264905,4.970917037887413,0.07209157608204686,4.157120184135366,5.695253355192716,0.015829180072198037,0.04408872786658505,0.2879276166708602,0.020922006119222045,161912.4006399024,0.6241264070356767,0.06773020467046242,0.8105417935973371,1.0578313987677943,1.058078427932092,0.028915699383897046,0.0014900645027501062,0.0015947448495308974,0.005002400636652693
a2c_lstm_full,a2c_lstm_full__seed_20261003,seed,20261003.0,22,1.8383561643835618,0.6806285018439688,0.32632071774032956,0.14673666256158285,2.01525512741983,5.609559990827096,0.06810484495663272,4.791446452130118,5.762140039859006,0.016168351184550837,0.042286975690284695,0.3135944191248736,0.0225350812857576,168062.85018439687,0.6848547528337317,0.06407459359130442,0.766794316748397,1.0399614815878402,1.0407864914408755,0.019980740793920117,0.0014096410590086154,0.0011018872366135618,0.004226250989762814
a2c_lstm_full,a2c_lstm_full__seed_20261004,seed,20261004.0,22,1.8383561643835618,0.4839387962729036,0.23949325278134093,0.17272749684932387,1.3317986246740343,4.058597869328699,0.08146592768969108,2.9397965452942,3.1408969554154975,0.04148782620935436,0.0427816408548733,0.22392230762560827,0.01674278020238389,148393.87962729036,0.48700829299777504,0.05949229877622624,0.7119570181417239,1.0274710782029508,1.0276868086574338,0.013735539101475331,0.0013088305730768548,0.0007575123975720583,0.0030694967248714455
a2c_lstm_full,a2c_lstm_full__seed_20261005,seed,20261005.0,22,1.8383561643835618,0.5288046330351086,0.25973991093683657,0.13802274716986032,1.7529304941858541,5.01945196685997,0.04540072184163857,5.721052450285496,4.143376009465951,0.03755099282454837,0.042057904742734,0.24904991556510514,0.018411111384900692,152880.46330351086,0.53357464419006,0.06579222733299923,0.7873496057883514,1.0604839017735674,1.0609004587999404,0.030241950886783643,0.0014474290013258928,0.0016678056451774595,0.004770011154951348
a2c_lstm_full,a2c_lstm_full__seed_20261006,seed,20261006.0,22,1.8383561643835618,0.298164186784722,0.15251679233802085,0.10190238826323818,1.449601779958305,2.7598966844044024,0.060430596576506734,2.5238339678631263,3.2617251566710714,0.03643391867897855,0.04908037856631895,0.1468846063714342,0.01138673358936096,129816.4186784722,0.30187387199316973,0.06206900902186407,0.742793058786242,1.0539639463841721,1.0541745030454224,0.026981973192086083,0.0013655181984809411,0.0014880459739365576,0.0037096852084477216
a2c_lstm_full,a2c_lstm_full__seed_20261007,seed,20261007.0,22,1.8383561643835618,0.4145205559060312,0.20760819674530184,0.10900348416732092,1.7961504065880234,3.545878967619027,0.06788695288031099,3.0581457546242836,3.881732883735812,0.019668077895881955,0.0438084375458404,0.20082068404970932,0.015175885338222466,141452.05559060312,0.41884150108040274,0.060330199034948385,0.7219843491067592,1.0624749518737393,1.0632326805165828,0.03123747593686954,0.0013272643787687818,0.0017227860116919415,0.004320945174371538
a2c_lstm_full,a2c_lstm_full__seed_20261008,seed,20261008.0,22,1.8383561643835618,0.6393458587547907,0.30849817603609564,0.1833909813264038,1.5638749015696176,5.716736390074985,0.053888181614802355,5.724783557204969,4.488748560719208,0.02503710579551792,0.039549434015039395,0.2905149121896464,0.02108618094786011,163934.58587547907,0.6446966178853648,0.07321708163110954,0.8762044195198354,1.05975693380823,1.0602367030722748,0.029878466904114973,0.001610775795884288,0.0016478689405994315,0.005350759130574145
a2c_lstm_full,a2c_lstm_full__seed_20261009,seed,20261009.0,22,1.8383561643835618,0.2945896171403761,0.15078942501067072,0.10089596006469496,1.448105683597326,2.8085220321877467,0.04790442115055804,3.1477141647689897,3.0014440918817993,0.04544409154858612,0.0475017129950255,0.14526775685534932,0.01127018280675794,129458.9617140376,0.2980677212909639,0.05805544294436857,0.6947618581867058,1.0509817445553937,1.0512672699987904,0.025490872277696804,0.0012772197447760154,0.0014058237762651655,0.003478104150587802
a2c_lstm_full,a2c_lstm_full__seed_20261010,seed,20261010.0,22,1.8383561643835618,0.6839857316778859,0.32776127517179954,0.13767841702879274,2.1479884323902736,5.411862443362616,0.06633753181111102,4.940812029381263,5.40929399876543,0.02145287839943128,0.04396615663579315,0.3162927401689437,0.022702674941384324,168398.5731677886,0.6885375513091994,0.06513592249508658,0.7794954659248066,1.0459245091860556,1.0462589761508352,0.022962254593027843,0.00143299029489186,0.0012663668411658196,0.0045518196313134585
