update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,stage,episode,step,pass
100,0.0026527484878897667,-0.09379049390554428,0.07007191330194473,,0.06495834141969681,,0.05969296023249626,pretrain,10,11,
200,0.0023717498406767845,-0.08113785088062286,0.07044702023267746,,0.05702311918139458,,0.1428016871213913,pretrain,14,15,
300,0.0017145840683951974,-0.08947554230690002,0.0682557076215744,,0.07174912095069885,,0.04338111728429794,pretrain,18,19,
400,0.0027029751800000668,-0.08823810517787933,0.07470078766345978,,0.05886705219745636,,0.17566511034965515,pretrain,22,23,
500,0.0012564683565869927,-0.10933887958526611,0.08463229238986969,,0.08317074179649353,,0.023617345839738846,pretrain,27,3,
600,0.0012444272870197892,-0.10155081003904343,0.08422181010246277,,0.0823289304971695,,0.027845874428749084,pretrain,31,7,
700,0.0018282796954736114,-0.10097654908895493,0.08054687082767487,,0.08117683231830597,,0.018576696515083313,pretrain,35,11,
800,0.0024212319403886795,-0.10459068417549133,0.08161354064941406,,0.08911366015672684,,0.09045552462339401,pretrain,39,15,
900,0.0016612636391073465,-0.10924424231052399,0.08800934255123138,,0.08650586009025574,,0.02851186878979206,pretrain,43,19,
1000,0.0014456140343099833,-0.10467206686735153,0.09210707247257233,,0.09417685866355896,,0.029163161292672157,pretrain,47,23,
1100,0.0012767018051818013,-0.10475309938192368,0.094211146235466,,0.09500391781330109,,0.025919977575540543,pretrain,52,3,
1200,0.00205205287784338,-0.10429952293634415,0.09123237431049347,,0.08973833918571472,,0.03167743235826492,pretrain,56,7,
1300,0.0020966618321835995,-0.08246000856161118,0.07891067862510681,,0.08222956955432892,,0.055015720427036285,pretrain,60,11,
1400,0.0017756086308509111,-0.09460717439651489,0.08514560759067535,,0.08351559191942215,,0.03417016193270683,pretrain,64,15,
1500,0.0014824671670794487,-0.09538663178682327,0.08395901322364807,,0.0833081603050232,,0.02500532567501068,pretrain,68,19,
1600,0.0015620894264429808,-0.1072809174656868,0.09704097360372543,,0.08474056422710419,,0.14740672707557678,pretrain,72,23,
1700,0.0016667292220517993,-0.08856669068336487,0.07411893457174301,,0.08030245453119278,,0.08063989132642746,pretrain,77,3,
1800,0.0014627459459006786,-0.09397884458303452,0.07681860029697418,,0.07884502410888672,,0.04187780246138573,pretrain,81,7,
1900,0.001300851465202868,-0.07759948819875717,0.07530466467142105,,0.08168123662471771,,0.08320947736501694,pretrain,85,11,
2000,0.0015037390403449535,-0.09378761053085327,0.0893339216709137,,0.08541879057884216,,0.07130247354507446,pretrain,89,15,
2100,0.001539367949590087,-0.08113644272089005,0.0679444670677185,,0.06627830117940903,,0.026753105223178864,pretrain,93,19,
2200,0.0012893300736323,-0.07516060769557953,0.06680817902088165,,0.07229264080524445,,0.0713515654206276,pretrain,97,23,
2300,0.001092631253413856,-0.08625750243663788,0.07577015459537506,,0.08444927632808685,,0.11595068126916885,pretrain,102,3,
2400,0.0019301989814266562,-0.07874375581741333,0.07115820050239563,,0.07274064421653748,,0.034199003130197525,pretrain,106,7,
2500,0.0012952294200658798,-0.08875712752342224,0.07736632227897644,,0.07754343748092651,,0.026145095005631447,pretrain,110,11,
2600,0.001212880713865161,-0.09242315590381622,0.07822565734386444,,0.07865069806575775,,0.03504786267876625,pretrain,114,15,
2700,0.001304382923990488,-0.10119525343179703,0.08736222237348557,,0.0855151042342186,,0.03799289092421532,pretrain,118,19,
2800,0.0014229106018319726,-0.08779038488864899,0.07628203183412552,,0.08292117714881897,,0.08934921771287918,pretrain,122,23,
2900,0.001511124661192298,-0.08593375980854034,0.07425662875175476,,0.07611508667469025,,0.033639680594205856,pretrain,127,3,
