strategy_id,window_id,decision_date,holding_end_date,trading_days,is_complete_period,gross_return,net_return,wealth,drawdown,turnover,turnover_convention,transaction_cost,financing_cost,financing_year_fraction,short_notional,cash_borrow_notional,gross_exposure,net_exposure,w_SP500,w_NASDAQ,w_DOW,w_SSE50,w_DIVIDEND,w_CHINEXT,w_GOLD,experiment_id,strategy_level,seed
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2024-07-31,2024-08-30,22,True,-0.014407299747100644,-0.016576412417133146,98342.35875828669,-0.016576412417133146,1.6951658039220738,target_to_target_v1,0.0016951658039220739,0.0005080801122156636,0.08333333333333333,0.203232044886265,6.661338147750939e-16,1.4064640897725307,1.0000000000000007,-0.10251005113657,-0.100721993749695,0.0156241168401071,0.0282236437446305,0.567278495723648,0.0260870966262051,0.566018691951675,masked_historical_prefix_1000_presentations,seed,20261001.0
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2024-08-30,2024-09-30,18,True,0.10998287213351765,0.10935986152382382,109097.06549401913,0.0,0.043998781059469916,target_to_target_v1,4.3998781059469917e-05,0.000517438275606505,0.08333333333333333,0.20697531024260202,0.0,1.4139506204852041,1.0,-0.104441042590354,-0.102534267652248,0.0139846014125007,0.0502230342743652,0.566397067558553,0.0174810424713152,0.558889564525868,masked_historical_prefix_1000_presentations,seed,20261001.0
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2024-09-30,2024-10-31,18,True,0.020971365997285663,0.019530358032205264,111227.77024338028,0.0,0.956015086067575,target_to_target_v1,0.000956015086067575,0.00045639068420444255,0.08333333333333333,0.18255627368177701,0.0,1.365112547363554,1.0,0.188249415584973,-0.0858576308403697,0.0782442678298269,-0.0966986428414073,0.235311201640538,0.0942388762320791,0.58651251239436,masked_historical_prefix_1000_presentations,seed,20261001.0
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2024-10-31,2024-11-29,20,True,-0.01749243539482004,-0.01893175325151275,109122.03354241666,-0.01893175325151275,0.9463315105863973,target_to_target_v1,0.0009463315105863973,0.0005196858503456625,0.08333333333333333,0.207874340138265,0.0,1.41574868027653,1.0,-0.106162703196917,-0.101711636941348,0.0164080051971333,0.0414458377552884,0.570332476337041,0.0193498129291194,0.560338207919683,masked_historical_prefix_1000_presentations,seed,20261001.0
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2024-11-29,2024-12-31,21,True,0.03439647616408159,0.033566004119019555,112784.8241697772,0.0,0.269714820597853,target_to_target_v1,0.000269714820597853,0.0005334642482921481,0.08333333333333333,0.213385699316859,4.440892098500626e-16,1.4267713986337185,1.0000000000000004,-0.107131387107074,0.0131332166492939,-0.106254312209785,0.0515470402315259,0.565633666701615,0.0292611671611667,0.553810608573258,masked_historical_prefix_1000_presentations,seed,20261001.0
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2024-12-31,2025-01-27,16,True,-0.007034085260044454,-0.008076020185184274,111873.97165319962,-0.008076020185184274,0.5563943726675853,target_to_target_v1,0.0005563943726675853,0.0004934724473527509,0.08333333333333333,0.1973889789410998,8.881784197001252e-16,1.3947779578822006,1.0000000000000009,0.0291252125586782,0.0179773483957563,0.0217609171356473,-0.0964034843657698,0.567200246133975,-0.10098549457533,0.561325254717044,masked_historical_prefix_1000_presentations,seed,20261001.0
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2025-01-27,2025-02-28,17,True,0.009466709763636949,0.008422044762464775,112816.17925021758,0.0,0.5210400423301113,target_to_target_v1,0.0005210400423301113,0.000514364007727375,0.08333333333333333,0.20574560309095,0.0,1.4114912061818998,1.0,-0.104143032404993,-0.101602570685957,0.0152176855398076,0.0449318647650736,0.56903933587351,0.0163600877193468,0.560196629193212,masked_historical_prefix_1000_presentations,seed,20261001.0
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2025-02-28,2025-03-31,21,True,0.06804024920528029,0.06721110374069728,120398.67917743305,0.0,0.2718186277363984,target_to_target_v1,0.0002718186277363984,0.0005048070422240678,0.08333333333333333,0.201922816889627,2.220446049250313e-16,1.4038456337792542,1.0000000000000002,-0.100912659295968,0.0203296161655869,0.018493632919022,0.0263927962098803,0.572300613990852,-0.101010157593659,0.564406157604286,masked_historical_prefix_1000_presentations,seed,20261001.0
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2025-03-31,2025-04-30,20,True,0.02884347743829685,0.026507241767061984,123590.1160748242,0.0,1.7909614379916878,target_to_target_v1,0.0017909614379916878,0.00048236024432948686,0.08333333333333333,0.1929440977317946,2.220446049250313e-16,1.3858881954635893,1.0000000000000002,0.227295743567603,0.518921019775527,0.0836306980678013,-0.0954777875116893,0.0409175253340176,-0.0974663102201053,0.322179110986846,masked_historical_prefix_1000_presentations,seed,20261001.0
masked_historical_prefix_1000_presentations__seed_20261001,locked_oos_v1,2025-04-30,2025-05-30,18,True,0.06774293145621324,0.06651860199792048,131811.15781688222,0.0,0.7329384961298543,target_to_target_v1,0.0007329384961298544,0.0004143713095358442,0.08333333333333333,0.1657485238143377,0.0,1.3314970476286756,1.0,0.116303837725094,0.543692647346429,0.115924640425614,-0.0793185766254153,0.323125629552773,-0.0864299471889224,0.0667017687644277,masked_historical_prefix_1000_presentations,seed,20261001.0
