candidate,comparator,seed,ce_difference,cagr_difference,volatility_difference,turnover_difference,gross_exposure_difference
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261001,0.013964259857819572,0.019530974828533054,0.030367933876684683,-0.161305878269063,0.029216872685431605
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261002,0.2059147826436427,0.217525416735042,0.045451894258418085,-0.05297210175156952,0.03630965605813552
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261003,-0.12765526133382132,-0.1360619008956554,-0.038949191386808496,-0.14970017400533897,0.02309939972814412
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261004,-0.23875325526681745,-0.23899681522637373,0.007427466131542271,0.23655742936610397,0.018413047656997472
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261005,0.33965910773343033,0.36055634482346144,0.09259207463638214,-0.003173577417800999,-0.022295261793709553
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261006,-0.2130938997388534,-0.21782577214566712,-0.014630472272468331,-0.1676946413739544,0.024290770292282104
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261007,-0.03829846866387787,-0.03985101790748935,-0.009007323872024464,-0.7355990113884019,0.0045327549534184275
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261008,0.07701721884315815,0.07879032578501799,0.0013138620318710048,-0.4128714005474923,0.014023128534098594
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261009,-0.31087175319398996,-0.3102872843130715,0.01447993060361219,-0.718787014587214,-0.009860197783677194
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_historical_prefix_1000_presentations,20261010,0.14562090631346258,0.15438553523764575,0.04554040364602836,-0.3905910221049438,0.01930570914470553
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261001,-0.01614802597687026,-0.023433923422115477,-0.03708964757371072,-0.7413451258794634,0.013537035263204045
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261002,0.16010044389552425,0.16164926395786328,-0.012947838394188588,-0.7487769986006928,0.00944310078977928
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261003,0.1315845126114532,0.12787176544952716,-0.021767476365971677,-0.48907917174329174,0.01309883332049333
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261004,-0.09736932570095091,-0.10026674746995035,-0.014119292370209396,-0.7647368611659031,-0.00890087653193361
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261005,0.22178629011047502,0.23620731034802933,0.05464879767045,-0.5855510639655704,-0.0039353574106058
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261006,0.04088255948381336,0.04714637184985637,0.030899964284377218,-0.4759885327188995,0.0018977367428025804
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261007,0.017583941947615367,0.011241624017795271,-0.034511157128535364,-0.7115566639181278,-0.012101121996710651
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261008,0.12890006772343243,0.14140956096937107,0.061162414091173595,-0.6935675799387035,-0.0019417647272350624
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261009,0.03529872759519748,0.03548543735052245,-0.0003336923138677339,-0.8062998566582991,-0.007796423654857998
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,masked_moving_block_bootstrap_1000_presentations,20261010,0.08921001659574923,0.09540568997562637,0.02773600208079524,-0.7814131898732924,-0.0018227337678144995
