experiment_id,seed,source,observations,elapsed_years,total_return,cagr,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,omega_ratio,monthly_var_95_loss,monthly_cvar_95_loss,annualized_certainty_equivalent_return,mean_crra_utility,terminal_wealth,gross_total_return_before_costs,mean_monthly_turnover,annualized_turnover,mean_gross_exposure,maximum_gross_exposure,mean_short_notional,total_transaction_cost,total_financing_cost,implementation_drag_total_return
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261001,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.6079447216763043,0.2948042266917337,0.18786850234278069,1.47648270814081,3.979307374880214,0.11122999678568946,2.6504021865589262,3.4033352366031746,0.03232705342934295,0.05420955250901649,0.2747124980858231,0.020077838454729068,160794.47216763042,0.6430161810148152,0.47678132275385504,5.70574369852974,1.403189282332148,1.4183362892695837,0.20159464116607398,0.010489189100584813,0.011087705264134074,0.03507145933851086
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261002,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.7092826086416792,0.3385741080015765,0.19778257165467622,1.5838024871136223,3.757646245329891,0.08989120148504115,3.7664877363767224,3.564324986284444,0.05137878831150405,0.07119936964979434,0.3153234524926072,0.022642515027205868,170928.2608641679,0.7576260886474826,0.7664112911571738,9.17180725483175,1.4010647829234986,1.4181043761117123,0.20053239146174934,0.016861048405457824,0.011029281530396218,0.04834348000580335
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261003,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.7629652821450048,0.36128104678506645,0.16787976590807355,1.938382612580354,4.901519607922118,0.08639618268152183,4.181678351656343,5.506547094614632,0.016582016759794378,0.05151904094190635,0.34428335516430675,0.024419534255305173,176296.5282145005,0.8084142705487112,0.6474823016951518,7.748558692417389,1.4075835015286098,1.4275838243109842,0.20379175076430497,0.014244610637293334,0.011208546292036782,0.04544898840370637
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261004,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.3076084092372069,0.15707019127798372,0.14089526977473268,1.1082024677204747,2.219223014027814,0.10322506169173651,1.521628456343734,2.2648664669763705,0.04463032787142787,0.05400481336524804,0.146419337194992,0.011353212861722821,130760.8409237207,0.3374025634221096,0.5310093175692412,6.354701669271246,1.3944478354767544,1.4057924683604917,0.19722391773837727,0.011682204986523302,0.010847315475610759,0.02979415418490272
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261005,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.9646263904766459,0.44388902626118565,0.22248567300354483,1.7765649665439291,5.272404038245797,0.08817340213896174,5.034273550674774,5.068566545693868,0.04328348449361191,0.0642154118475034,0.41391745054813955,0.028527930763938673,196462.6390476646,1.0108143397783707,0.5660400922446475,6.773922415386764,1.3921747996483915,1.4064873095069603,0.19608739982419585,0.012452882029382247,0.010784806990330777,0.04618794930172476
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261006,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.5639365188729708,0.2754054104219539,0.17221092859658657,1.5074791464652602,3.0949329729733983,0.0910957246935602,3.0232528622874333,3.277535954755908,0.0546349968059756,0.0733978997532902,0.2581798520851717,0.019008297914595282,156393.65188729708,0.6058406169117359,0.7020699671868769,8.40182091879377,1.3998464256912084,1.4117736278900075,0.19992321284560416,0.015445539278111287,0.010995776706508233,0.04190409803876505
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261007,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.5854679943861794,0.2849271617813538,0.15696311384412837,1.687721364167156,3.2932183351295916,0.09044660128464355,3.1502251907140493,3.8062141363025526,0.05185851962084841,0.07172535490643173,0.27035022799196806,0.019797097843930453,158546.79943861795,0.6106971127619634,0.22116255273969906,2.646699401639021,1.3971589117177896,1.4047664137823241,0.19857945585889486,0.004865576160273379,0.010921870072239223,0.02522911837578401
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261008,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.6909717769564381,0.3307547330230285,0.19620084293301082,1.5638912211757827,4.007697795319465,0.0804944381061562,4.109038348548115,3.433543076771325,0.037425685625325625,0.05900379004477385,0.3083236408068186,0.022206632752663682,169097.1776956438,0.7280796935621452,0.4920727810278145,5.888739838529583,1.395702089751502,1.415122537740639,0.19785104487575103,0.01082560118261192,0.010881807468166313,0.037107916605707114
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261009,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.4855685074690388,0.24023354035748268,0.16285615459350328,1.4111319982252575,2.5154697795203407,0.10466750872742625,2.2952064425560725,3.471860777401836,0.06286766337618739,0.08545696591323171,0.22480049793284773,0.016801710703184366,148556.8507469039,0.5178363585622343,0.48319161089451673,5.7824569828360195,1.394840899419475,1.4094718375376276,0.19742044970973743,0.01063021543967937,0.010858124734035565,0.03226785109319552
synthetic_100_unique_1000_presentations_no_policy_visible_dependence,20261010,frozen_concentrated_vine_candidate,22,1.8383561643835618,0.8267786974977638,0.3878668123051936,0.16992879607802794,2.0337219477448465,4.74517111591543,0.09025185887581677,4.297604693537493,5.5311735849857,0.03701294434273317,0.06430096340253738,0.37011749449905573,0.025970091623166637,182677.86974977638,0.8654636456961398,0.45858770364581003,5.488016781335103,1.395147460041108,1.4089656301907139,0.19757373002055403,0.010088929480207821,0.010866555151130478,0.03868494819837598
