window_episodes,metric,value,comparison,threshold,pass
100,mean_leverage_gate,0.7921409639716148,<=,0.95,True
100,fraction_at_gross_cap,0.0,<=,0.75,True
100,gate_gross_mae,6.762643655141194e-08,<=,1e-05,True
100,mean_turnover,0.7010341900564776,<=,1.0,True
100,max_position_limit_violation,0.0,<=,1e-06,True
100,mean_normalized_direction_entropy,0.8512859654465089,>=,0.7,True
100,q05_normalized_direction_entropy,0.796874228662616,>=,0.5,True
100,mean_effective_positions,3.9998659302790958,>=,2.5,True
