check,status,detail
realized_period_count,pass,24 locked rows
common_realized_panel,pass,Every strategy joined one-to-one on period keys
net_exposure,pass,target=1.0
gross_leverage,pass,cap=1.5
single_asset_caps,pass,long=0.6; short=0.2
cost_contract,pass,"Common turnover, short-borrow and cash-financing rates applied"
primary_scope,pass,complete_periods
seed_inference,pass,Individual seeds excluded from market-path inference
