sample_scope,strategy_id,window_id,label,method,seed,role,include_main,include_inference,report_seed_distribution,observations,total_return,cagr,annual_arithmetic_return,geometric_mean_monthly_return,annual_volatility,annual_downside_deviation,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,max_drawdown,realized_var05_loss,realized_cvar05_loss,tail_event_count,worst_month_return,best_month_return,return_skewness,return_excess_kurtosis,monthly_certainty_equivalent_return,annualized_certainty_equivalent_return,mean_crra_utility,terminal_wealth,positive_month_fraction,gross_total_return_before_costs,implementation_drag_total_return,mean_monthly_turnover,annualized_turnover,mean_gross_exposure,maximum_gross_exposure,mean_short_notional,total_transaction_log_cost,total_financing_log_cost,mean_transaction_cost_bps,mean_financing_cost_bps
locked_all,equal_weight,locked_oos_v1,Equal weight,Equal weight,,benchmark,True,True,False,24.0,0.48409978835955547,0.21823634339136166,0.20683416296539403,0.016586401396119443,0.1299727819896877,0.043654256480317594,1.5913652058459797,4.738006775093039,3.79812513759107,3.9796973897419794,0.057458966064971806,0.034640204509832705,0.052237017640213046,1.0,-0.052237017640213046,0.12471163481501857,0.9937988064172567,1.814349560715693,0.015949326190949797,0.20910651004847414,0.015698938696822363,148409.97883595555,0.5833333333333334,0.48409978835955547,0.0,0.0,0.0,0.9999999999999997,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
locked_all,shrinkage_mean_variance,locked_oos_v1,Constrained shrinkage mean-variance,Constrained shrinkage mean-variance,,benchmark,True,True,False,24.0,0.4755475572643568,0.21472118499034876,0.20521865011482,0.016341635203771743,0.13829597589285067,0.07530554871624741,1.4839090493408127,2.725146468131948,2.211804735948834,3.0817822392975214,0.09707962981562035,0.07101401291334222,0.07831305111612985,1.0,-0.07831305111612985,0.09771666349078156,-0.4033553839526171,1.086157115792488,0.015571962073319678,0.2037281815489722,0.015333194155468008,147554.7557264357,0.75,0.47748770803154184,0.0019401507671850116,0.05470189935371794,0.6564227922446153,1.000038635770676,1.0000873427397168,1.9317885337874035e-05,0.0013128455844892307,1.1590731202857647e-06,0.5470189935371794,0.00048294713345240197
locked_all,dcc_garch,locked_oos_v1,DCC-GARCH,DCC-GARCH,,benchmark,True,True,False,24.0,0.5630504998075287,0.25022018053122497,0.23376723583175069,0.018784218124878294,0.1337530516296889,0.05703374099148894,1.7477525408464163,4.0987533303599255,3.1086647095461037,4.20746760540924,0.0804912088984211,0.05341885465357889,0.05792247404665696,1.0,-0.05792247404665696,0.10990309834863643,0.35602554527161784,1.0218453314358507,0.01809166187686939,0.24005962425235294,0.017770169970272656,156305.04998075287,0.7916666666666666,0.5688763871962956,0.005825887388766882,0.1525882017857639,1.8310584214291667,1.0019402966053537,1.011611986865433,0.0009701483026769367,0.003662116842858334,5.820889816061916e-05,1.525882017857639,0.02425370756692465
locked_all,static_vine,locked_oos_v1,Static vine optimizer,Static vine optimizer,,benchmark,True,True,False,24.0,0.572319718465133,0.25392173538268836,0.24139128771653567,0.01903523910689353,0.16773452523385055,0.065869724422683,1.4391270215836305,3.6646773587139796,3.22192150733631,3.0455392497211142,0.07881065221623462,0.048851554588234564,0.06506472297616883,1.0,-0.06506472297616883,0.15073537154083594,0.751021704802088,0.9829974443879794,0.01797414529614838,0.23834305873656403,0.017656779771080867,157231.9718465133,0.625,0.6330939028333251,0.06077418436819215,1.0211746447702532,12.254095737243038,1.447202251581415,1.5000000019829696,0.22360112558410075,0.024508191474486074,0.013416067551574576,10.21174644770253,5.5900281464894075
locked_all,rolling_vine,locked_oos_v1,Rolling vine optimizer,Rolling vine optimizer,,benchmark,True,True,False,24.0,0.4298559574460714,0.19576584557599386,0.19576812671370125,0.015010446530589139,0.1820795544301912,0.09680249677644027,1.075179073929238,2.02234584058112,1.8148854443966893,2.367541489654581,0.10786677813765322,0.08570728099392844,0.09904318883092711,1.0,-0.09904318883092711,0.13125893646437725,0.09240831869022896,0.7571970091261302,0.013704396696764265,0.1774323441670247,0.01351912524146208,142985.59574460716,0.6666666666666666,0.49230904002299036,0.06245308257691895,1.1807612152931373,14.169134583517646,1.4804210802959894,1.5000000097248312,0.24021054014799578,0.028338269167035295,0.014412632408879751,11.807612152931373,6.005263503699896
locked_all,dynamic_nn_vine,locked_oos_v1,Dynamic NN-vine optimizer without RL,Dynamic NN-vine optimizer without RL,,benchmark,True,True,False,24.0,0.5335514091646671,0.2383664276637456,0.22820541772434133,0.017975746142117055,0.16422969078308858,0.06681846902693653,1.3895503099116873,3.415304496610733,2.7550808113485648,2.9469446697161157,0.0865188515276506,0.05141403472467988,0.06779971603862867,1.0,-0.06779971603862867,0.12378155391630363,0.6023231934142386,0.23814278470881556,0.01694947194060159,0.22346768142291418,0.016666975506912374,153355.1409164667,0.625,0.5949044153085192,0.061353006143852085,1.0694876864695362,12.833852237634435,1.451995805904258,1.5000000098081108,0.22599790295212854,0.025667704475268872,0.01355987417712774,10.694876864695365,5.6499475738032245
locked_all,vine_td3_seed_20260741,locked_oos_v1,NN-vine LSTM-TD3 seed 20260741,NN-vine LSTM-TD3,20260741,proposed,False,False,True,24.0,0.658703086395702,0.2879064742424824,0.2688918554759402,0.021308689994147034,0.16923047830477564,0.07344009917505248,1.5889091502281247,3.661376529939143,2.678811645007269,4.3043077326833865,0.1074754452329929,0.06520168545774045,0.09269741127569453,1.0,-0.09269741127569453,0.16170427987341318,0.7742839839400695,3.2620188146341005,0.020226008027502296,0.2716180580395855,0.019825026874787533,165870.3086395702,0.7916666666666666,0.6972136389722814,0.03851055257657943,0.4600194371527148,5.520233245832578,1.3970460074377202,1.4041364384549002,0.1985230037188601,0.011040466491665155,0.011911380223131613,4.600194371527148,4.963075092971505
locked_all,vine_td3_seed_20260742,locked_oos_v1,NN-vine LSTM-TD3 seed 20260742,NN-vine LSTM-TD3,20260742,proposed,False,False,True,24.0,0.362561613902461,0.16728814519057855,0.1633596557074234,0.012973707138979274,0.1281423562286243,0.058560261999963795,1.2748294983429707,2.7895991262389566,2.7172307612482656,2.883229675983014,0.06156567472161556,0.0518140273238096,0.05931049481866191,1.0,-0.05931049481866191,0.10872261433342523,0.5992074472426439,1.4593213192129997,0.012340851117928597,0.15856698393086988,0.012190411069849217,136256.1613902461,0.6666666666666666,0.40657206949903646,0.04401045559657546,0.8273365068072008,9.92803808168641,1.3977681346060267,1.4133864215442105,0.19888406730301314,0.019856076163372816,0.011933044038180803,8.273365068072007,4.972101682575334
locked_all,vine_td3_seed_20260743,locked_oos_v1,NN-vine LSTM-TD3 seed 20260743,NN-vine LSTM-TD3,20260743,proposed,False,False,True,24.0,0.5256895604296288,0.23518806682611237,0.22357813534132404,0.017757763639137725,0.1483007928090974,0.08330872853798535,1.5075990566626885,2.6837300156295343,1.965202130091724,3.4283004129662564,0.11967627310435247,0.0826815736444041,0.0845112670367264,1.0,-0.0845112670367264,0.11049020468866466,-0.38401994944824813,2.338435490842746,0.016870720928439553,0.22233124392764458,0.01659082180381399,152568.95604296288,0.7916666666666666,0.5593377261942571,0.03364816576462837,0.4002976014301005,4.803571217161206,1.4069191853826244,1.413730799087456,0.2034595926913123,0.009607142434322412,0.012207575561478744,4.002976014301005,5.086489817282811
locked_all,vine_td3_seed_20260744,locked_oos_v1,NN-vine LSTM-TD3 seed 20260744,NN-vine LSTM-TD3,20260744,proposed,False,False,True,24.0,0.5901765622454596,0.2610220308327129,0.24939219527904355,0.019514850430936148,0.1812036219086774,0.0750564461302581,1.3763091082402958,3.322728534818065,3.080299928408969,2.897609011925542,0.08473916076332721,0.05966771704806152,0.06675113823296719,1.0,-0.06675113823296719,0.13409075683918426,0.49408107426947395,-0.18259822833233263,0.018263516495582888,0.2425738332819143,0.017935943102860074,159017.65622454596,0.5833333333333334,0.6364992089721961,0.04632264672673658,0.6857740781935195,8.229288938322235,1.4085232737429791,1.4213529314313609,0.20426163687148965,0.01645857787664447,0.012255698212289386,6.857740781935195,5.106540921787245
