Loading configuration from: /gabirel/copula-portfolio-clean/config/config.yaml 
Run mode: full | seed: 20261004 | CVaR simulations/step: 512 | vine simulation cores: 48
Loading synthetic return bundle: data/synthetic_returns.RData
Loaded 1000 pre-training and 61 fine-tuning episodes.
Fine-tuning selection: 37 fit episodes, 23 purged overlapping episodes, 1 validation episode; final refit uses all 61.
Run seed: 20261004
Run mode: full
PyTorch: 2.10.0+cu128
Device: cuda
Action schema: interior_rank_partition_leverage_gate_v5; projection temperature=1.5
Experiment: algorithm=sac; encoder=lstm; vine_features=full; cvar_observation=full; cvar_reward=full; pretraining=vine_synthetic; finetune=True
GPU: NVIDIA A100-SXM4-80GB
PYTHON: Framework ready.
Action schema: interior_rank_partition_leverage_gate_v5 | gross=1.500 | net=1.000 | max_long=0.600 | max_short=0.200
Risk/training: entropy_coef=0.1 | leverage_target=0.800 | leverage_penalty=0.25 | direction_bound=5.000 | AMP=False

============================================================
Stage 1: Pre-training (vine_synthetic)

============================================================
============================================================
STAGE 1: PRE-TRAINING
============================================================
============================================================
TRAIN STAGE STARTED: stage=pretrain, episodes=1000, batch_size=128, updates_per_step=1
============================================================
Episode 43  Reward:   0.032375  Wealth:    125380.45  Turnover: 0.5307  Gross: 1.5000  Gate: 1.0000
Episode 44  Reward:  -0.121943  Wealth:    104708.54  Turnover: 0.7256  Gross: 1.5000  Gate: 1.0000
Episode 45  Reward:  -0.740791  Wealth:     63082.76  Turnover: 0.3739  Gross: 1.5000  Gate: 1.0000
Episode 46  Reward:  -0.504905  Wealth:     74929.27  Turnover: 0.2300  Gross: 1.5000  Gate: 1.0000
Episode 47  Reward:  -0.290368  Wealth:     89565.61  Turnover: 0.3035  Gross: 1.5000  Gate: 1.0000
Episode 48  Reward:  -0.042860  Wealth:    115950.54  Turnover: 0.3589  Gross: 1.5000  Gate: 1.0000
Episode 49  Reward:   0.334674  Wealth:    206012.79  Turnover: 0.3409  Gross: 1.5000  Gate: 1.0000
Episode 50  Reward:   0.270282  Wealth:    180816.35  Turnover: 0.4943  Gross: 1.4999  Gate: 0.9999
Episode     50  AvgReward:  -0.105618  Noise: 0.1360
Episode 51  Reward:  -0.040602  Wealth:    115526.51  Turnover: 0.4136  Gross: 1.4999  Gate: 0.9998
Episode 52  Reward:  -0.116659  Wealth:    105935.29  Turnover: 0.3127  Gross: 1.5000  Gate: 1.0000
Episode 53  Reward:  -0.537206  Wealth:     72744.75  Turnover: 0.3089  Gross: 1.4994  Gate: 0.9988
Episode 54  Reward:  -1.955819  Wealth:     35681.18  Turnover: 0.4182  Gross: 1.4998  Gate: 0.9996
Episode 55  Reward:   0.315502  Wealth:    192279.82  Turnover: 0.3554  Gross: 1.5000  Gate: 1.0000
Episode 56  Reward:   0.054437  Wealth:    128259.24  Turnover: 0.3962  Gross: 1.5000  Gate: 1.0000
Episode 57  Reward:  -0.656629  Wealth:     66472.39  Turnover: 0.4190  Gross: 1.5000  Gate: 1.0000
Episode 58  Reward:  -0.140166  Wealth:    100170.19  Turnover: 0.3610  Gross: 1.4998  Gate: 0.9997
Episode 59  Reward:  -0.022988  Wealth:    112208.13  Turnover: 0.4219  Gross: 1.4999  Gate: 0.9999
Episode 60  Reward:  -0.092993  Wealth:    102603.26  Turnover: 0.5671  Gross: 1.4997  Gate: 0.9993
Episode     60  AvgReward:  -0.319312  Noise: 0.1333
Episode 61  Reward:   0.157066  Wealth:    137940.99  Turnover: 0.5032  Gross: 1.4998  Gate: 0.9996
Episode 62  Reward:  -0.453127  Wealth:     75675.10  Turnover: 0.9398  Gross: 1.5000  Gate: 1.0000
Episode 63  Reward:  -0.119743  Wealth:     99941.02  Turnover: 0.6356  Gross: 1.4994  Gate: 0.9989
Episode 64  Reward:   0.202919  Wealth:    144497.33  Turnover: 0.9203  Gross: 1.4999  Gate: 0.9997
Episode 65  Reward:   0.065825  Wealth:    117640.67  Turnover: 0.6025  Gross: 1.4986  Gate: 0.9972
Episode 66  Reward:   0.319713  Wealth:    168738.46  Turnover: 0.4916  Gross: 1.4998  Gate: 0.9996
Episode 67  Reward:  -0.150696  Wealth:     93024.76  Turnover: 0.4712  Gross: 1.5000  Gate: 0.9999
Episode 68  Reward:   0.318007  Wealth:    165129.12  Turnover: 0.4913  Gross: 1.5000  Gate: 0.9999
Episode 69  Reward:   0.192162  Wealth:    136783.90  Turnover: 0.6328  Gross: 1.5000  Gate: 1.0000
