omitted_seed,retained_seeds,annualized_crra_ce,cagr,annual_volatility,sharpe_ratio,max_drawdown,mean_monthly_turnover,mean_gross_exposure,ce_difference_vs_historical_only_training,ce_difference_vs_synthetic_only_training,ce_difference_vs_synthetic_pretraining_plus_historical_finetuning
20261001,9,0.3397845049871022,0.35074746263218737,0.13432371117086983,2.3289845277863783,0.058930884674403994,0.36069490937321247,1.0580130355082542,0.018005549120923448,0.10428203741478331,0.03078713992612192
20261002,9,0.3217188177512622,0.33241405117664935,0.1335047939954671,2.2376407913684515,0.05723688943832472,0.3438124617569762,1.05883700455758,-6.013811491656362e-05,0.0862163501789433,0.01272145269028191
20261003,9,0.32331507954161265,0.3334247954240812,0.12972350417964879,2.305298627831038,0.05543419589794829,0.36507746230570337,1.0565429411947453,0.0015361236754338758,0.08781261196929374,0.014317714480632349
20261004,9,0.32976126907087355,0.3402614206605654,0.13181764812091834,2.3103705302834596,0.059315698524005867,0.3434790451422974,1.0866730277454089,0.00798231320469478,0.09425880149855465,0.020763904009893253
20261005,9,0.31738049746914543,0.32709824157252454,0.12724184665664268,2.3097527266491844,0.059691968638710846,0.3722290726412831,1.0798829286799378,-0.004398458397033345,0.08187802989682652,0.008383132408165128
20261006,9,0.3432891112884153,0.3541552619743804,0.13363169323007346,2.359706967437321,0.05897103580131924,0.3622538423253705,1.0726885208124255,0.021510155422236554,0.10778664371609642,0.03429174622743503
20261007,9,0.33310323564778854,0.3439459020035871,0.13389902333404297,2.297335726346539,0.05873654055862054,0.34837921097045466,1.0557803763792288,0.01132427978160977,0.09760076807546963,0.024105870586808242
20261008,9,0.33558728369357227,0.3465293318444984,0.13449264403406974,2.302334769796063,0.05771529502463235,0.3593785835239866,1.0596422518359585,0.013808327827393496,0.10008481612125336,0.02658991863259197
20261009,9,0.3273272736930559,0.33761761228334275,0.130807607596636,2.311720518232577,0.055975312334614724,0.3666826984562885,1.0588124668132242,0.005548317826877147,0.09182480612073701,0.01832990863207562
20261010,9,0.33247955445059096,0.34395166538454713,0.13763211482852927,2.238520560202534,0.06178909454791215,0.3426988919623047,1.0615873254471409,0.010700598584412191,0.09697708687827206,0.023482189389610664
