artifact_kind,normalized_path,expected_md5,verified_md5,verified,copied_into_release,release_path,size_bytes,sha256,source_origin,training_snapshot_copy_count
code,helper/marginals.r,ebcc2e3f7a09ea378fdc235f11587279,ebcc2e3f7a09ea378fdc235f11587279,True,True,source_snapshot/helper/marginals.r,13541,ee9e06a04e05d9c59a15db55cc8f08275f29b2124c50fe522e935be15ee33d9e,per_seed_training_snapshot_consensus,10
code,helper/plotting.r,618ebb03d569a23279f0cb876bf34a15,618ebb03d569a23279f0cb876bf34a15,True,True,source_snapshot/helper/plotting.r,13102,d88773b2aa43037e99d1e33b3631816f634237d8e86a4648dbadb36516a1474b,per_seed_training_snapshot_consensus,10
code,helper/reproducibility.r,0094f1d3bad0dc3b7b16e5a441b087e5,0094f1d3bad0dc3b7b16e5a441b087e5,True,True,source_snapshot/helper/reproducibility.r,5353,3c58b81374bd837ddc0ef01ca224a73a5ac754ac84861146cbe2e5d0b2a9edac,per_seed_training_snapshot_consensus,10
code,helper/time_split.r,fc6cd67fb9de9f1e4b046da5da4e489b,fc6cd67fb9de9f1e4b046da5da4e489b,True,True,source_snapshot/helper/time_split.r,2527,6f80ff20b18e4f4316cdeb6e2e4798b0b8ad3da65a94c1e179435c838fd8a101,per_seed_training_snapshot_consensus,10
code,helper/timer.r,165b9653702eb6d9a6f2742868ccf8a5,165b9653702eb6d9a6f2742868ccf8a5,True,True,source_snapshot/helper/timer.r,277,c3aac46490135856fd62ba087f0da96d5c57bad3a9e8c722c33b714b0e935aff,per_seed_training_snapshot_consensus,10
code,rl/action_projection.py,8e0ac2963237137c3a804605d77d5007,8e0ac2963237137c3a804605d77d5007,True,True,source_snapshot/rl/action_projection.py,3841,783091772bb70921b3b3cef2722f5de71334865f4e2b0db2db9a294ff2bed37f,per_seed_training_snapshot_consensus,10
code,rl/checkpoint_attestation.py,d1a0a9191170c7790f975f23d8c5984c,d1a0a9191170c7790f975f23d8c5984c,True,True,source_snapshot/rl/checkpoint_attestation.py,3278,73b6cccdba55ad03092bdf7fa9fea042257a31a19c5b772fa7fa09b165786397,per_seed_training_snapshot_consensus,10
code,rl/evaluate_rl.r,55d66151478d977162e6fa16f3ee143d,55d66151478d977162e6fa16f3ee143d,True,True,source_snapshot/rl/evaluate_rl.r,19589,1beb45586cbb6835175027763a595a613ef105b45eb5cbcdefafbd5172583921,per_seed_training_snapshot_consensus,10
code,rl/policy_inference_server.py,b0915b768cfd6d144332b1852fe58531,b0915b768cfd6d144332b1852fe58531,True,True,source_snapshot/rl/policy_inference_server.py,9119,e96d6be0b1507627279a0182c5c746aa03d6ee4f4b5e00d6736f244be5aac836,per_seed_training_snapshot_consensus,10
code,rl/repair_no_vine_mode_markers.r,2417b81d88e678ed319e6e96a3a4a764,2417b81d88e678ed319e6e96a3a4a764,True,True,source_snapshot/rl/repair_no_vine_mode_markers.r,14780,9eba110e4ebe11585351d8ef19c2edc2e71df1b9764f73dd5c2fa363413048d1,per_seed_training_snapshot_consensus,10
code,rl/rl_environment.r,9e46880a8db31bea94d66958c82dd4a1,9e46880a8db31bea94d66958c82dd4a1,True,True,source_snapshot/rl/rl_environment.r,29080,0227037c8b35b012e8b39643cec09912f2cabe538f2f9d4e863956f08bd5dab1,per_seed_training_snapshot_consensus,10
code,rl/run_seed_sweep.r,5a582af55cad06c0c1c460fdb2644b9e,5a582af55cad06c0c1c460fdb2644b9e,True,True,source_snapshot/rl/run_seed_sweep.r,11150,31efe560f4c9f7e9f94a7dd00db4f32a0b7431abe8051fd6a63bf33e4c4e36cd,per_seed_training_snapshot_consensus,10
code,rl/synthetic_returns.r,4737b40263a50764594b9dd856d4bdf5,4737b40263a50764594b9dd856d4bdf5,True,True,source_snapshot/rl/synthetic_returns.r,32454,37af227f40a74bf6f531b7f22c4b9a59a0244dacd8aa4baa1e2ccd0fead28fa5,per_seed_training_snapshot_consensus,10
code,rl/train_rl.r,472ee5b4df1ccc68f9b6149e8416b3a0,472ee5b4df1ccc68f9b6149e8416b3a0,True,True,source_snapshot/rl/train_rl.r,81575,63541f6286efdd912e298ad4bb7e1b95b7591f2a0c832dce72a081e2a5d54ec0,per_seed_training_snapshot_consensus,10
code,rl/training_sanity_check.r,cb06ce9e813199c1b37fe6779f14b169,cb06ce9e813199c1b37fe6779f14b169,True,True,source_snapshot/rl/training_sanity_check.r,45302,d1c48d89a98dc0014ccd85ea72ddaea222a97072b0709ed712f7883590972082,per_seed_training_snapshot_consensus,10
code,run_with_config.r,0878e677653950c5dc64a390127c5404,0878e677653950c5dc64a390127c5404,True,True,source_snapshot/run_with_config.r,8373,705448880cd3844de643dc5dbee484f7aac3cab7310036bd0c3a1607539fa971,per_seed_training_snapshot_consensus,10
code,tests/check_embedded_python.py,27ca66921a63a8afb8909185912ca6ab,27ca66921a63a8afb8909185912ca6ab,True,True,source_snapshot/tests/check_embedded_python.py,1680,e1d2c654921a481a75609861aaccbaaee2a176ebe37bdbf812455f58df0d7002,per_seed_training_snapshot_consensus,10
code,tests/run_tests.r,97d082b9465f9c841fd8fc263d3200fd,97d082b9465f9c841fd8fc263d3200fd,True,True,source_snapshot/tests/run_tests.r,3094,126f9f72489791554cb33b7d4ce9b7321abc1c059de2e7ef32783e9369893c89,per_seed_training_snapshot_consensus,10
code,tests/test_leverage_gate.py,fa7359fc5af038c247b045fc720aece5,fa7359fc5af038c247b045fc720aece5,True,True,source_snapshot/tests/test_leverage_gate.py,4553,21fbe9ddc3a81ea94b2c60135314e044c1ec42734aabb4c60aec98f207b56ddc,per_seed_training_snapshot_consensus,10
code,tests/test_policy_process_isolation.r,06465a9f4460cc39aea79ce4b3cec9b7,06465a9f4460cc39aea79ce4b3cec9b7,True,True,source_snapshot/tests/test_policy_process_isolation.r,5896,3e3572657ae4252ab64e099d846083a89ed23fdf72eccf35645e2c07ad6d61d4,per_seed_training_snapshot_consensus,10
code,tests/test_publication_benchmarks.r,f3962fddc649c4a844cc399f415c98cb,f3962fddc649c4a844cc399f415c98cb,True,True,source_snapshot/tests/test_publication_benchmarks.r,11719,59f8379aa7b41d8c88b542bbcc7d64ffb13feb392112be87a22af7c0ae4377f6,per_seed_training_snapshot_consensus,10
data,data/portfolio_B_7assets_2013.csv,899e438c8ff1e2cdeb9e799a08a10851,899e438c8ff1e2cdeb9e799a08a10851,True,False,,193908,,live_repo,0
data,data/synthetic_returns.RData,8df19d4842952d0bcfe32ad9ec47d3f8,8df19d4842952d0bcfe32ad9ec47d3f8,True,False,,683608076,,live_repo,0
data,data/training_marginal_results.RData,26829f2f329ea6b3696a45e20cb663e3,26829f2f329ea6b3696a45e20cb663e3,True,False,,1889824,,live_repo,0
