experiment_id,seed,gpu,exit_code,duration_seconds,output_dir,checkpoint_exists,gate_exists,passed,stdout,stderr,operational_source
ddpg_lstm_full,20261002,1,0,898.1458146001678,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261002,True,True,True,logs/publication_extension_v2/ddpg_lstm_full__20261002.stdout.txt,logs/publication_extension_v2/ddpg_lstm_full__20261002.stderr.txt,v2_strict
ddpg_lstm_full,20261003,0,0,905.4804090610705,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261003,True,True,True,logs/publication_extension_v2/ddpg_lstm_full__20261003.stdout.txt,logs/publication_extension_v2/ddpg_lstm_full__20261003.stderr.txt,v2_strict
ddpg_lstm_full,20261004,1,0,905.1673429650255,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261004,True,True,True,logs/publication_extension_v2/ddpg_lstm_full__20261004.stdout.txt,logs/publication_extension_v2/ddpg_lstm_full__20261004.stderr.txt,v2_strict
ddpg_lstm_full,20261005,0,0,908.2140315289143,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261005,True,True,True,logs/publication_extension_v2/ddpg_lstm_full__20261005.stdout.txt,logs/publication_extension_v2/ddpg_lstm_full__20261005.stderr.txt,v2_strict
ddpg_lstm_full,20261006,1,0,906.388970535947,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261006,True,True,True,logs/publication_extension_v2/ddpg_lstm_full__20261006.stdout.txt,logs/publication_extension_v2/ddpg_lstm_full__20261006.stderr.txt,v2_strict
ddpg_lstm_full,20261007,0,0,919.3846641969867,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261007,True,True,True,logs/publication_extension_v2/ddpg_lstm_full__20261007.stdout.txt,logs/publication_extension_v2/ddpg_lstm_full__20261007.stderr.txt,v2_strict
ddpg_lstm_full,20261008,1,0,911.2964176191017,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261008,True,True,True,logs/publication_extension_v2/ddpg_lstm_full__20261008.stdout.txt,logs/publication_extension_v2/ddpg_lstm_full__20261008.stderr.txt,v2_strict
ddpg_lstm_full,20261009,0,0,896.1130535269622,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261009,True,True,True,logs/publication_extension_v2/ddpg_lstm_full__20261009.stdout.txt,logs/publication_extension_v2/ddpg_lstm_full__20261009.stderr.txt,v2_strict
ddpg_lstm_full,20261010,1,0,908.7743801190518,data/publication_extension_runs_v2/ddpg_lstm_full/seed_20261010,True,True,True,logs/publication_extension_v2/ddpg_lstm_full__20261010.stdout.txt,logs/publication_extension_v2/ddpg_lstm_full__20261010.stderr.txt,v2_strict
feedforward_capacity_matched,20261001,0,0,726.7037940858863,data/publication_extension_runs_v3/feedforward_capacity_matched/seed_20261001,True,True,True,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261001.stdout.txt,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261001.stderr.txt,v3_strict_path
feedforward_capacity_matched,20261002,0,0,759.1668993032072,data/publication_extension_runs_v4/feedforward_capacity_matched/seed_20261002,True,True,True,logs/publication_extension_v4_retry29/feedforward_capacity_matched__20261002.stdout.txt,logs/publication_extension_v4_retry29/feedforward_capacity_matched__20261002.stderr.txt,v4_report_only
feedforward_capacity_matched,20261003,2,0,716.8094580401666,data/publication_extension_runs_v3/feedforward_capacity_matched/seed_20261003,True,True,True,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261003.stdout.txt,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261003.stderr.txt,v3_strict_path
feedforward_capacity_matched,20261004,3,0,719.0537750248332,data/publication_extension_runs_v3/feedforward_capacity_matched/seed_20261004,True,True,True,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261004.stdout.txt,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261004.stderr.txt,v3_strict_path
feedforward_capacity_matched,20261005,0,0,711.8823504941538,data/publication_extension_runs_v3/feedforward_capacity_matched/seed_20261005,True,True,True,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261005.stdout.txt,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261005.stderr.txt,v3_strict_path
feedforward_capacity_matched,20261006,1,0,724.8126826260705,data/publication_extension_runs_v3/feedforward_capacity_matched/seed_20261006,True,True,True,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261006.stdout.txt,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261006.stderr.txt,v3_strict_path
feedforward_capacity_matched,20261007,2,0,719.095869744895,data/publication_extension_runs_v3/feedforward_capacity_matched/seed_20261007,True,True,True,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261007.stdout.txt,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261007.stderr.txt,v3_strict_path
feedforward_capacity_matched,20261008,1,0,767.0379462009296,data/publication_extension_runs_v4/feedforward_capacity_matched/seed_20261008,True,True,True,logs/publication_extension_v4_retry29/feedforward_capacity_matched__20261008.stdout.txt,logs/publication_extension_v4_retry29/feedforward_capacity_matched__20261008.stderr.txt,v4_report_only
feedforward_capacity_matched,20261009,0,0,716.5794620939996,data/publication_extension_runs_v3/feedforward_capacity_matched/seed_20261009,True,True,True,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261009.stdout.txt,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261009.stderr.txt,v3_strict_path
feedforward_capacity_matched,20261010,1,0,708.9509964790195,data/publication_extension_runs_v3/feedforward_capacity_matched/seed_20261010,True,True,True,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261010.stdout.txt,logs/publication_extension_v3_retry60/feedforward_capacity_matched__20261010.stderr.txt,v3_strict_path
full_vine_state_and_cvar_observation,20261001,0,0,680.4707521279342,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261001,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261001.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261001.stderr.txt,v2_strict
full_vine_state_and_cvar_observation,20261002,1,0,694.5255518830381,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261002,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261002.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261002.stderr.txt,v2_strict
full_vine_state_and_cvar_observation,20261003,0,0,679.1065613829996,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261003,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261003.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261003.stderr.txt,v2_strict
full_vine_state_and_cvar_observation,20261004,1,0,690.5755059048533,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261004,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261004.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261004.stderr.txt,v2_strict
full_vine_state_and_cvar_observation,20261005,0,0,680.6310729589313,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261005,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261005.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261005.stderr.txt,v2_strict
full_vine_state_and_cvar_observation,20261006,1,0,688.4289187088143,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261006,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261006.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261006.stderr.txt,v2_strict
full_vine_state_and_cvar_observation,20261007,0,0,679.6930247049313,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261007,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261007.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261007.stderr.txt,v2_strict
full_vine_state_and_cvar_observation,20261008,1,0,699.8540024249814,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261008,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261008.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261008.stderr.txt,v2_strict
full_vine_state_and_cvar_observation,20261009,0,0,676.327294775052,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261009,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261009.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261009.stderr.txt,v2_strict
full_vine_state_and_cvar_observation,20261010,1,0,708.1839600522071,data/publication_extension_runs_v2/full_vine_state_and_cvar_observation/seed_20261010,True,True,True,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261010.stdout.txt,logs/publication_extension_v2/full_vine_state_and_cvar_observation__20261010.stderr.txt,v2_strict
historical_only_no_synthetic_pretraining,20261001,2,0,733.81331219594,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261001,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261001.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261001.stderr.txt,v4_report_only
historical_only_no_synthetic_pretraining,20261002,3,0,733.938580422895,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261002,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261002.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261002.stderr.txt,v4_report_only
historical_only_no_synthetic_pretraining,20261003,0,0,697.9489443169441,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261003,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261003.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261003.stderr.txt,v4_report_only
historical_only_no_synthetic_pretraining,20261004,1,0,683.9373278440908,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261004,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261004.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261004.stderr.txt,v4_report_only
historical_only_no_synthetic_pretraining,20261005,2,0,690.6885385368951,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261005,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261005.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261005.stderr.txt,v4_report_only
historical_only_no_synthetic_pretraining,20261006,3,0,695.3538673918229,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261006,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261006.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261006.stderr.txt,v4_report_only
historical_only_no_synthetic_pretraining,20261007,0,0,677.8302312551532,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261007,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261007.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261007.stderr.txt,v4_report_only
historical_only_no_synthetic_pretraining,20261008,1,0,675.5131773760077,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261008,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261008.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261008.stderr.txt,v4_report_only
historical_only_no_synthetic_pretraining,20261009,2,0,683.3470438120421,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261009,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261009.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261009.stderr.txt,v4_report_only
historical_only_no_synthetic_pretraining,20261010,3,0,686.2914790899958,data/publication_extension_runs_v4/historical_only_no_synthetic_pretraining/seed_20261010,True,True,True,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261010.stdout.txt,logs/publication_extension_v4_retry29/historical_only_no_synthetic_pretraining__20261010.stderr.txt,v4_report_only
keep_vine_features_zero_cvar_observation,20261001,0,0,680.9176994818263,data/publication_extension_runs_v2/keep_vine_features_zero_cvar_observation/seed_20261001,True,True,True,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261001.stdout.txt,logs/publication_extension_v2/keep_vine_features_zero_cvar_observation__20261001.stderr.txt,v2_strict
