============================================================
PYTHON DEBUG LOG STARTED
============================================================
[19:06:38] Run seed: 20261007
[19:06:38] Run mode: full
[19:06:38] PyTorch: 2.10.0+cu128
[19:06:38] Device: cuda
[19:06:38] Action schema: interior_rank_partition_leverage_gate_v5; projection temperature=1.5
[19:06:38] Experiment: algorithm=sac; encoder=lstm; vine_features=full; cvar_observation=full; cvar_reward=full; pretraining=vine_synthetic; finetune=True
[19:06:38] GPU: NVIDIA A100-SXM4-80GB
[19:06:38] PYTHON: Framework ready.
[19:06:38] Action schema: interior_rank_partition_leverage_gate_v5 | gross=1.500 | net=1.000 | max_long=0.600 | max_short=0.200
[19:06:38] Risk/training: entropy_coef=0.1 | leverage_target=0.800 | leverage_penalty=0.25 | direction_bound=5.000 | AMP=False
[19:06:38] ============================================================
[19:06:38] STAGE 1: PRE-TRAINING
[19:06:38] ============================================================
[19:06:38] ============================================================
[19:06:38] TRAIN STAGE STARTED: stage=pretrain, episodes=1000, batch_size=128, updates_per_step=1
[19:06:38] ============================================================
[19:07:13] Episode 40  Reward:  -0.026810  Wealth:    107400.38  Turnover: 1.0495  Gross: 1.2524  Gate: 0.5048
[19:07:13] Episode     40  AvgReward:  -0.058770  Noise: 0.1387
[19:07:14] Episode 41  Reward:   0.128312  Wealth:    128950.34  Turnover: 1.1034  Gross: 1.2580  Gate: 0.5159
[19:07:15] Episode 42  Reward:   0.170199  Wealth:    141738.18  Turnover: 0.8135  Gross: 1.3300  Gate: 0.6601
[19:07:16] Episode 43  Reward:   0.008838  Wealth:    121621.19  Turnover: 0.2051  Gross: 1.5000  Gate: 0.9999
[19:07:16] Episode 44  Reward:  -0.086548  Wealth:    108548.15  Turnover: 0.2542  Gross: 1.5000  Gate: 0.9999
[19:07:17] Episode 45  Reward:  -0.871974  Wealth:     58581.84  Turnover: 0.3170  Gross: 1.5000  Gate: 1.0000
[19:07:18] Episode 46  Reward:  -0.544295  Wealth:     72698.32  Turnover: 0.3480  Gross: 1.5000  Gate: 1.0000
[19:07:19] Episode 47  Reward:  -0.256402  Wealth:     91526.50  Turnover: 0.3175  Gross: 1.5000  Gate: 1.0000
[19:07:20] Episode 48  Reward:  -0.035099  Wealth:    115406.74  Turnover: 0.3337  Gross: 1.5000  Gate: 1.0000
[19:07:21] Episode 49  Reward:   0.297880  Wealth:    186869.19  Turnover: 0.2515  Gross: 1.5000  Gate: 1.0000
[19:07:22] Episode 50  Reward:   0.281571  Wealth:    181291.40  Turnover: 0.2642  Gross: 1.5000  Gate: 1.0000
[19:07:22] Episode     50  AvgReward:  -0.090752  Noise: 0.1360
