experiment_id,seed,gpu,exit_code,duration_seconds,output_dir,checkpoint_exists,gate_exists,passed,stdout,stderr
moving_block_bootstrap_pretraining,20261008,3,0,665.3098752950318,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261008,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261008.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261008.stderr.txt
moving_block_bootstrap_pretraining,20261009,0,0,672.8169148319867,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261009,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261009.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261009.stderr.txt
moving_block_bootstrap_pretraining,20261010,1,0,679.6891435270663,data/publication_extension_runs_v4/moving_block_bootstrap_pretraining/seed_20261010,True,True,True,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261010.stdout.txt,logs/publication_extension_v4_retry29/moving_block_bootstrap_pretraining__20261010.stderr.txt
sac_lstm_full,20261001,2,0,1074.944614158012,data/publication_extension_runs_v4/sac_lstm_full/seed_20261001,True,True,True,logs/publication_extension_v4_retry29/sac_lstm_full__20261001.stdout.txt,logs/publication_extension_v4_retry29/sac_lstm_full__20261001.stderr.txt
sac_lstm_full,20261002,3,0,1092.101670440985,data/publication_extension_runs_v4/sac_lstm_full/seed_20261002,True,True,True,logs/publication_extension_v4_retry29/sac_lstm_full__20261002.stdout.txt,logs/publication_extension_v4_retry29/sac_lstm_full__20261002.stderr.txt
sac_lstm_full,20261004,0,0,1082.2127390189562,data/publication_extension_runs_v4/sac_lstm_full/seed_20261004,True,True,True,logs/publication_extension_v4_retry29/sac_lstm_full__20261004.stdout.txt,logs/publication_extension_v4_retry29/sac_lstm_full__20261004.stderr.txt
sac_lstm_full,20261007,1,0,1082.5283286769409,data/publication_extension_runs_v4/sac_lstm_full/seed_20261007,True,True,True,logs/publication_extension_v4_retry29/sac_lstm_full__20261007.stdout.txt,logs/publication_extension_v4_retry29/sac_lstm_full__20261007.stderr.txt
sac_lstm_full,20261008,2,0,1103.3565086710732,data/publication_extension_runs_v4/sac_lstm_full/seed_20261008,True,True,True,logs/publication_extension_v4_retry29/sac_lstm_full__20261008.stdout.txt,logs/publication_extension_v4_retry29/sac_lstm_full__20261008.stderr.txt
sac_lstm_full,20261009,3,0,1090.0829690259416,data/publication_extension_runs_v4/sac_lstm_full/seed_20261009,True,True,True,logs/publication_extension_v4_retry29/sac_lstm_full__20261009.stdout.txt,logs/publication_extension_v4_retry29/sac_lstm_full__20261009.stderr.txt
sac_lstm_full,20261010,0,0,1080.4087206970435,data/publication_extension_runs_v4/sac_lstm_full/seed_20261010,True,True,True,logs/publication_extension_v4_retry29/sac_lstm_full__20261010.stdout.txt,logs/publication_extension_v4_retry29/sac_lstm_full__20261010.stderr.txt
