strategy_id,label,n_windows,sample_scope,observations,total_return,terminal_wealth,cagr,annual_arithmetic_return,annual_volatility,annual_downside_deviation,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,max_drawdown,realized_var05_loss,realized_cvar05_loss,tail_event_count,annualized_certainty_equivalent_return,positive_month_fraction,mean_monthly_turnover
equal_weight,Equal weight,1,complete_periods,22.0,0.4916437868339867,149164.37868339868,0.2437309190581891,0.22839454201407222,0.13418130970524292,0.045413438584985207,1.7021337958005345,5.029228112437736,4.665865894889077,4.140757632947519,0.052237017640213046,0.037839625078992765,0.052237017640213046,1.0,0.23382149712437728,0.5909090909090909,0.0
shrinkage_mean_variance,Constrained shrinkage mean-variance,1,complete_periods,22.0,0.486870905796728,148687.0905796728,0.2415586346560381,0.2278843354736747,0.14174234814191733,0.0772031892469194,1.6077364207731977,2.951747689397013,3.084525902302447,3.363113190275849,0.07831305111612985,0.07234111076839451,0.07831305111612985,1.0,0.22977238991764026,0.7727272727272727,0.05195489656764436
dcc_garch,DCC-GARCH,1,complete_periods,22.0,0.5879199365419252,158791.9936541925,0.28689428873441014,0.2634504696500807,0.1355347990132848,0.056881641352950305,1.9437847074555208,4.6315553381339996,4.953073801773639,4.965194895121305,0.05792247404665696,0.054237694543229444,0.05792247404665696,1.0,0.27619203101981293,0.8181818181818182,0.15340985518277972
static_vine,Static vine optimizer,1,complete_periods,22.0,0.6450147395936816,164501.47395936816,0.3119304027219063,0.2876802044200792,0.16882964567066985,0.06423998772746002,1.703967352873837,4.478210762439287,4.794155549331351,3.7557572051704344,0.06506472297616872,0.05179940338604079,0.06506472297616883,1.0,0.295482769925977,0.6818181818181818,1.0508595609415095
rolling_vine,Rolling vine optimizer,1,complete_periods,22.0,0.40810916329216895,140810.91632921688,0.20524228155190194,0.20500509496514907,0.18938153982265085,0.10084785830014825,1.0824977722597942,2.032815554248093,2.0722503382061266,2.3592219656132736,0.09904318883092711,0.08813199150974638,0.09904318883092711,1.0,0.18532211325504466,0.6818181818181818,1.2368890670672323
dynamic_nn_vine,Dynamic NN-vine optimizer without RL,1,complete_periods,22.0,0.6144210289973411,161442.1028997341,0.29856505709456327,0.27660974079648515,0.16448030510479128,0.06433523233215742,1.6817195263606521,4.299506363299851,4.403632854811026,3.760319003191539,0.06779971603862867,0.05439324950903421,0.06779971603862867,1.0,0.2829543125014691,0.6818181818181818,1.0870107190304894
vine_td3_ensemble,NN-vine LSTM-TD3 ensemble,1,complete_periods,22.0,0.5966887113915864,159668.87113915864,0.29076568666279456,0.2661177234860696,0.1318943150506186,0.057322505876428856,2.0176587852474044,4.642464934449032,4.378912031825563,4.88022403140053,0.06640135370373601,0.05285160515939001,0.06640135370373601,1.0,0.28046813297021433,0.8181818181818182,0.316977145485338
