window_id,periods,file
retrospective_original_7asset_expanding_24m_v1_w01,24,evaluation_periods_retrospective_original_7asset_expanding_24m_v1_w01.csv
retrospective_original_7asset_expanding_24m_v1_w02,24,evaluation_periods_retrospective_original_7asset_expanding_24m_v1_w02.csv
