update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,entropy_temperature,stage,episode,step,pass
100,0.10922612249851227,0.6022472977638245,-0.5935155749320984,-0.5683820247650146,-0.555478572845459,0.03548679128289223,0.473306268453598,0.09706290066242218,pretrain,10,11,
200,0.09600304067134857,0.5016990303993225,-0.5273513793945312,-0.5366157293319702,-0.5295897722244263,0.028566312044858932,0.15460550785064697,0.09413829445838928,pretrain,14,15,
300,0.1078023687005043,0.5233205556869507,-0.5130336880683899,-0.5277260541915894,-0.5197389721870422,0.031852204352617264,0.19384247064590454,0.09125368297100067,pretrain,18,19,
400,0.07876640558242798,0.4116564989089966,-0.421950101852417,-0.4291052520275116,-0.4625259041786194,0.03158530592918396,0.7142348289489746,0.08844152837991714,pretrain,22,23,
500,0.07236266881227493,0.37161341309547424,-0.41676563024520874,-0.39573442935943604,-0.41291776299476624,0.033182285726070404,0.20694108307361603,0.08569684624671936,pretrain,27,3,
600,0.06258480995893478,0.31583261489868164,-0.3553192615509033,-0.36898094415664673,-0.3544849753379822,0.03393612802028656,0.27990224957466125,0.08300673961639404,pretrain,31,7,
700,0.04876338690519333,0.2763424813747406,-0.3522999584674835,-0.3410179615020752,-0.32900407910346985,0.03033018484711647,0.46313297748565674,0.08036375045776367,pretrain,35,11,
800,0.05217760428786278,0.15115027129650116,-0.2503790855407715,-0.2450847178697586,-0.22558747231960297,0.025594383478164673,0.41231828927993774,0.07778940349817276,pretrain,39,15,
900,0.05571332573890686,0.08054818958044052,-0.21257652342319489,-0.21106192469596863,-0.18356645107269287,0.02426045387983322,0.5751778483390808,0.075285404920578,pretrain,43,19,
1000,0.035358645021915436,-0.017055364325642586,-0.10601705312728882,-0.11466914415359497,-0.12056194245815277,0.023954197764396667,0.18832339346408844,0.07284051179885864,pretrain,47,23,
1100,0.047021105885505676,-0.05195055156946182,-0.048201631754636765,-0.052962154150009155,-0.024129023775458336,0.022641513496637344,0.40669891238212585,0.07046686857938766,pretrain,52,3,
1200,0.045575909316539764,-0.16979652643203735,0.03708928823471069,0.023828215897083282,0.031058892607688904,0.018860531970858574,0.13821226358413696,0.06816283613443375,pretrain,56,7,
1300,0.04765614867210388,-0.20411305129528046,0.065214142203331,0.07053334265947342,0.10598339140415192,0.015224304981529713,0.49404188990592957,0.06592636555433273,pretrain,60,11,
1400,0.04294326901435852,-0.34401801228523254,0.18114733695983887,0.1832476258277893,0.1889335662126541,0.015085011720657349,0.12516066431999207,0.06376208364963531,pretrain,64,15,
1500,0.03803637623786926,-0.4072779417037964,0.2591404318809509,0.2733112573623657,0.26828086376190186,0.023040074855089188,0.12299881130456924,0.06166134774684906,pretrain,68,19,
1600,0.03694715350866318,-0.4821300208568573,0.3362276554107666,0.3155617117881775,0.3402212858200073,0.027257852256298065,0.2833646237850189,0.059624865651130676,pretrain,72,23,
1700,0.03684981167316437,-0.5857776999473572,0.4365008473396301,0.4130224585533142,0.4318925142288208,0.03983008861541748,0.5259760618209839,0.05765048414468765,pretrain,77,3,
1800,0.040064677596092224,-0.6630839705467224,0.4949643313884735,0.5039369463920593,0.47621166706085205,0.031107347458600998,0.48800551891326904,0.055738694965839386,pretrain,81,7,
1900,0.02947123721241951,-0.7506263852119446,0.543113648891449,0.5686272978782654,0.5383181571960449,0.038959652185440063,0.5051279664039612,0.05389731749892235,pretrain,85,11,
2000,0.02849254384636879,-0.7837467789649963,0.6278057098388672,0.6314696073532104,0.6003427505493164,0.03546838462352753,0.5601918697357178,0.05211061239242554,pretrain,89,15,
2100,0.02661258727312088,-0.8780567646026611,0.6716213822364807,0.6854850053787231,0.6778866052627563,0.02736097387969494,0.16811424493789673,0.0503794327378273,pretrain,93,19,
2200,0.028925355523824692,-0.8798224925994873,0.6995121240615845,0.6590011119842529,0.6937393546104431,0.046586014330387115,1.4528155326843262,0.048705730587244034,pretrain,97,23,
