seed,model,perturbation,mean_action_l1_change,median_action_l1_change,q95_action_l1_change,mean_leverage_gate_abs_change,median_leverage_gate_abs_change,mean_direction_entropy_abs_change
20260841,full,neutral_holdings,0.0746309236290004,0.0540174506604671,0.2945539459586141,0.0027587378367048,0.0020639598369598,0.0054744166103217
20260841,full,reverse_time,1.095456985685506,1.1261139512062073,1.8646718204021453,0.0542717325231416,0.0389114320278167,0.0413544161316475
20260841,full,zero_returns_volatility,1.4971169182837336,1.4901987314224243,2.096618604660034,0.2380277564942511,0.2389735579490661,0.0511676451303268
20260841,full,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260841,pretrained,neutral_holdings,0.1453605427360925,0.1084814518690109,0.3996837496757506,0.0043949300799864,0.0033581554889678,0.0089874321320017
20260841,pretrained,reverse_time,1.36682897888867,1.3402848839759829,2.264058017730713,0.0514027624100935,0.0375379025936126,0.0524455826790606
20260841,pretrained,zero_returns_volatility,1.4575753646388732,1.4457881450653076,2.194160842895508,0.20158221715135,0.2013280689716339,0.0367048625411883
20260841,pretrained,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260842,full,neutral_holdings,0.0414147627160787,0.0277028009295463,0.0968098193407058,0.0023018697001894,0.0021026730537414,0.0037902269939907
20260842,full,reverse_time,1.1599254934447996,1.0679192543029783,2.1527748942375173,0.036329388822037,0.027310162782669,0.0794214524450849
20260842,full,zero_returns_volatility,1.0975301771378907,1.0925641655921936,1.6724291503429405,0.0672358082698994,0.0663111209869384,0.0603597946261447
20260842,full,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260842,pretrained,neutral_holdings,0.0431958077000861,0.0295431427657604,0.0887711849063634,0.001825184688542,0.0015032887458801,0.0043115062954647
20260842,pretrained,reverse_time,0.982636584727287,0.992787092924118,1.7918417453765867,0.0342681360700742,0.0233754515647888,0.0661162269897148
20260842,pretrained,zero_returns_volatility,0.9461591323135328,0.9273568987846376,1.3778087377548216,0.0610190516368287,0.0627872347831726,0.0487765794813307
20260842,pretrained,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260843,full,neutral_holdings,0.0699775614495811,0.0383752174675464,0.319599063694477,0.001936539111893,0.00152587890625,0.0056970436227777
20260843,full,reverse_time,1.0380712862233403,1.026437520980835,1.7143623054027557,0.0386471521577548,0.0284905731678009,0.0515891388465798
20260843,full,zero_returns_volatility,1.1514289094939258,1.155022144317627,1.584301120042801,0.3903863491297094,0.3908995389938354,0.0631718962081794
20260843,full,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260843,pretrained,neutral_holdings,0.0901296093100631,0.0591312572360038,0.3161092311143873,0.0036054791811385,0.0023416876792907,0.0105664868905244
20260843,pretrained,reverse_time,0.916085304208914,0.8846908807754517,1.589314556121826,0.0371632409877464,0.0272735059261322,0.0610127374529838
20260843,pretrained,zero_returns_volatility,0.8690799005899599,0.7999334037303925,1.457488703727722,0.4145412065618025,0.4135237038135528,0.0823120335982145
20260843,pretrained,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260844,full,neutral_holdings,0.0363781367062178,0.0217899465933442,0.0874339438974857,0.0018288561962341,0.0014324486255645,0.0033224228301334
20260844,full,reverse_time,1.2437471553042043,1.209554374217987,2.165552806854248,0.0401667332062955,0.0297305583953857,0.0645803899957182
20260844,full,zero_returns_volatility,1.6349099622479553,1.6513043642044067,2.0822612047195435,0.0230889736873204,0.0157201886177063,0.1396847156390466
20260844,full,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260844,pretrained,neutral_holdings,0.041560410831093,0.0189584335312247,0.1290511213243007,0.0023363447987316,0.0021198391914367,0.0064553022791779
20260844,pretrained,reverse_time,1.183341580387103,1.1765995621681211,2.1105861067771907,0.0365326855270589,0.0257115364074707,0.0952794956542103
20260844,pretrained,zero_returns_volatility,1.8139891896417235,1.879267930984497,2.0833444952964784,0.023836432299653,0.0225865244865417,0.1752151083506521
20260844,pretrained,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260845,full,neutral_holdings,0.0250876162034495,0.0175947472453117,0.0498496308922767,0.0032418792446454,0.0032656192779541,0.0038056468051639
20260845,full,reverse_time,1.05299959065586,1.001922070980072,1.998130965232849,0.0386398848288697,0.0217402577400207,0.0606159065427675
20260845,full,zero_returns_volatility,1.056293385602086,1.0281455516815186,1.5279507756233213,0.4259720607329913,0.4383296072483063,0.095952019624697
20260845,full,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260845,pretrained,neutral_holdings,0.0395896862352602,0.0214598625898361,0.2672720566391944,0.0042411378009723,0.0036490857601165,0.0037027796923788
20260845,pretrained,reverse_time,1.0179083836086786,0.9476138651371002,1.9222867131233208,0.0365031370129741,0.0224849581718444,0.0578657316217005
20260845,pretrained,zero_returns_volatility,1.091351541502228,1.0325323343276978,1.6726287782192228,0.468958056832109,0.4856249392032623,0.0780683063744195
20260845,pretrained,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260846,full,neutral_holdings,0.0605597983132233,0.0362386368215084,0.2822411045432089,0.0047072312219546,0.0046122372150421,0.0037932136589712
20260846,full,reverse_time,1.2748360122996765,1.2713462114334106,2.2014625549316404,0.0422625096891421,0.027014672756195,0.0568993796334892
20260846,full,zero_returns_volatility,1.3348048438872795,1.3222588300704956,1.8730842351913453,0.1727485234131578,0.1764375269412994,0.0901195926011585
20260846,full,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260846,pretrained,neutral_holdings,0.0674162626526028,0.0412537977099418,0.3080834403634068,0.0049390963843611,0.0046089589595794,0.0049945793109513
20260846,pretrained,reverse_time,1.2917107565918826,1.271806716918945,2.272353398799896,0.0498225255945666,0.0335343182086944,0.0602327073043812
20260846,pretrained,zero_returns_volatility,1.3980721665617546,1.3709523677825928,1.915864986181259,0.1848869393350648,0.1847352981567382,0.0844962842396048
20260846,pretrained,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260847,full,neutral_holdings,0.048341336255178,0.0284212986007332,0.2421658709645271,0.0024554479887576,0.0020986795425415,0.0045637365817372
20260847,full,reverse_time,1.3046932394763893,1.2899526953697205,2.2126890540122983,0.0505162464057812,0.0393169522285461,0.0706317411338696
20260847,full,zero_returns_volatility,1.7188194744655343,1.7987822890281675,2.218978214263916,0.0908560113665836,0.0903103947639465,0.0892567540534207
20260847,full,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260847,pretrained,neutral_holdings,0.0513883610246474,0.0344807300716638,0.1525621414184567,0.0021704061598074,0.0015549957752227,0.0064289409850464
20260847,pretrained,reverse_time,1.3097666935089345,1.278526484966278,2.295549046993256,0.0475005936590048,0.0351519882678985,0.0641211421926164
20260847,pretrained,zero_returns_volatility,1.825297785739674,1.9203382730484009,2.285502290725708,0.0937793645295289,0.0930497944355011,0.0644343391142256
20260847,pretrained,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260848,full,neutral_holdings,0.0750990493739624,0.0523822829127311,0.30322305560112,0.0019733744159422,0.0015605390071868,0.0073840619354951
20260848,full,reverse_time,0.9836555785229786,0.9619110226631165,1.7297644793987272,0.0360432512691763,0.0256451666355133,0.0544719553954614
20260848,full,zero_returns_volatility,1.2860985593106904,1.269767701625824,2.151425039768219,0.0150921749856954,0.0128396153450012,0.0333054364948976
20260848,full,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260848,pretrained,neutral_holdings,0.0691772917746133,0.0520333684980869,0.1932632036507123,0.0018938061236683,0.0014207661151885,0.0074078602706148
20260848,pretrained,reverse_time,0.8981777439809969,0.8710852265357971,1.5131300449371334,0.0365151728355819,0.027900606393814,0.0594610600360755
20260848,pretrained,zero_returns_volatility,1.0748647923677996,1.080514669418335,1.525041967630386,0.0618767292935991,0.062306135892868,0.0418163843330789
20260848,pretrained,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260849,full,neutral_holdings,0.0414793284430519,0.0276592429727315,0.2259459033608435,0.002249202441648,0.0017699897289276,0.0036124621665542
20260849,full,reverse_time,1.1263900413992178,1.0936129689216614,2.0190605878829957,0.0446433485205707,0.0313835144042968,0.0590880713094779
20260849,full,zero_returns_volatility,1.4266931459134635,1.5241455435752869,2.123499870300292,0.108362028141165,0.110638290643692,0.0452492060394235
20260849,full,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260849,pretrained,neutral_holdings,0.04828854124418,0.0368286967277526,0.0777173891663551,0.0022627186091219,0.0018944144248962,0.0043444561828029
20260849,pretrained,reverse_time,1.0243070688190274,1.002964198589325,1.8889934122562408,0.0384980582230078,0.0280043482780456,0.0454492484692667
20260849,pretrained,zero_returns_volatility,1.515235696415432,1.5397001504898071,2.040818727016449,0.1247555753572391,0.1288006603717804,0.0406039268836949
20260849,pretrained,zero_vine,0.0,0.0,0.0,0.0,0.0,0.0
20260850,full,neutral_holdings,0.1622655388105233,0.0840504989027977,0.5001037657260894,0.0058259879305063,0.0048633515834808,0.0118670382134901
