experiment_id,seed,checkpoint,sha256,size_bytes,checkpoint_schema,rl_algorithm,policy_encoder,vine_feature_mode,cvar_observation_mode,cvar_reward_mode,pretrain_data_mode,pretrain_behavior_gate_mode,run_finetune,parameter_count,update_count,environment_interactions,capacity_target_parameter_count,tensor_count,all_tensors_finite,behavior_gate_pass,behavior_gate_mode,behavior_gate_failed_metrics,operational_source
a2c_lstm_full,20261001,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261001/a2c_lstm_vine_full.pt,baa7c3a97b1c7a3c252596e64b3fc07ac21e87bcb44e37b40151f452ac25f13d,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
a2c_lstm_full,20261002,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261002/a2c_lstm_vine_full.pt,c3b47e6a111fa200cfe27eada6177c1db165b6ee6c5e8f14973e0cd058abfcb3,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
a2c_lstm_full,20261003,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261003/a2c_lstm_vine_full.pt,26eea0485b8df3212df5ef93bba54b1a19d5b34db0b6f43ff09bb22527052436,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
a2c_lstm_full,20261004,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261004/a2c_lstm_vine_full.pt,b07396d752fbb6708cb64e5e80024890789fb6995dec379d7dc979eb39de0050,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
a2c_lstm_full,20261005,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261005/a2c_lstm_vine_full.pt,2baef96b3b8d0fe07740c38c16e9e866add9cf338d7fbeeb94dafd88d09810e2,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
a2c_lstm_full,20261006,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261006/a2c_lstm_vine_full.pt,a29be7a3d0d72f29ef62fabca224e1da1ee689fdfbcf334e2d3b7e699c074569,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
a2c_lstm_full,20261007,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261007/a2c_lstm_vine_full.pt,89665a1701a12cdb99c5587ef211e3025055edd036015ab580f0585eb70f92cb,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
a2c_lstm_full,20261008,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261008/a2c_lstm_vine_full.pt,ac7d4678a866a9c4dbc5e3699751953f90814dcde09ad276e16da537687681f0,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
a2c_lstm_full,20261009,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261009/a2c_lstm_vine_full.pt,65ac780a937497855135012d2cafb28f7f7625053af140a1f0aec9843d67303e,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
a2c_lstm_full,20261010,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261010/a2c_lstm_vine_full.pt,1861f988fcd85871ac4586faec4b7a2093ea31e2fabd554b9c5020949e79c60a,1091733,6,a2c,lstm,full,full,full,vine_synthetic,strict,True,88369,1061,25464,,100,True,True,strict,,v3_strict_path
