seed,update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
20260741,100,0.0105656757950782,0.2277046740055084,-0.241415798664093,-0.2357115149497985,-0.2435164451599121,0.0206920132040977,0.0424598045647144,0.0720881298184394,0.0181919764727354,0.1023268550634384,1.1492609977722168,0.0,1.0511634349822998,0.2292905151844024,1.1152587831020357e-07,1.0,1.0,pretrain,10,11,
20260741,200,0.0096562262624502,0.2196433395147323,-0.232851892709732,-0.2328725457191467,-0.2328886091709137,0.0179622303694486,0.0263315066695213,0.0248377695679664,0.017412394285202,0.1063487008213996,1.147097945213318,0.0,1.053174376487732,0.2404901087284088,1.050066202878952e-07,1.0,1.0,pretrain,14,15,
20260741,300,0.0092489048838615,0.2212941199541092,-0.2279163151979446,-0.2274895906448364,-0.2326537817716598,0.0199818443506956,0.0649553760886192,0.0659076124429702,0.0173593331128358,0.1127658635377883,1.1420555114746094,0.0,1.0563828945159912,0.2689887583255768,9.749783203005793e-08,1.0,1.0,pretrain,18,19,
20260741,400,0.0068122018128633,0.2141727209091186,-0.2336886376142501,-0.2291226238012313,-0.2285423278808593,0.0178576316684484,0.0681658834218978,0.0198155958205461,0.0172556564211845,0.1218874156475067,1.1315656900405884,0.0,1.060943841934204,0.3042238652706146,1.1175870895385744e-07,1.0,1.0,pretrain,22,23,
20260741,500,0.0067011592909693,0.1898783892393112,-0.2057989239692688,-0.2163969278335571,-0.2247313112020492,0.0197434481233358,0.2418344765901565,0.0876803249120712,0.0164661109447479,0.134523719549179,1.117648720741272,0.0,1.0672619342803955,0.3345885872840881,1.073349267244339e-07,1.0,1.0,pretrain,27,3,
20260741,600,0.0059729237109422,0.2064336240291595,-0.2242037951946258,-0.2184502780437469,-0.2149123400449752,0.0178774818778038,0.1223233416676521,0.0458532981574535,0.0144654493778944,0.1496875882148742,1.1033210754394531,0.0,1.0748438835144043,0.3585002422332763,1.1117663234472277e-07,1.0,1.0,pretrain,31,7,
20260741,700,0.0071249837055802,0.1965537667274475,-0.2120477259159088,-0.2104710340499878,-0.2050341516733169,0.0199319738894701,0.094781644642353,0.058071170002222,0.0118388002738356,0.1665560901165008,1.0922282934188845,0.0,1.0832780599594116,0.3724513649940491,1.1420343071222305e-07,1.0,1.0,pretrain,35,11,
20260741,800,0.0058558452874422,0.200511559844017,-0.2216783612966537,-0.2272974550724029,-0.2115278840065002,0.0197486635297536,0.1425388753414154,0.1735042482614517,0.0116718411445617,0.1852906942367553,1.0822566747665403,0.0,1.0926454067230225,0.378295361995697,1.1688098311424257e-07,1.0,1.0,pretrain,39,15,
20260741,900,0.0044860607013106,0.1836901754140854,-0.1919174194335937,-0.1947443038225174,-0.1991042196750641,0.0168371442705392,0.0944012105464935,0.0489485152065753,0.011956070549786,0.2071461677551269,1.071849346160889,0.0,1.1035730838775637,0.3815725147724151,9.73232090473175e-08,1.0,1.0,pretrain,43,19,
20260741,1000,0.004872967954725,0.1897445321083068,-0.206249862909317,-0.192740112543106,-0.1927461773157119,0.0182051546871662,0.1704138815402984,0.023479126393795,0.0118659082800149,0.2330513894557953,1.061330795288086,0.0,1.1165257692337036,0.3826197683811188,9.487848728895189e-08,1.0,1.0,pretrain,47,23,
20260741,1100,0.005285729188472,0.1844599843025207,-0.2007655501365661,-0.1844059228897094,-0.1927945613861084,0.0222114585340023,0.1126288026571273,0.0964905172586441,0.0110881458967924,0.2619951963424682,1.05110764503479,0.0,1.130997657775879,0.3821403384208679,1.0989606380462646e-07,1.0,1.0,pretrain,52,3,
20260741,1200,0.0038712499663233,0.168239951133728,-0.1783292591571808,-0.1757411360740661,-0.17914779484272,0.0162309184670448,0.0258604269474744,0.0359014421701431,0.0091574341058731,0.2961026132106781,1.041476845741272,0.0,1.1480512619018557,0.3847103118896484,1.0803341865539553e-07,1.0,1.0,pretrain,56,7,
20260741,1300,0.0040313499048352,0.1593300849199295,-0.1706250756978988,-0.1770305782556533,-0.1800533086061477,0.0198226980865001,0.1386997252702713,0.0379360690712928,0.011051008477807,0.3322513997554779,1.034449577331543,0.0,1.166125774383545,0.3999959826469421,1.103617250919342e-07,1.0,1.0,pretrain,60,11,
20260741,1400,0.0041461400687694,0.1614292412996292,-0.1717950999736786,-0.1737664639949798,-0.1800843477249145,0.0185849461704492,0.1226839125156402,0.0662951692938804,0.0078423870727419,0.3694193959236145,1.0306572914123535,0.0,1.1847096681594849,0.4113180935382843,1.2014061212539673e-07,1.0,1.0,pretrain,64,15,
20260741,1500,0.0041314796544611,0.1717996597290039,-0.177531823515892,-0.1773533225059509,-0.1752244085073471,0.0158568769693374,0.0528056360781192,0.0368889011442661,0.0096853571012616,0.4039253890514374,1.0315885543823242,0.0,1.20196270942688,0.4189638495445251,1.1827796697616577e-07,1.0,1.0,pretrain,68,19,
20260741,1600,0.0033012833446264,0.1785492151975631,-0.1885939389467239,-0.1867163628339767,-0.1845123469829559,0.017276331782341,0.0624748915433883,0.0309631265699863,0.0111160250380635,0.4447938799858093,1.0339884757995603,0.0,1.222396969795227,0.4257296919822693,1.1781230568885805e-07,1.0,1.0,pretrain,72,23,
20260741,1700,0.0035894608590751,0.1615641266107559,-0.1621040999889373,-0.1613426506519317,-0.1644697785377502,0.0156648308038711,0.0423494465649127,0.0510392151772975,0.0098337829113006,0.4850091934204101,1.0376940965652466,0.0,1.242504596710205,0.431077778339386,1.2316741049289706e-07,1.0,1.0,pretrain,77,3,
20260741,1800,0.0040826345793902,0.1665635704994201,-0.18108731508255,-0.1770867556333542,-0.172354370355606,0.0190824493765831,0.1431573182344436,0.0582768432796001,0.0097714243456721,0.5181535482406616,1.044238567352295,0.0,1.2590768337249756,0.4288672804832458,1.1920928955078125e-07,1.0,1.0,pretrain,81,7,
20260741,1900,0.0043126125819981,0.1636102348566055,-0.1708308756351471,-0.1795719265937805,-0.1729319393634796,0.0194405056536197,0.0556278005242347,0.0752143934369087,0.0100242001935839,0.5566993355751038,1.0483601093292236,0.0,1.2783496379852295,0.4277312755584717,1.2014061212539673e-07,1.0,1.0,pretrain,85,11,
20260741,2000,0.0033956072293221,0.1681634485721588,-0.1764292120933532,-0.1722845435142517,-0.1739240884780883,0.0179469864815473,0.0522828102111816,0.0312064718455076,0.0066855526529252,0.5882453322410583,1.056694507598877,0.0,1.2941226959228516,0.4282921552658081,1.317821443080902e-07,1.0,1.0,pretrain,89,15,
20260741,2100,0.0033125227782875,0.1435436308383941,-0.1565592885017395,-0.1669425368309021,-0.1620214581489563,0.0198518745601177,0.0930844023823738,0.0571400336921215,0.0076575269922614,0.6349670886993408,1.0569401979446411,0.0,1.3174835443496704,0.4355928301811218,1.210719347000122e-07,1.0,1.0,pretrain,93,19,
20260741,2200,0.0029535281937569,0.1583272963762283,-0.1701819896697998,-0.1625712513923645,-0.1670124381780624,0.0172900985926389,0.0773361027240753,0.0450406372547149,0.0081072933971881,0.6569911241531372,1.063165307044983,0.0,1.3284955024719238,0.4349305331707001,1.1641532182693481e-07,1.0,1.0,pretrain,97,23,
20260741,2300,0.0032355890143662,0.1541338711977005,-0.1666406244039535,-0.1666201651096344,-0.1708960533142089,0.0178689509630203,0.07228684425354,0.0517476946115493,0.0088920900598168,0.6819188594818115,1.068326115608215,0.0,1.3409594297409058,0.4278398156166076,1.1594966053962709e-07,1.0,1.0,pretrain,102,3,
20260741,2400,0.0026009946595877,0.1676176190376281,-0.1815310269594192,-0.1798011064529419,-0.1707002520561218,0.0190736278891563,0.1516966819763183,0.0990077033638954,0.0084727127104997,0.7200042009353638,1.0704472064971924,0.0,1.360002040863037,0.4179120063781738,1.1920928955078125e-07,1.0,1.0,pretrain,106,7,
20260741,2500,0.0030915120150893,0.1540006548166275,-0.1656258255243301,-0.1592844873666763,-0.167601466178894,0.0179051421582698,0.0380075760185718,0.1008140072226524,0.0071307634934782,0.7477725744247437,1.0707347393035889,3.828548074125138e-07,1.3738863468170166,0.4019349813461303,1.2386590242385864e-07,1.0,1.0,pretrain,110,11,
20260741,2600,0.0039055806118994,0.1531309634447097,-0.1656310558319091,-0.1587215214967727,-0.1523502171039581,0.0189350582659244,0.2037445455789566,0.0662821978330612,0.0032578248064965,0.778991162776947,1.072012186050415,6.702152313664556e-05,1.389495611190796,0.3962703645229339,1.1408701539039613e-07,1.0,1.0,pretrain,114,15,
20260741,2700,0.0030235042795538,0.1488812416791916,-0.1631200909614563,-0.1545671075582504,-0.162199392914772,0.0188386812806129,0.0261798854917287,0.0868534594774246,0.0064393458887934,0.7759301662445068,1.0775425434112549,0.000150449690409,1.3879650831222534,0.3791559934616089,1.19674950838089e-07,1.0,1.0,pretrain,118,19,
20260741,2800,0.0031010995153337,0.1528479307889938,-0.1618218123912811,-0.1630593985319137,-0.1666134595870971,0.0181858018040657,0.0641510561108589,0.0395349450409412,0.0078602358698844,0.7272647619247437,1.094554781913757,2.2140076907817274e-05,1.3636324405670166,0.3705990314483642,1.0989606380462646e-07,1.0,1.0,pretrain,122,23,
20260741,2900,0.003235075622797,0.1467538774013519,-0.1607734560966491,-0.1586351692676544,-0.1545475125312805,0.0173961110413074,0.0900546088814735,0.0610791593790054,0.0064829476177692,0.7047246694564819,1.1001908779144287,2.094421324727591e-05,1.3523623943328855,0.3908727169036865,1.1781230568885805e-07,1.0,1.0,pretrain,127,3,
20260741,3000,0.0030900314450263,0.1488401442766189,-0.1542650014162063,-0.1615754961967468,-0.1665413528680801,0.0184670053422451,0.1779016554355621,0.0690990015864372,0.0068165464326739,0.7380679249763489,1.1025872230529783,9.90707558230497e-05,1.3690340518951416,0.3865601420402527,1.2200325727462769e-07,1.0,1.0,pretrain,131,7,
20260741,3100,0.0026818050537258,0.1544283181428909,-0.1605445295572281,-0.1613293588161468,-0.1644189804792404,0.0175548940896987,0.0699862167239189,0.0380739457905292,0.0089948093518614,0.7168986797332764,1.103913187980652,0.0001014213630696,1.3584492206573486,0.3967133462429046,1.1664815247058868e-07,1.0,1.0,pretrain,135,11,
20260741,3200,0.0021350835449993,0.1421239972114563,-0.1480011790990829,-0.1508718430995941,-0.1488110423088073,0.0173628125339746,0.0450839363038539,0.0400543697178363,0.0175670534372329,0.7170485258102417,1.1021153926849363,6.982172635616735e-05,1.358524203300476,0.3986605703830719,1.2083910405635834e-07,1.0,1.0,pretrain,139,15,
20260741,3300,0.0021068288479,0.1426368057727813,-0.1553784906864166,-0.1547255516052246,-0.1486271023750305,0.0170411430299282,0.0915181785821914,0.0639439523220062,0.0050134225748479,0.7116870880126953,1.1036269664764404,6.843696610303596e-05,1.3558435440063477,0.3975622355937958,1.1827796697616577e-07,1.0,1.0,pretrain,143,19,
20260741,3400,0.0025894232094287,0.1448294520378112,-0.1560451090335846,-0.1559592187404632,-0.1455138772726059,0.01532968506217,0.1592934131622314,0.1287157237529754,0.0122457481920719,0.7098652124404907,1.101243257522583,0.0001062283263308,1.3549325466156006,0.3931037187576294,1.2153759598731997e-07,1.0,1.0,pretrain,147,23,
