experiment_id,mean_monthly_turnover,annualized_turnover,mean_gross_exposure,maximum_gross_exposure,mean_short_notional,total_transaction_cost,total_financing_cost,seed_mean_turnover,seed_sd_turnover,seed_mean_gross_exposure,seed_mean_short_notional,seed_mean_transaction_cost,seed_mean_financing_cost
a2c_lstm_full,0.04233591803330983,0.5066429535133798,0.9999999999999997,1.0000000000000002,0.0,0.0009313901967327459,3.771716576808751e-19,0.0671117337666617,0.010822364557859768,1.0503399823205668,0.025169991160283307,0.001476458142866462,0.0013881290231964512
ddpg_lstm_full,0.3677226861549649,4.400615752346301,1.0329046821173329,1.1222573981221229,0.01645234105866641,0.008089899095408233,0.0009037708462049032,0.6414991445032546,0.130869583769346,1.400040064515038,0.20002003225751902,0.01411298117907063,0.011032656227077359
feedforward_capacity_matched,0.3435930085588026,4.111850758162719,1.0487876362324533,1.1282386970573235,0.024393818116226727,0.007559046188292574,0.0013398334668722036,0.8489086711566607,0.2215966131005136,1.4022884551290569,0.2011442275645284,0.018675990765445467,0.011094040095527299
full_vine_state_and_cvar_observation,0.3466337236143271,4.148239643253422,1.0442645440216767,1.121187193292592,0.022132272010838436,0.007625941919514218,0.00121622893167373,0.5446417665998672,0.14504669504112896,1.4004629456873547,0.20023147284367737,0.011982118865196104,0.011042762663662721
historical_only_no_synthetic_pretraining,0.6138921794120271,7.346578540504586,1.0457019157650238,1.1608739256592733,0.022850957882511916,0.0135056279470635,0.0012665025535901096,0.7996473465652956,0.1938840121561229,1.389426731126528,0.19471336556326405,0.017592241624435446,0.010737265437855689
keep_vine_features_zero_cvar_observation,0.3520561554985116,4.213131041211696,1.0503629775076808,1.131592078214245,0.025181488753840672,0.007745235420966274,0.0013800726239489643,0.5937113812162145,0.1534308646449299,1.3997130724468403,0.1998565362234201,0.013061650386755701,0.01102254414586809
moving_block_bootstrap_pretraining,0.9563675568114808,11.445054368399687,1.0980492452492134,1.3775508387014266,0.04902462262460689,0.021040086249851396,0.0026816303931956583,1.3203271349717574,0.2542226316895072,1.3955526004013206,0.1977763002006603,0.029047196969377586,0.01090632312140684
ppo_lstm_full,0.07729263446987113,0.9249774289017363,0.9999999999999997,1.0,0.0,0.0017004379583368714,0.0,0.14623719503676708,0.05405816639740869,1.0648448020906198,0.032422401045309954,0.0032172182908084533,0.0017877208378727436
pretrained_only_no_historical_finetuning,0.3940011491289621,4.7150957190843,1.0665519820024294,1.2040678505918807,0.03327599100121474,0.0086680252808361,0.0018136943480139395,0.6110257601701321,0.16166803736877708,1.3974577098734096,0.19872885493670478,0.013442566723741858,0.01095967020224453
sac_lstm_full,0.2611146688921013,3.124814890020228,1.020709961847442,1.0426885096513676,0.010354980923721198,0.005744522715625545,0.0005710430714344366,0.3377855193612869,0.1666241602486356,1.079376845345598,0.03968842267279914,0.007431281425947761,0.002190647990127791
zero_cvar_reward_keep_state,0.34948029065052744,4.182305117621065,1.0929135553913742,1.3119474940534144,0.046456777695687304,0.0076885663943104,0.002560678742271525,0.5338485306102768,0.13322912396492545,1.400644074442083,0.2003220372210414,0.011744667673425128,0.01104663596357496
zero_vine_features_and_cvar_observation,0.37525705484460015,4.490781148140297,1.066702424430034,1.1320261281249775,0.033351212215017134,0.008255655206580267,0.001833297880805451,0.6902050078277504,0.19020252057802262,1.4012406522928216,0.20062032614641087,0.015184510172209523,0.01106353760646204
zero_vine_features_keep_cvar_observation,0.39263175971651915,4.698707944148508,1.089105414172223,1.276987493197833,0.04455270708611157,0.00863789871376251,0.002422802217258956,0.5937889033538931,0.13436953023506132,1.4027593289139113,0.2013796644569556,0.013063355873784651,0.01110500342526719
