seed,model,perturbation,mean_action_l1_change,median_action_l1_change,q95_action_l1_change,mean_leverage_gate_abs_change,median_leverage_gate_abs_change,mean_direction_entropy_abs_change
20260741,full,neutral_holdings,0.0677659475089361,0.0427138675004243,0.2793802440166473,0.0023493683729015,0.0015941858291625,0.0102693741845954
20260741,full,reverse_time,1.0595721447015884,1.0763674974441528,1.7127358496189116,0.0380570675587393,0.0251835882663726,0.0638248620381772
20260741,full,zero_returns_volatility,0.9992531770280476,0.9030108153820038,1.686106985807418,0.2170835652393721,0.2460932731628418,0.0558019356160867
20260741,full,zero_vine,0.2120667151506237,0.1920266821980476,0.4275701284408569,0.0246436751849664,0.0211922824382781,0.0271901342142475
20260741,pretrained,neutral_holdings,0.0895299248612368,0.0617812182754278,0.3181245550513266,0.0027355574926391,0.0018426179885864,0.0085561833665019
20260741,pretrained,reverse_time,1.2403101714053115,1.2138046622276306,2.1231516003608704,0.0431630847965433,0.0318061411380767,0.0537139867824283
20260741,pretrained,zero_returns_volatility,1.1045091530318305,1.0588883757591248,1.8176573157310485,0.205861586731314,0.2349476516246795,0.0431718742424021
20260741,pretrained,zero_vine,0.2575878063598495,0.2144559770822525,0.5602969467639922,0.0296875710288683,0.028155505657196,0.0224352531908639
20260742,full,neutral_holdings,0.0657708585087993,0.0427756495773792,0.2662011116743086,0.0039901742762555,0.0026829540729522,0.0056491279618336
20260742,full,reverse_time,1.4190761588992236,1.4657269716262815,2.290325617790222,0.0438351545258949,0.0339063704013824,0.0515507572824186
20260742,full,zero_returns_volatility,1.3549997825379092,1.394997477531433,1.7690167903900145,0.3487808271591129,0.3611299693584442,0.1006677252917341
20260742,full,zero_vine,0.2468680586777831,0.2021062299609184,0.5416038393974304,0.0147044539777307,0.0136425495147705,0.0173748556544871
20260742,pretrained,neutral_holdings,0.0549039842975656,0.0355617683380842,0.2610931009054182,0.0039059867054386,0.002869039773941,0.0041337535192406
20260742,pretrained,reverse_time,1.4347703092237885,1.453222155570984,2.240115249156952,0.0385548326242816,0.0296374857425689,0.0524745064029276
20260742,pretrained,zero_returns_volatility,1.331863506142396,1.3033148050308228,1.828465801477432,0.3765042725685841,0.3799487352371216,0.1158151223522717
20260742,pretrained,zero_vine,0.2363458885378687,0.205135278403759,0.5414467334747314,0.0161076876960816,0.0148977637290954,0.0181928848634
20260743,full,neutral_holdings,0.022960937448365,0.0092346910387277,0.0620123540982603,0.0017099725744111,0.001476764678955,0.0022719984090393
20260743,full,reverse_time,0.7382601326537609,0.6831063032150269,1.5190834760665883,0.0520069673657417,0.0394372344017028,0.0551741356895269
20260743,full,zero_returns_volatility,1.1211335464925225,1.2640516757965088,1.391179442405701,0.2145600908033834,0.1889819204807281,0.0589099097691598
20260743,full,zero_vine,0.1645416946626202,0.0788154527544975,0.5874583810567856,0.0050190933903709,0.0040948092937469,0.0191165176245684
20260743,pretrained,neutral_holdings,0.0283815650869914,0.0133648104965686,0.0929166831076144,0.0015546574862928,0.0010717213153839,0.002909987676339
20260743,pretrained,reverse_time,0.8294023985330707,0.8177242279052734,1.504645377397537,0.0601376812966143,0.0466561615467071,0.0759777478833016
20260743,pretrained,zero_returns_volatility,1.079689219624537,1.1373790502548218,1.32428435087204,0.189386945197491,0.1690626442432403,0.0839644425797983
20260743,pretrained,zero_vine,0.2032835849565886,0.1286695003509521,0.6293796390295029,0.0078662344015361,0.0057739317417144,0.0225817474022589
20260744,full,neutral_holdings,0.0248454706845143,0.0185904782265424,0.0458141025155782,0.0016516619285599,0.001272439956665,0.002224045780187
20260744,full,reverse_time,1.3760260042983814,1.3464578986167908,2.228585720062256,0.0365207346329272,0.0297733545303344,0.0615831633897427
20260744,full,zero_returns_volatility,1.4111617938335477,1.4509537816047668,1.9906174540519717,0.3080128011359869,0.3140938282012939,0.1224783947640429
20260744,full,zero_vine,0.1866115189572195,0.1452363282442093,0.4890693947672844,0.016428550898703,0.0126789212226867,0.0182371456684962
20260744,pretrained,neutral_holdings,0.0299951406984584,0.0163032282143831,0.0820125378668307,0.0013003507272793,0.0010011494159698,0.0023745856161326
20260744,pretrained,reverse_time,1.487634129608508,1.4535722136497498,2.3005480051040643,0.0338021673139978,0.026360273361206,0.0767765843151697
20260744,pretrained,zero_returns_volatility,1.3286920776539812,1.3536309003829956,1.800793755054474,0.2895588021664346,0.3036986142396927,0.1509876100987684
20260744,pretrained,zero_vine,0.1675111853067198,0.1355930119752884,0.4340278476476668,0.0171728719209061,0.0168990194797515,0.0149340978085669
20260745,full,neutral_holdings,0.0377986280189043,0.0172991417348384,0.1290278591215601,0.0032542494069683,0.002050369977951,0.0035020564097524
20260745,full,reverse_time,1.1723468909676242,1.1678830981254578,2.141307985782623,0.0379069922237448,0.0265269577503204,0.0563750087074894
20260745,full,zero_returns_volatility,1.7730906501900954,1.7497687339782717,2.4255358934402467,0.242289893369857,0.243735671043396,0.0439035936050076
20260745,full,zero_vine,0.1985612460971896,0.1616351306438446,0.496451525390148,0.0137462128625541,0.0130005776882171,0.0190464234580107
