seed,window_episodes,metric,value,comparison,threshold,pass
20260751,100,gate_gross_mae,6.982435782750447e-08,<=,1e-05,True
20260751,100,mean_turnover,0.5190572237726745,<=,1.0,True
20260751,100,max_position_limit_violation,0.0,<=,1e-06,True
20260751,100,mean_normalized_direction_entropy,0.8950879806932227,>=,0.7,True
20260751,100,q05_normalized_direction_entropy,0.8288478881668913,>=,0.5,True
20260751,100,mean_effective_positions,4.506456978122393,>=,2.5,True
20260752,100,mean_leverage_gate,0.7990757239609957,<=,0.95,True
20260752,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260752,100,gate_gross_mae,7.119029760360719e-08,<=,1e-05,True
20260752,100,mean_turnover,0.6481250264569896,<=,1.0,True
20260752,100,max_position_limit_violation,0.0,<=,1e-06,True
20260752,100,mean_normalized_direction_entropy,0.8639820878547698,>=,0.7,True
20260752,100,q05_normalized_direction_entropy,0.7929484999025707,>=,0.5,True
20260752,100,mean_effective_positions,4.193336038986842,>=,2.5,True
20260753,100,mean_leverage_gate,0.7944578453401725,<=,0.95,True
20260753,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260753,100,gate_gross_mae,7.06315040588379e-08,<=,1e-05,True
20260753,100,mean_turnover,0.6171642043866726,<=,1.0,True
20260753,100,max_position_limit_violation,0.0,<=,1e-06,True
20260753,100,mean_normalized_direction_entropy,0.8779731198036874,>=,0.7,True
20260753,100,q05_normalized_direction_entropy,0.8085650697068181,>=,0.5,True
20260753,100,mean_effective_positions,4.355191813906034,>=,2.5,True
20260754,100,mean_leverage_gate,0.7960912034660578,<=,0.95,True
20260754,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260754,100,gate_gross_mae,6.26718004544576e-08,<=,1e-05,True
20260754,100,mean_turnover,0.5220428682480096,<=,1.0,True
20260754,100,max_position_limit_violation,0.0,<=,1e-06,True
20260754,100,mean_normalized_direction_entropy,0.8822465514788276,>=,0.7,True
20260754,100,q05_normalized_direction_entropy,0.8188889141814975,>=,0.5,True
20260754,100,mean_effective_positions,4.313545681238175,>=,2.5,True
20260755,100,mean_leverage_gate,0.7983128215620915,<=,0.95,True
20260755,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260755,100,gate_gross_mae,6.505598624547323e-08,<=,1e-05,True
20260755,100,mean_turnover,0.4718292820973632,<=,1.0,True
20260755,100,max_position_limit_violation,0.0,<=,1e-06,True
20260755,100,mean_normalized_direction_entropy,0.831740819231556,>=,0.7,True
20260755,100,q05_normalized_direction_entropy,0.7405183995714946,>=,0.5,True
20260755,100,mean_effective_positions,3.881030159791311,>=,2.5,True
20260756,100,mean_leverage_gate,0.8015355402727922,<=,0.95,True
20260756,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260756,100,gate_gross_mae,7.04328219095866e-08,<=,1e-05,True
20260756,100,mean_turnover,0.6120604998427666,<=,1.0,True
20260756,100,max_position_limit_violation,0.0,<=,1e-06,True
20260756,100,mean_normalized_direction_entropy,0.8745775403127743,>=,0.7,True
20260756,100,q05_normalized_direction_entropy,0.8187231197315903,>=,0.5,True
20260756,100,mean_effective_positions,4.285774092078209,>=,2.5,True
20260757,100,mean_leverage_gate,0.7935104608039061,<=,0.95,True
20260757,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260757,100,gate_gross_mae,6.534159183502197e-08,<=,1e-05,True
20260757,100,mean_turnover,0.5311798473000747,<=,1.0,True
20260757,100,max_position_limit_violation,0.0,<=,1e-06,True
20260757,100,mean_normalized_direction_entropy,0.8803325999733905,>=,0.7,True
20260757,100,q05_normalized_direction_entropy,0.8183152345287444,>=,0.5,True
20260757,100,mean_effective_positions,4.265367620488008,>=,2.5,True
20260758,100,mean_leverage_gate,0.7874779736747345,<=,0.95,True
20260758,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260758,100,gate_gross_mae,6.98740283648173e-08,<=,1e-05,True
20260758,100,mean_turnover,0.6293995688373356,<=,1.0,True
20260758,100,max_position_limit_violation,0.0,<=,1e-06,True
20260758,100,mean_normalized_direction_entropy,0.8834949259005187,>=,0.7,True
20260758,100,q05_normalized_direction_entropy,0.785739115352136,>=,0.5,True
20260758,100,mean_effective_positions,4.359119566679001,>=,2.5,True
20260759,100,mean_leverage_gate,0.7994036033004522,<=,0.95,True
20260759,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260759,100,gate_gross_mae,6.490697463353474e-08,<=,1e-05,True
20260759,100,mean_turnover,0.5977062215430419,<=,1.0,True
20260759,100,max_position_limit_violation,0.0,<=,1e-06,True
20260759,100,mean_normalized_direction_entropy,0.8394642818771202,>=,0.7,True
20260759,100,q05_normalized_direction_entropy,0.736373074964982,>=,0.5,True
20260759,100,mean_effective_positions,3.9936120505134265,>=,2.5,True
20260760,100,mean_leverage_gate,0.7946877731134494,<=,0.95,True
20260760,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260760,100,gate_gross_mae,6.997336943944297e-08,<=,1e-05,True
20260760,100,mean_turnover,0.5714416332831163,<=,1.0,True
20260760,100,max_position_limit_violation,0.0,<=,1e-06,True
20260760,100,mean_normalized_direction_entropy,0.8590275718477011,>=,0.7,True
20260760,100,q05_normalized_direction_entropy,0.7754374266777431,>=,0.5,True
20260760,100,mean_effective_positions,4.124760654767354,>=,2.5,True
