window_id,candidate_id,candidate_label,benchmark_id,benchmark_label,observations,annualized_mean_return_difference,annualized_tracking_error,information_ratio,candidate_monthly_win_fraction,total_return_difference,mean_utility_difference,bootstrap_ci_lower,bootstrap_ci_upper,hac_p_candidate_greater,bootstrap_p_candidate_greater,hac_p_holm,bootstrap_p_holm,hac_p_holm_primary_family,bootstrap_p_holm_primary_family
locked_oos_v1,vine_td3_ensemble,NN-vine LSTM-TD3 ensemble,equal_weight,Equal weight,22.0,0.0377231814719974,0.09072729888242431,0.4157864494663704,0.6363636363636364,0.10504492455759973,0.00303408611022315,-0.005691605720715223,0.010115638341890122,0.21300637834693026,0.2347,1.0,1.0,0.852025513387721,0.9388
locked_oos_v1,vine_td3_ensemble,NN-vine LSTM-TD3 ensemble,shrinkage_mean_variance,Constrained shrinkage mean-variance,22.0,0.038233388012394925,0.04444093243211887,0.8603192129416807,0.6363636363636364,0.10981780559485843,0.0033032981148069973,-0.0011759688749549409,0.008344896416780268,0.09525512337571418,0.0928,1.0,1.0,0.5715307402542851,0.5568
locked_oos_v1,vine_td3_ensemble,NN-vine LSTM-TD3 ensemble,dcc_garch,DCC-GARCH,22.0,0.0026672538359889504,0.04691316798112213,0.05685512087058913,0.5,0.00876877484966121,0.0002731098323306929,-0.004229717454685953,0.005427731085914479,0.45576098376117236,0.4406,1.0,1.0,1.0,1.0
locked_oos_v1,vine_td3_ensemble,NN-vine LSTM-TD3 ensemble,static_vine,Static vine optimizer,22.0,-0.021562480934009587,0.07764268460717785,-0.2777142630126959,0.45454545454545453,-0.048326028202095195,-0.0009512016368067917,-0.009172934385140608,0.008199465382537104,0.58353890004398,0.5639,1.0,1.0,1.0,1.0
locked_oos_v1,vine_td3_ensemble,NN-vine LSTM-TD3 ensemble,rolling_vine,Rolling vine optimizer,22.0,0.06111262852092056,0.10172352352660603,0.600771841185155,0.5909090909090909,0.18857954809941746,0.006323382596536874,-0.006399153303847003,0.018376248220435612,0.16020198863375368,0.1645,1.0,1.0,0.8010099431687684,0.8225
locked_oos_v1,vine_td3_ensemble,NN-vine LSTM-TD3 ensemble,dynamic_nn_vine,Dynamic NN-vine optimizer without RL,22.0,-0.010492017310415552,0.08880945964397308,-0.11814076284752598,0.5,-0.017732317605754666,-0.00015833564354754287,-0.009792581675884806,0.010222405811815478,0.5119294347389461,0.5024,1.0,1.0,1.0,1.0
