strategy_id,label,observations,maximum_absolute_net_exposure_error,maximum_gross_exposure,gross_cap_slack,maximum_asset_weight,minimum_asset_weight,constraint_pass
equal_weight,Equal weight,22,2.220446049250313e-16,0.9999999999999998,0.5000000000000002,0.14285714285714285,0.14285714285714285,True
shrinkage_mean_variance,Constrained shrinkage mean-variance,22,1.3322676295501878e-15,1.0000848596695104,0.49991514033048956,0.47125814403585,-1.83162995721994e-05,True
dcc_garch,DCC-GARCH,22,1.1102230246251565e-15,1.011611986865433,0.48838801313456703,0.6,-0.0058056222557101,True
static_vine,Static vine optimizer,22,9.917113796831245e-09,1.5000000019829696,-1.982969566327597e-09,0.6,-0.2,True
rolling_vine,Rolling vine optimizer,22,4.463096558993129e-14,1.5000000097248312,-9.724831162571945e-09,0.6,-0.2,True
dynamic_nn_vine,Dynamic NN-vine optimizer without RL,22,6.661338147750939e-15,1.5000000098081108,-9.808110768005918e-09,0.6,-0.2,True
vine_td3_ensemble,NN-vine LSTM-TD3 ensemble,22,3.3306690738754696e-16,1.1214607709220477,0.37853922907795234,0.40090306921462915,-0.04382831296284815,True
