window_id,decision_date,holding_end_date,dcc_garch,dynamic_nn_vine,equal_weight,rolling_vine,shrinkage_mean_variance,static_vine,vine_td3_ensemble
locked_oos_v1,2024-07-31,2024-08-30,0.003683844334371633,0.0033588735325857932,-0.006816746739885748,0.0050473497674239365,0.010706738941177463,0.0070652993118094365,0.007659085992578252
locked_oos_v1,2024-08-30,2024-09-30,0.04188822576262918,-0.03800756819508544,0.12471163481501857,0.00583887186992893,0.03077643507646055,-0.025885595336454847,0.03430688728663567
locked_oos_v1,2024-09-30,2024-10-31,0.00715353398583507,-0.005497503448038343,-0.020242811948612438,-0.011508108712664167,0.009289092650374142,-0.013781980283004258,0.006045010690769903
locked_oos_v1,2024-10-31,2024-11-29,0.03752821647230564,0.034013582667521636,0.0294284744303428,0.04840554340293646,0.03536860795661778,0.04328395123580853,0.030065999070681304
locked_oos_v1,2024-11-29,2024-12-31,-0.005817665502075631,0.018980416408411083,-0.008327218346653176,0.017526054384960466,-0.008353417585375777,0.015373200451103575,-0.007494898377903958
locked_oos_v1,2024-12-31,2025-01-27,0.02064171487704325,0.05197760574973387,-0.003189439407903838,0.07192332910287247,0.02462212482732995,0.0505246385311211,0.027803525931828332
locked_oos_v1,2025-01-27,2025-02-28,0.00021674720252429225,-0.019683808114916213,0.0037482776617261404,-0.018569731090985142,-0.0030721955459798167,-0.02086766609973356,0.0002970886559403585
locked_oos_v1,2025-02-28,2025-03-31,-0.008333802426851444,-0.023209841848087165,-0.013676410486503254,-0.048857200234932674,-0.02201483526851189,-0.027639369695388383,-0.015548597134334652
locked_oos_v1,2025-03-31,2025-04-30,0.03033390011278203,0.029191989258983142,-0.008115313530490775,-0.01877818412498955,0.026054762483525673,0.038238422508269476,0.013078795231882046
locked_oos_v1,2025-04-30,2025-05-30,0.031011922737188558,0.06937733045003558,0.03678968140897654,0.039614958798659394,0.04582816744851792,0.06467495269865853,0.05137371053417206
locked_oos_v1,2025-05-30,2025-06-30,0.029987484723103197,0.017171836670186735,0.037711636774332424,0.013770914579840143,0.03444988229021084,0.024014590624865884,0.033757579610286026
locked_oos_v1,2025-06-30,2025-07-31,0.022397549453538,0.044357920643890436,0.027769864151518497,0.008682635844888598,0.020501553346954582,0.04274937568001236,0.025819848005168344
locked_oos_v1,2025-07-31,2025-08-29,0.0168713152242268,0.11549876829842298,0.05669713987849212,-0.004960599509208574,0.018061937262388028,0.0840249139276672,0.061563527421947484
locked_oos_v1,2025-08-29,2025-09-30,0.10990309834863643,0.12378155391630363,0.05454539942733949,0.13125893646437725,0.09771666349078156,0.15073537154083594,0.10485494587503275
locked_oos_v1,2025-09-30,2025-10-31,0.04530823777632342,0.017456744277411396,0.027469073527697674,0.05495321724650126,0.04503848921192999,0.017645346509071125,0.033285590772919704
locked_oos_v1,2025-10-31,2025-11-28,0.00046217940442372374,0.017731621320171698,-0.0054009414864231164,0.0179360580472272,0.00547515602403581,0.014757985863393497,0.0009654221040382716
locked_oos_v1,2025-11-28,2025-12-31,0.004060657765007303,-0.005962109652609238,0.008428400428304617,0.015420284390144534,0.007057924075902555,-0.002560561114197002,0.007059032469140858
locked_oos_v1,2025-12-31,2026-01-30,0.06156543027215644,0.028046596951870173,0.03919187925745593,0.11609332412859952,0.07823684710539403,0.04758998248080615,0.06349697146876765
locked_oos_v1,2026-02-27,2026-03-31,-0.05792247404665696,-0.06779971603862867,-0.052237017640213046,-0.09904318883092711,-0.07831305111612985,-0.06506472297616883,-0.06640135370373601
locked_oos_v1,2026-03-31,2026-04-30,0.09924239152763925,0.09182713252289387,0.08101388725090652,0.07451584188349392,0.07631866234072793,0.09543220030552413,0.08259605685356264
locked_oos_v1,2026-04-30,2026-05-29,0.04254409483781574,0.028063005668323315,0.024537188204649896,0.03136845036737412,0.02908047591767904,0.02268960693758504,0.02958906568138442
locked_oos_v1,2026-05-29,2026-06-30,-0.04973407515015138,-0.023556572912490803,-0.015313310604276764,-0.0747960836727477,-0.0650420725656069,-0.035586234998106536,-0.03629080138296714
