window_episodes,metric,value,comparison,threshold,pass
100,mean_leverage_gate,0.8009120117376248,<=,0.95,True
100,fraction_at_gross_cap,0.0,<=,0.75,True
100,gate_gross_mae,6.386389334996542e-08,<=,1e-05,True
100,mean_turnover,0.5831082111850429,<=,1.0,True
100,max_position_limit_violation,0.0,<=,1e-06,True
100,mean_normalized_direction_entropy,0.8110465770214823,>=,0.7,True
100,q05_normalized_direction_entropy,0.7191657787556041,>=,0.5,True
100,mean_effective_positions,3.649332801202933,>=,2.5,True
