"seed","output_dir","vine_observation_mode","no_vine_signal_mask","training_status","sanity_status","no_holdout_gate_pass","pretrained_mean_reward","full_mean_reward","finetune_reward_delta","pretrained_mean_terminal_wealth","full_mean_terminal_wealth","finetune_terminal_wealth_delta","full_mean_cvar","full_median_turnover","full_mean_leverage_gate","full_std_leverage_gate","full_mean_normalized_entropy","full_mean_effective_positions","full_zero_vine_median_action_l1","full_zero_market_median_action_l1","full_zero_market_median_gate_change"
20260842,"/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260842","zero","explicit_vine_and_scenario_cvar_v1",0,0,TRUE,0.0904527164056926,0.0876101267339926,-0.00284258967170001,122022.66445426,122654.207989805,631.543535544959,0.0681581153944873,0.38910225885255,0.804713464459109,0.0197638079060148,0.843582071617321,4.07590598161103,0,1.09256416559219,0.0663111209869385
20260844,"/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260844","zero","explicit_vine_and_scenario_cvar_v1",0,0,TRUE,0.136986986531701,0.114391376505557,-0.0225956100261435,128818.093325456,127158.359663805,-1659.73366165129,0.0759173734260975,0.454291261200394,0.796220861090337,0.0260874091760439,0.84882514220662,4.04634281308925,0,1.65130436420441,0.0157201886177063
20260846,"/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260846","zero","explicit_vine_and_scenario_cvar_v1",0,0,TRUE,0.114945295228885,0.191915041504777,0.0769697462758917,127202.118817907,141503.667892551,14301.5490746445,0.0766806227193276,0.814413955701249,0.799827149331244,0.0204382689643057,0.895377225498983,4.50408348001418,0,1.3222588300705,0.176437526941299
20260848,"/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260848","zero","explicit_vine_and_scenario_cvar_v1",0,0,TRUE,0.104827286859316,0.102588943642138,-0.0022383432171774,124173.983875075,123036.067633417,-1137.91624165801,0.0593993187562533,0.543831445276737,0.802449674228501,0.0129603198561151,0.866901763884264,4.1030341095286,0,1.26976770162582,0.0128396153450012
20260850,"/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260850","zero","explicit_vine_and_scenario_cvar_v1",0,0,TRUE,0.15509951203834,0.209016095421066,0.0539165833827258,130810.161575716,143590.286533795,12780.1249580787,0.0610316417596101,0.397673270532063,0.801929092757363,0.0146366443955135,0.886281370311717,4.23705194686931,0,1.1391613483429,0.0763108432292938
