"window_id","decision_date","holding_end_date","w_SP500","w_NASDAQ","w_DOW","w_SSE50","w_DIVIDEND","w_CHINEXT","w_GOLD"
"locked_oos_v1",2024-07-31,2024-08-30,0.505664172981467,0.04904723114201,0.040876246456589,-0.105575752045427,0.0341095658285277,-0.0961290044443948,0.572007540081229
"locked_oos_v1",2024-08-30,2024-09-30,0.484312919633729,0.0588552707007953,0.0579886787704059,-0.105870614094394,0.0362781264952251,-0.0988488442131451,0.567284462707383
"locked_oos_v1",2024-09-30,2024-10-31,0.450079063751868,0.0381350990917001,-0.0989559191678252,-0.100743738136121,0.0396079335893903,0.0911769148494516,0.580700646021536
"locked_oos_v1",2024-10-31,2024-11-29,0.462303302383849,0.0246751635734524,0.158491588330695,-0.106652953528932,0.0195355127964701,-0.103979186021856,0.545626572466322
"locked_oos_v1",2024-11-29,2024-12-31,0.515852704112019,0.0339139061314719,-0.0971212392406804,-0.109196715589081,0.0336745860321181,0.0444682644946235,0.578408494059529
"locked_oos_v1",2024-12-31,2025-01-27,0.518203202102866,0.0246508432818311,0.104693222258772,-0.106465269412313,0.0181330194962876,-0.103204142834459,0.543989125107016
"locked_oos_v1",2025-01-27,2025-02-28,0.491403166470783,0.0233536905476025,0.138350267229336,-0.10788172829364,0.0176558199205569,-0.10362099457,0.540739778695362
"locked_oos_v1",2025-02-28,2025-03-31,0.467567802539894,0.0124107442264046,0.297785134187766,-0.106430507131985,0.0086434959833111,-0.103358863719872,0.423382193914482
"locked_oos_v1",2025-03-31,2025-04-30,0.480481705229197,0.0811004774378879,0.574284604351435,-0.104772546727742,0.0229972419994218,-0.104169630844678,0.0500781485544784
"locked_oos_v1",2025-04-30,2025-05-30,0.468039294172611,0.085659337629165,0.577767123867359,-0.105989942859326,0.0268328817827361,-0.104564296613847,0.0522556020213025
"locked_oos_v1",2025-05-30,2025-06-30,0.454231540672481,0.0111871473491192,0.30541146825999,-0.107493435032666,-0.0987907173112035,0.0107890414074063,0.424664954654872
"locked_oos_v1",2025-06-30,2025-07-31,0.532320386597088,0.0161882684166942,0.0954669107283865,-0.105701686016151,-0.0989235724721636,0.0197508268590484,0.540898865887097
"locked_oos_v1",2025-07-31,2025-08-29,0.540566320264978,0.0142890556848475,0.129031280720873,-0.104488929068404,-0.100143951629954,0.0129211523703166,0.507825071657342
"locked_oos_v1",2025-08-29,2025-09-30,0.548720712640456,0.0189325370426689,0.0672172781612192,-0.100827423057386,-0.101016578397581,0.0216489144201789,0.545324559190444
"locked_oos_v1",2025-09-30,2025-10-31,0.51668507100216,0.0118990508573396,0.240219833861504,-0.0981495505464929,-0.099042487729873,0.0077896626400096,0.420598419915353
"locked_oos_v1",2025-10-31,2025-11-28,0.52338646764734,0.0170572348205107,0.269748408746507,-0.100575740981315,0.00795566237398557,-0.0994877103450043,0.381915677737977
"locked_oos_v1",2025-11-28,2025-12-31,0.500751426842596,0.0329827055601137,0.409960439827825,-0.103358069035624,0.00790389015206269,-0.102112302157496,0.253871908810522
"locked_oos_v1",2025-12-31,2026-01-30,0.502239510949169,0.0260113725172622,0.229625389512096,-0.105291842882122,0.00836791337600776,-0.1023601288242,0.441407785351787
"locked_oos_v1",2026-01-30,2026-02-27,0.439449542468148,0.0494154107623866,0.466611081069069,-0.104377007777137,0.00850205895091805,-0.102770163411541,0.243169077938156
"locked_oos_v1",2026-02-27,2026-03-31,0.415422014892101,0.0640046969056129,0.441814236342907,-0.1069146245718,0.00910189747810364,-0.103753566741943,0.280325345695019
"locked_oos_v1",2026-03-31,2026-04-30,0.402790033258498,0.0576621862128377,0.315208309330046,-0.106840244494379,-0.101315735839307,0.0102571677416563,0.422238283790648
"locked_oos_v1",2026-04-30,2026-05-29,0.500668940267393,0.0378715183053698,0.026727986655065,-0.107220160641841,-0.0991158437516008,0.0670244071100439,0.57404315205557
"locked_oos_v1",2026-05-29,2026-06-30,0.519181847040142,0.039689093296017,-0.0982180839138372,-0.104778059359108,0.0250537427408355,0.046893514160599,0.572177946035351
"locked_oos_v1",2026-06-30,2026-07-06,0.54338937013277,0.0384610904646771,0.0221614403916257,-0.101181226383362,-0.0967871198164565,0.0297458017511027,0.564210643459644
