window_id,design_id,evidence_class,claim_limit,confirmatory_claim_permitted,train_start,train_end,validation_start,validation_end,test_start,test_end,train_months,validation_months,test_months,test_start_index,test_end_index,test_data_role
retrospective_original_7asset_expanding_24m_v1_w01,retrospective_original_7asset_expanding_24m_v1,retrospective_walk_forward,Post-design retrospective mechanism robustness only; this analysis cannot restore a consumed confirmatory holdout.,False,2013-12-31,2018-12-28,2018-12-28,2020-12-31,2020-12-31,2022-12-30,60,24,24,85,108,retrospective_development_only
retrospective_original_7asset_expanding_24m_v1_w02,retrospective_original_7asset_expanding_24m_v1,retrospective_walk_forward,Post-design retrospective mechanism robustness only; this analysis cannot restore a consumed confirmatory holdout.,False,2013-12-31,2020-12-31,2020-12-31,2022-12-30,2022-12-30,2024-12-31,84,24,24,109,132,retrospective_development_only
