date,SP500,NASDAQ,DOW,SSE50,DIVIDEND,CHINEXT,GOLD
2013-12-17,-0.003105784071481868,-0.0014503802454402456,-0.0005863066796891723,-0.0050031373906080515,-0.0033764804166060624,-0.0128309699367416,0.010739467118761033
2013-12-18,0.016510892525584176,0.011460884010611993,0.01827019602814731,0.00250469761500921,-0.002822468709739536,-0.008917772922054769,-0.005768454396740532
2013-12-19,-0.0005800704533898699,-0.002933050009983165,0.0006869498458505163,-0.011320875624482198,-0.010227361873933397,0.004874095758245353,-0.007882222929478959
2013-12-20,0.004807116492225918,0.01141773630896624,0.0025962492856309843,-0.02432898484631119,-0.015539881062213384,-0.003246756098869981,-0.019769308401031076
2013-12-23,0.005304059685531803,0.010700762534965958,0.004519097670298638,-0.0006482982398859596,-0.000580214695708719,-0.012270092591814247,0.010984478845298302
2013-12-24,0.0029114737132669363,0.0015702674022062926,0.003855149403031225,-0.001297858715599952,-0.0029061339837290028,0.017136282242987237,-0.004210532536343382
2013-12-26,0.004734319266727124,0.002826113879334347,0.007450745281329701,-0.00847739018904244,-0.011709735672908094,0.005647453493075213,0.006728368528684515
2013-12-27,-0.0003366436658622563,-0.0025446175746019505,-8.924613211990607e-05,0.014304535198236242,0.01577596259416762,0.023848507046695226,0.007099633078607406
2013-12-30,-0.00017928184606978993,-0.0005750596672161253,0.001569241199770881,-0.0006457862671961854,0.0,0.005483758356256509,-0.0054245908109125
2013-12-31,0.003951889416690727,0.0053751574357916885,0.00437540137077111,0.014748584105948684,0.00923261030272896,-0.00469852078155415,-0.007138388489792732
2014-01-02,-0.00890141028044984,-0.008058065591457466,-0.008196215235832327,-0.008309411824927533,-0.0063382522763644564,0.024807473704267658,0.01505674617910773
2014-01-03,-0.0003330285152322327,-0.0026971924440577447,0.0017404704520676433,-0.0148725664093961,-0.013383964697383984,0.01444342858394612,0.008267926387301092
2014-01-06,-0.002514940611652187,-0.00442176455981619,-0.0027293208888917557,-0.014435946232941593,-0.020716929149793756,-0.01981772174972302,0.004518389285075007
2014-01-07,0.006063353410313031,0.00955630038315695,0.006423117994252452,-0.0006611570488775799,-0.000598265049253125,0.019062719826354116,0.0
2014-01-08,-0.00021222353203285233,0.0029883454446057805,-0.004134088574003771,0.0006611570488775347,0.0005982650492530659,0.037796273603718136,-0.009057287112509456
2014-01-09,0.000348240572457387,-0.0022639343050375833,-0.001092784428432262,-0.006631324035381451,-0.007202912294057997,-0.01983171862841925,0.0
2014-01-10,0.0023040357971461523,0.004436524141582418,-0.00046889146312638244,-0.004000005333346017,-0.002412546405383878,-0.017964554975298884,0.006595242372734561
2014-01-13,-0.012655942268644282,-0.014809711882864403,-0.010956552377821357,-0.004016069654889943,-0.00181323712418072,0.009022617599637552,0.006552029991300114
2014-01-14,0.01075984662417709,0.016807896280281665,0.007104755776320393,0.002679171060048327,0.00542987759436924,0.030227144632063708,0.002038736689848309
2014-01-15,0.005152889148329633,0.007587623866087808,0.006579020457001265,-0.00536553936463168,0.0006015037775343315,0.009396527396082611,-0.006948730187404118
2014-01-16,-0.001348033780458889,0.0009035320391130777,-0.003947225409022771,0.0020154524793497075,0.000601142188226053,-0.01376334656242301,0.0004100881747034629
2014-01-17,-0.0039027458285236156,-0.005016437036444695,0.002527756735170715,-0.01147498247687446,-0.009055298821554938,-0.00292184283836486,-0.000410088174703443
2014-01-21,0.0027698592046981876,0.006690886385552625,-0.0026843322175238607,0.0006786562866514689,-0.042111485350126966,0.010189316685342467,0.007763062479962112
2014-01-22,0.0005747344722354488,0.004071487259776902,-0.002507014650204517,0.02611464103907405,0.0206580116204222,0.012949821256189101,-0.010227129435121416
2014-01-23,-0.008929311341099137,-0.0057008999444103925,-0.01080676620652043,-0.009296215685758112,-0.002481390851385398,0.021916748588471795,-0.003707522269531888
2014-01-24,-0.02109646461003822,-0.021735480997744458,-0.01984318981665009,0.0,0.00619197024792098,0.01595594031632998,0.015561329574530124
