update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.005548516754060984,0.1773792803287506,-0.18441078066825867,-0.19227704405784607,-0.19182822108268738,0.02750692330300808,0.0801023319363594,0.028093719854950905,0.023567190393805504,0.10169315338134766,1.1506489515304565,0.0,1.0508465766906738,0.21818144619464874,1.125154085457325e-07,1.0,1.0,pretrain,10,11,
200,0.0063382964581251144,0.17818711698055267,-0.18649956583976746,-0.1887052059173584,-0.1897640824317932,0.01773551106452942,0.03882261738181114,0.021180812269449234,0.011304626241326332,0.10444128513336182,1.149048924446106,0.0,1.0522207021713257,0.2378081977367401,1.1728843674063683e-07,1.0,1.0,pretrain,14,15,
300,0.005233814008533955,0.1787227839231491,-0.19273343682289124,-0.19745279848575592,-0.1940147578716278,0.01563156396150589,0.03567936271429062,0.038454849272966385,0.010249563492834568,0.11038204282522202,1.147552728652954,0.0,1.0551910400390625,0.2532772421836853,1.0960502550005913e-07,1.0,1.0,pretrain,18,19,
400,0.005351923406124115,0.1858132928609848,-0.19888384640216827,-0.18637597560882568,-0.18569119274616241,0.018297169357538223,0.14875152707099915,0.022085361182689667,0.010186414234340191,0.11675763130187988,1.1447042226791382,0.0,1.05837881565094,0.2618926167488098,1.0896474123001099e-07,1.0,1.0,pretrain,22,23,
500,0.005288437474519014,0.18035873770713806,-0.19722940027713776,-0.20251232385635376,-0.1927131712436676,0.01709931716322899,0.05585286393761635,0.10151872038841248,0.011495254933834076,0.1252332180738449,1.1409683227539062,0.0,1.0626167058944702,0.26288801431655884,1.048319973051548e-07,1.0,1.0,pretrain,27,3,
600,0.0070996591821312904,0.15594136714935303,-0.17500239610671997,-0.18665623664855957,-0.1845153421163559,0.019465815275907516,0.10616037249565125,0.04227852821350098,0.010127733461558819,0.13433894515037537,1.1380552053451538,0.0,1.067169427871704,0.26553449034690857,1.2794043868780136e-07,1.0,1.0,pretrain,31,7,
700,0.006402755621820688,0.16904225945472717,-0.18081891536712646,-0.18335741758346558,-0.17622239887714386,0.016265012323856354,0.05791902169585228,0.07894234359264374,0.011892234906554222,0.144067645072937,1.1350936889648438,0.0,1.0720337629318237,0.2797139286994934,1.0477378964424133e-07,1.0,1.0,pretrain,35,11,
800,0.007255025207996368,0.17148077487945557,-0.17768369615077972,-0.18027929961681366,-0.17565065622329712,0.016257161274552345,0.030130352824926376,0.05409468710422516,0.013698481023311615,0.1561984121799469,1.1309044361114502,0.0,1.078099250793457,0.30120155215263367,1.0861549526453018e-07,1.0,1.0,pretrain,39,15,
900,0.005027563776820898,0.18218760192394257,-0.19029593467712402,-0.18706203997135162,-0.1857721507549286,0.01686188019812107,0.059270378202199936,0.0259617418050766,0.014154146425426006,0.17405471205711365,1.12465238571167,0.0,1.0870273113250732,0.32712769508361816,1.1490192264318466e-07,1.0,1.0,pretrain,43,19,
1000,0.004158833064138889,0.16223953664302826,-0.16915377974510193,-0.1567220687866211,-0.18074128031730652,0.022512299939990044,0.13838660717010498,0.24912789463996887,0.012034125626087189,0.19530858099460602,1.1189852952957153,0.0,1.0976543426513672,0.3488060235977173,1.0163057595491409e-07,1.0,1.0,pretrain,47,23,
1100,0.004263896495103836,0.15790028870105743,-0.16761183738708496,-0.17208868265151978,-0.17326506972312927,0.015633221715688705,0.06558024138212204,0.03820449486374855,0.008407165296375751,0.21939533948898315,1.115098476409912,0.0,1.109697699546814,0.35911205410957336,9.848736226558685e-08,1.0,1.0,pretrain,52,3,
1200,0.004995443858206272,0.16747288405895233,-0.18125922977924347,-0.1848626732826233,-0.177202045917511,0.01683564856648445,0.054354216903448105,0.08072111010551453,0.007931534200906754,0.24340957403182983,1.1120479106903076,0.0,1.1217048168182373,0.36613768339157104,1.0710209608078003e-07,1.0,1.0,pretrain,56,7,
1300,0.005694428458809853,0.16278202831745148,-0.16932792961597443,-0.16852308809757233,-0.17286747694015503,0.017097599804401398,0.05493515357375145,0.05215282365679741,0.00858275219798088,0.2718258500099182,1.1090912818908691,0.0,1.1359128952026367,0.3698629140853882,1.2153759598731995e-07,1.0,1.0,pretrain,60,11,
1400,0.004550648853182793,0.15783028304576874,-0.16587308049201965,-0.17024338245391846,-0.17977941036224365,0.016184529289603233,0.16227437555789948,0.09600067883729935,0.010331865400075912,0.29921090602874756,1.1098427772521973,0.0,1.1496055126190186,0.36198097467422485,1.0291114449501038e-07,1.0,1.0,pretrain,64,15,
1500,0.0028311768546700478,0.17956992983818054,-0.18557144701480865,-0.17484480142593384,-0.183694988489151,0.019624439999461174,0.028764737769961357,0.10021429508924484,0.010514014400541782,0.3215455710887909,1.1152843236923218,0.0,1.1607728004455566,0.33502912521362305,1.1315569281578064e-07,1.0,1.0,pretrain,68,19,
1600,0.0047834040597081184,0.18214109539985657,-0.186731219291687,-0.18430021405220032,-0.17708174884319305,0.017659302800893784,0.10813096910715103,0.0830613374710083,0.01091698557138443,0.33980292081832886,1.1198551654815674,0.0,1.1699014902114868,0.3067944645881653,1.0174699127674103e-07,1.0,1.0,pretrain,72,23,
1700,0.006071962416172028,0.16554436087608337,-0.1686723828315735,-0.17182493209838867,-0.17686420679092407,0.018585074692964554,0.08577898144721985,0.062295060604810715,0.011832507327198982,0.3515123128890991,1.125739574432373,0.0,1.1757562160491943,0.32131531834602356,1.2712553143501282e-07,1.0,1.0,pretrain,77,3,
1800,0.004397375043481588,0.17432793974876404,-0.175689697265625,-0.17073538899421692,-0.18336093425750732,0.018753349781036377,0.09855412691831589,0.16543348133563995,0.009746447205543518,0.3728710114955902,1.12506902217865,0.0,1.1864354610443115,0.33824944496154785,1.2130476534366608e-07,1.0,1.0,pretrain,81,7,
1900,0.003724346635863185,0.16301505267620087,-0.16753646731376648,-0.16354680061340332,-0.17467394471168518,0.018322236835956573,0.1137661561369896,0.14384937286376953,0.011406064964830875,0.4086383581161499,1.1209485530853271,0.0,1.2043192386627197,0.35047444701194763,1.1781230568885803e-07,1.0,1.0,pretrain,85,11,
2000,0.0035158079117536545,0.1621721237897873,-0.16908907890319824,-0.16955611109733582,-0.17461057007312775,0.01931808330118656,0.0955188050866127,0.05906210467219353,0.008593684993684292,0.4486449062824249,1.1168502569198608,0.0,1.2243225574493408,0.35452038049697876,1.2246891856193542e-07,1.0,1.0,pretrain,89,15,
2100,0.0038597113452851772,0.16473102569580078,-0.17558042705059052,-0.16993623971939087,-0.17330840229988098,0.01837177574634552,0.04378984123468399,0.09437005966901779,0.007049718871712685,0.48898079991340637,1.1122221946716309,0.0,1.244490385055542,0.36142605543136597,1.2177042663097382e-07,1.0,1.0,pretrain,93,19,
2200,0.0034230207093060017,0.15655413269996643,-0.16919346153736115,-0.1747570037841797,-0.16268551349639893,0.017421122640371323,0.1218050867319107,0.2692601680755615,0.007300735916942358,0.5344122052192688,1.1079564094543457,0.0,1.2672061920166016,0.37043875455856323,1.1664815247058868e-07,1.0,1.0,pretrain,97,23,
2300,0.0033794082701206207,0.14674971997737885,-0.16070246696472168,-0.15830424427986145,-0.15691280364990234,0.01631850376725197,0.07517390698194504,0.12406567484140396,0.00820939615368843,0.5835287570953369,1.104537010192871,0.0,1.2917643785476685,0.37824368476867676,1.203734427690506e-07,1.0,1.0,pretrain,102,3,
2400,0.0028436167631298304,0.16611841320991516,-0.17872700095176697,-0.1746578961610794,-0.16396117210388184,0.01664680428802967,0.21059681475162506,0.18487206101417542,0.009057854302227497,0.6349931955337524,1.0988261699676514,0.0,1.3174965381622314,0.38542550802230835,1.1827796697616577e-07,1.0,1.0,pretrain,106,7,
2500,0.0022889324463903904,0.15825563669204712,-0.16752268373966217,-0.16958624124526978,-0.16970154643058777,0.01843388006091118,0.03314097225666046,0.028395794332027435,0.008707580156624317,0.6903469562530518,1.0945093631744385,0.0,1.3451734781265259,0.3967736065387726,1.3085082173347473e-07,1.0,1.0,pretrain,110,11,
2600,0.0037087600212544203,0.15482021868228912,-0.1601666659116745,-0.16002222895622253,-0.16538068652153015,0.018857931718230247,0.07289151847362518,0.07127174735069275,0.010800529271364212,0.7416141033172607,1.091936469078064,0.0,1.37080717086792,0.40534818172454834,1.1734664440155029e-07,1.0,1.0,pretrain,114,15,
2700,0.0033203973434865475,0.15219780802726746,-0.16002100706100464,-0.1610475480556488,-0.15903189778327942,0.01828976720571518,0.030233051627874374,0.03071744367480278,0.005816579796373844,0.7730928659439087,1.0888545513153076,0.00010183954873355106,1.3865464925765991,0.40921449661254883,1.30385160446167e-07,1.0,1.0,pretrain,118,19,
2800,0.0025842890609055758,0.13936671614646912,-0.14745233952999115,-0.146272212266922,-0.1562976837158203,0.017665337771177292,0.16278304159641266,0.16845600306987762,0.011810376308858395,0.7705848217010498,1.0843453407287598,0.00015255718608386815,1.385292410850525,0.4142225980758667,1.257285475730896e-07,1.0,1.0,pretrain,122,23,
2900,0.002242209855467081,0.13868339359760284,-0.1519555151462555,-0.15206871926784515,-0.15074801445007324,0.01521686464548111,0.03349405527114868,0.031230293214321136,0.008999938145279884,0.7781037092208862,1.0777795314788818,0.0001359528978355229,1.389051914215088,0.41884103417396545,1.19674950838089e-07,1.0,1.0,pretrain,127,3,
3000,0.0029558578971773386,0.13134534657001495,-0.14108484983444214,-0.1405210942029953,-0.1489439159631729,0.015956589952111244,0.10909432917833328,0.15591321885585785,0.015217752195894718,0.7737823724746704,1.0824607610702515,0.00014961714623495936,1.3868911266326904,0.41617509722709656,1.1362135410308838e-07,1.0,1.0,pretrain,131,7,
