update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_mean_gross_exposure,actor_mean_max_abs_weight,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
1600,0.0020062564872205257,-0.002403826452791691,-0.0023751454427838326,0.0008290812838822603,-0.001273722155019641,0.01613026298582554,0.025386566296219826,0.026569848880171776,0.009691556915640831,0.20568740367889404,1.7470481395721436,1.0,0.1892949342727661,1.0,1.0,pretrain,72,23,
1700,0.0017593341181054711,-0.021484961733222008,0.011797015555202961,0.010022826492786407,0.010202376171946526,0.013756969943642616,0.027998946607112885,0.013629961758852005,0.011512151919305325,0.2425646185874939,1.7285034656524658,1.0,0.20052409172058105,1.0,1.0,pretrain,77,3,
1800,0.003120094072073698,-0.008139329962432384,-0.010389218106865883,-0.010303067043423653,0.001858213683590293,0.016479097306728363,0.1408921778202057,0.13899624347686768,0.01917385123670101,0.29756903648376465,1.6986993551254272,1.0,0.22292324900627136,1.0,1.0,pretrain,81,7,
1900,0.0017010479932650924,-0.011445900425314903,-0.0008029276505112648,-0.0012157249730080366,-0.0044790394604206085,0.014855015091598034,0.04200870171189308,0.04228869453072548,0.02235264889895916,0.3760796785354614,1.6528769731521606,1.0,0.2619713544845581,1.0,1.0,pretrain,85,11,
2000,0.0020891502499580383,-0.009484879672527313,-0.0034858391154557467,-0.0024938981514424086,0.001014251378364861,0.015543247573077679,0.04782494530081749,0.03977050259709358,0.039703767746686935,0.47478970885276794,1.5674240589141846,1.0,0.3188619017601013,1.0,1.0,pretrain,89,15,
2100,0.0021707944106310606,-0.015279266983270645,0.002931008581072092,0.003713153535500169,-1.6811303794384003e-05,0.014071552082896233,0.03693324699997902,0.044002462178468704,0.09264468401670456,0.5856720209121704,1.5091381072998047,1.0,0.384318470954895,1.0,1.0,pretrain,93,19,
2200,0.002386712934821844,-0.010055545717477798,-0.005398998968303204,-0.005529999732971191,0.0002769182901829481,0.015892527997493744,0.07085437327623367,0.0736880749464035,0.05154891684651375,0.6668256521224976,1.4822862148284912,1.0057634115219116,0.42201727628707886,1.0,1.0,pretrain,97,23,
2300,0.003102096961811185,-0.0036234634462743998,-0.014646650291979313,-0.008478047326207161,-0.011514119803905487,0.01706341840326786,0.04807222634553909,0.04154808819293976,0.06890226155519485,0.7359418272972107,1.4377697706222534,1.0383872985839844,0.4657093286514282,1.0,1.0,pretrain,102,3,
2400,0.0023364461958408356,-0.0002976800315082073,-0.013391145505011082,-0.013910068199038506,-0.003517613047733903,0.015406273305416107,0.10597274452447891,0.10674173384904861,0.05913376435637474,0.7826390266418457,1.4479193687438965,1.0673950910568237,0.48849910497665405,1.0,1.0,pretrain,106,7,
2500,0.002948838286101818,-0.0002983631566166878,-0.01102626696228981,-0.007954796776175499,-0.014153917320072651,0.017019130289554596,0.03638049215078354,0.07016102969646454,0.060141392052173615,0.8168953657150269,1.4160730838775635,1.1141719818115234,0.49031180143356323,1.0,1.0,pretrain,110,11,
2600,0.003967130556702614,0.005108026321977377,-0.01480757724493742,-0.015016527846455574,-0.008274619467556477,0.017098430544137955,0.07910822331905365,0.07685156166553497,0.07433748245239258,0.840394139289856,1.4275734424591064,1.1206811666488647,0.5022690892219543,1.0,1.0,pretrain,114,15,
2700,0.002673949347808957,-0.002774919383227825,-0.00901537761092186,-0.005149581469595432,-0.004997012205421925,0.017035990953445435,0.05294329673051834,0.01796107552945614,0.07331917434930801,0.8578515648841858,1.442543625831604,1.1315498352050781,0.5052427053451538,1.0,1.0,pretrain,118,19,
2800,0.0028897677548229694,-0.004929957911372185,-0.013730707578361034,-0.012957464903593063,-0.010908715426921844,0.014329394325613976,0.03361815586686134,0.03405645489692688,0.17915959656238556,0.8756532669067383,1.3975715637207031,1.1700801849365234,0.5237286686897278,1.0,1.0,pretrain,122,23,
2900,0.005021634045988321,-0.004567830823361874,-0.013485930860042572,-0.008147221058607101,-0.012843751348555088,0.014688242226839066,0.04124721512198448,0.05537441745400429,0.13649722933769226,0.8905166387557983,1.3638988733291626,1.1865952014923096,0.5351501107215881,1.0,1.0,pretrain,127,3,
3000,0.0025234934873878956,-0.013935353606939316,0.0005631421809084713,-0.0013680511619895697,-0.0057057905942201614,0.016418758779764175,0.0706007182598114,0.049635082483291626,0.09844070672988892,0.9030712842941284,1.3806395530700684,1.1922504901885986,0.5315372943878174,1.0,1.0,pretrain,131,7,
3100,0.0035824356600642204,-0.0018550860695540905,-0.017661362886428833,-0.012036219239234924,-0.01064431481063366,0.01541865523904562,0.07671260833740234,0.02336224913597107,0.1141975075006485,0.9153127074241638,1.4200708866119385,1.1953613758087158,0.5100373029708862,1.0,1.0,pretrain,135,11,
3200,0.0033420363906770945,-0.006431287154555321,-0.005841508973389864,-0.005766168236732483,-0.008013318292796612,0.016687951982021332,0.04741565138101578,0.03598957881331444,0.04900655895471573,0.9161127805709839,1.3817996978759766,1.215924859046936,0.5218853950500488,1.0,1.0,pretrain,139,15,
3300,0.0034170770086348057,-0.006773002445697784,-0.008190610446035862,-0.005211949348449707,-0.015007980167865753,0.016343774273991585,0.07142851501703262,0.1231834888458252,0.1000978946685791,0.9277538061141968,1.3899471759796143,1.2263188362121582,0.49715328216552734,1.0,1.0,pretrain,143,19,
3400,0.0038764162454754114,0.0023298650048673153,-0.02136317268013954,-0.0174160897731781,-0.01609259471297264,0.016389520838856697,0.06344122439622879,0.02967456914484501,0.05108847841620445,0.9340059757232666,1.3699817657470703,1.2286033630371094,0.5152472853660583,1.0,1.0,pretrain,147,23,
3500,0.0031384755857288837,0.005115533713251352,-0.019293777644634247,-0.02116023749113083,-0.01251509040594101,0.015337039716541767,0.06692478805780411,0.09265457093715668,0.14518383145332336,0.9384136199951172,1.3748805522918701,1.231972336769104,0.5035210251808167,1.0,1.0,pretrain,152,3,
3600,0.004299756605178118,0.0013832240365445614,-0.02411692589521408,-0.024137934669852257,-0.01587492786347866,0.014306694269180298,0.09138195961713791,0.09108193218708038,0.06028612703084946,0.9417972564697266,1.336747169494629,1.2454113960266113,0.5201857089996338,1.0,1.0,pretrain,156,7,
3700,0.0032374898437410593,-0.004491670057177544,-0.010117086581885815,-0.006516963243484497,-0.006362641230225563,0.016040898859500885,0.05092092603445053,0.03353448957204819,0.07704756408929825,0.9497935175895691,1.3316792249679565,1.2682435512542725,0.5343560576438904,1.0,1.0,pretrain,160,11,
3800,0.002685138490051031,-0.0022414647974073887,-0.012715499848127365,-0.01074916310608387,-0.01805965229868889,0.016082879155874252,0.05223269760608673,0.07908514887094498,0.0768781378865242,0.9542592763900757,1.3039250373840332,1.2846970558166504,0.5474590063095093,1.0,1.0,pretrain,164,15,
3900,0.002753352513536811,-0.012072646990418434,-0.009777412749826908,-0.009589116089046001,-0.010009381920099258,0.017557956278324127,0.031762510538101196,0.026032045483589172,0.0826357901096344,0.958501398563385,1.307279348373413,1.2858550548553467,0.5398297309875488,1.0,1.0,pretrain,168,19,
4000,0.002707144245505333,-0.005809272639453411,-0.015138713642954826,-0.01384466327726841,-0.009823748841881752,0.01816139742732048,0.06414932757616043,0.05954199656844139,0.058223623782396317,0.9627953767776489,1.3337026834487915,1.2799954414367676,0.5404455661773682,1.0,1.0,pretrain,172,23,
4100,0.004197179339826107,0.004678148776292801,-0.017630163580179214,-0.015483989380300045,-0.0242104884237051,0.016401324421167374,0.0655960664153099,0.09555244445800781,0.10262823104858398,0.9651551246643066,1.3130114078521729,1.2978625297546387,0.5357900261878967,1.0,1.0,pretrain,177,3,
4200,0.003505655797198415,0.006622101180255413,-0.02129914052784443,-0.02070971205830574,-0.022545386105775833,0.016724199056625366,0.03160357102751732,0.045161690562963486,0.057095374912023544,0.9663317203521729,1.3011975288391113,1.2961366176605225,0.551092803478241,1.0,1.0,pretrain,181,7,
4300,0.003636533161625266,0.017822889611124992,-0.032260961830616,-0.03284779563546181,-0.02481122687458992,0.015600813552737236,0.08047962188720703,0.07853055000305176,0.11489343643188477,0.969664454460144,1.3014307022094727,1.3079383373260498,0.5634992122650146,1.0,1.0,pretrain,185,11,
4400,0.003887770464643836,0.0038570603355765343,-0.017530720680952072,-0.013998150825500488,-0.02415461465716362,0.014492811635136604,0.0706307590007782,0.10685411840677261,0.05224951356649399,0.9708160161972046,1.3441119194030762,1.2843921184539795,0.5446571707725525,1.0,1.0,pretrain,189,15,
4500,0.0032749194651842117,0.011176295578479767,-0.025522861629724503,-0.026505950838327408,-0.023771895095705986,0.01678771898150444,0.04552017152309418,0.0433751605451107,0.12118390202522278,0.9725913405418396,1.3037176132202148,1.31563138961792,0.5627696514129639,1.0,1.0,pretrain,193,19,
4600,0.0034252949990332127,0.010340385138988495,-0.021070703864097595,-0.02975183166563511,-0.025838501751422882,0.018270287662744522,0.05905383825302124,0.048312023282051086,0.04776090011000633,0.9719358682632446,1.3089945316314697,1.2982699871063232,0.5643660426139832,1.0,1.0,pretrain,197,23,
4700,0.003675573505461216,0.009304314851760864,-0.01902889460325241,-0.013695947825908661,-0.022583872079849243,0.015956085175275803,0.045319534838199615,0.09997028857469559,0.07550528645515442,0.9732248783111572,1.3038840293884277,1.3099696636199951,0.5745190382003784,1.0,1.0,pretrain,202,3,
4800,0.0028467674273997545,0.0013049570843577385,-0.01501732598990202,-0.020677831023931503,-0.01751803047955036,0.015362453646957874,0.036750830709934235,0.039369285106658936,0.09143363684415817,0.9712784290313721,1.3053131103515625,1.2963556051254272,0.5674864053726196,1.0,1.0,pretrain,206,7,
4900,0.003678026841953397,0.010678132995963097,-0.02379722334444523,-0.015224529430270195,-0.02633606269955635,0.017370078712701797,0.041913699358701706,0.12375280261039734,0.1442423015832901,0.972869873046875,1.3452380895614624,1.2696222066879272,0.5519170761108398,1.0,1.0,pretrain,210,11,
5000,0.003654121421277523,0.005780509207397699,-0.019878599792718887,-0.014783324673771858,-0.025145279243588448,0.0168306864798069,0.05864854156970978,0.1044640839099884,0.07978464663028717,0.9750279188156128,1.3562872409820557,1.270225167274475,0.5670838356018066,1.0,1.0,pretrain,214,15,
5100,0.0029219514690339565,0.006495854817330837,-0.023022940382361412,-0.027265746146440506,-0.021472763270139694,0.015544510446488857,0.034795597195625305,0.06652935594320297,0.07752702385187149,0.9746460914611816,1.3857539892196655,1.2390389442443848,0.5671062469482422,1.0,1.0,pretrain,218,19,
5200,0.0037159277126193047,0.012950895354151726,-0.02374550700187683,-0.020299429073929787,-0.02570723369717598,0.016276413574814796,0.044434115290641785,0.07334937900304794,0.18992368876934052,0.9768837094306946,1.3540397882461548,1.271733045578003,0.5613145232200623,1.0,1.0,pretrain,222,23,
5300,0.0028612525202333927,0.01837347261607647,-0.03444945812225342,-0.033568765968084335,-0.02999701164662838,0.015330834314227104,0.052935823798179626,0.04797953739762306,0.11030500382184982,0.9756450653076172,1.389940619468689,1.2420156002044678,0.5688834190368652,1.0,1.0,pretrain,227,3,
5400,0.0031946133822202682,0.018700936809182167,-0.03280669450759888,-0.03387049213051796,-0.02531498670578003,0.017599787563085556,0.08039248734712601,0.10331326723098755,0.1117594987154007,0.9801273345947266,1.378938913345337,1.2693419456481934,0.548430860042572,1.0,1.0,pretrain,231,7,
5500,0.002865296322852373,0.009692379273474216,-0.01822439581155777,-0.02061198465526104,-0.027787670493125916,0.016396068036556244,0.09050636738538742,0.08203785121440887,0.13570378720760345,0.979255199432373,1.3587775230407715,1.2726898193359375,0.5608307123184204,1.0,1.0,pretrain,235,11,
5600,0.0029812513384968042,0.02597765065729618,-0.03965170308947563,-0.038168419152498245,-0.03178242966532707,0.015224727801978588,0.08170397579669952,0.08839930593967438,0.1481892615556717,0.9795226454734802,1.3659577369689941,1.2788043022155762,0.549508273601532,1.0,1.0,pretrain,239,15,
5700,0.0023896906059235334,0.024010123685002327,-0.030369529500603676,-0.03159983456134796,-0.03066132962703705,0.01695406809449196,0.03200185298919678,0.02785477042198181,0.1063418760895729,0.9803096055984497,1.3693065643310547,1.26676344871521,0.5697831511497498,1.0,1.0,pretrain,243,19,
5800,0.002572492463514209,0.01677819713950157,-0.02555496245622635,-0.031488481909036636,-0.03383529186248779,0.0171688050031662,0.08462280035018921,0.037374526262283325,0.16705763339996338,0.9814502596855164,1.343933343887329,1.291393518447876,0.5584940910339355,1.0,1.0,pretrain,247,23,
5900,0.003994555678218603,0.027996903285384178,-0.039346154779195786,-0.03857586532831192,-0.03615619242191315,0.018146976828575134,0.04590440168976784,0.03835737705230713,0.06221022829413414,0.980364203453064,1.3384941816329956,1.3046021461486816,0.5637056231498718,1.0,1.0,pretrain,252,3,
6000,0.0027321050874888897,0.017914826050400734,-0.0346701480448246,-0.039103031158447266,-0.03328927606344223,0.018238050863146782,0.03802105039358139,0.08587262034416199,0.08876047283411026,0.9824618101119995,1.3295245170593262,1.3055578470230103,0.5688366889953613,1.0,1.0,pretrain,256,7,
6100,0.004734315909445286,0.027703678235411644,-0.03437764197587967,-0.03738205507397652,-0.039689820259809494,0.0169025007635355,0.06525541096925735,0.04020066186785698,0.12682698667049408,0.9817730188369751,1.3534072637557983,1.2786788940429688,0.5624345541000366,1.0,1.0,pretrain,260,11,
6200,0.002561231842264533,0.023842409253120422,-0.033740755170583725,-0.03562930226325989,-0.03407122194766998,0.014960604719817638,0.031531091779470444,0.026013493537902832,0.05466904491186142,0.9828883409500122,1.3687468767166138,1.264884352684021,0.5703180432319641,1.0,1.0,pretrain,264,15,
6300,0.0030036969110369682,0.026682596653699875,-0.04374628886580467,-0.04332205653190613,-0.03577751666307449,0.018657363951206207,0.08956079185009003,0.08788589388132095,0.10467376559972763,0.9827200174331665,1.3593146800994873,1.2754052877426147,0.5737762451171875,1.0,1.0,pretrain,268,19,
6400,0.004183119162917137,0.02921488508582115,-0.04418675974011421,-0.04863521456718445,-0.04241003096103668,0.017733804881572723,0.04245312884449959,0.08968076854944229,0.07684998214244843,0.9822956919670105,1.3442859649658203,1.2981759309768677,0.5683890581130981,1.0,1.0,pretrain,272,23,
6500,0.0031538675539195538,0.0353592187166214,-0.04474354535341263,-0.04554498940706253,-0.04965943470597267,0.01582985743880272,0.06183931604027748,0.06023174151778221,0.07093556970357895,0.9840196371078491,1.3515201807022095,1.2862132787704468,0.5688071250915527,1.0,1.0,pretrain,277,3,
6600,0.004572474863380194,0.04011036083102226,-0.048377085477113724,-0.04990367591381073,-0.05035499855875969,0.016231907531619072,0.03788426145911217,0.0286747757345438,0.09006086736917496,0.9835638999938965,1.343246579170227,1.2762247323989868,0.5610734224319458,1.0,1.0,pretrain,281,7,
6700,0.0025203092955052853,0.024131063371896744,-0.03669215366244316,-0.03609399497509003,-0.03476281836628914,0.018000774085521698,0.035328395664691925,0.03355759382247925,0.14859317243099213,0.9848901033401489,1.3443167209625244,1.2946878671646118,0.5668108463287354,1.0,1.0,pretrain,285,11,
6800,0.003102960530668497,0.02374306321144104,-0.03915493190288544,-0.0326017290353775,-0.042840246111154556,0.01648375764489174,0.07824846357107162,0.1174725666642189,0.24903817474842072,0.9839497804641724,1.3023886680603027,1.3295636177062988,0.570842444896698,1.0,1.0,pretrain,289,15,
6900,0.00292107742279768,0.02265980653464794,-0.03750638663768768,-0.04103980213403702,-0.038505226373672485,0.016197621822357178,0.02684207633137703,0.039597876369953156,0.08840911835432053,0.9825202226638794,1.3252720832824707,1.3082729578018188,0.5717219114303589,1.0,1.0,pretrain,293,19,
7000,0.003677541855722666,0.03388920798897743,-0.04685904458165169,-0.04776536300778389,-0.035490963608026505,0.015301395207643509,0.11472138017416,0.1388818770647049,0.19758343696594238,0.9822597503662109,1.3081772327423096,1.3161507844924927,0.5612472295761108,1.0,1.0,pretrain,297,23,
7100,0.0033562981989234686,0.02620064653456211,-0.03839956223964691,-0.03565248101949692,-0.04161038622260094,0.013872487470507622,0.054133713245391846,0.07063976675271988,0.15378260612487793,0.9818740487098694,1.3465282917022705,1.3078479766845703,0.5626002550125122,1.0,1.0,pretrain,302,3,
7200,0.0025485954247415066,0.026844725012779236,-0.034597381949424744,-0.03871838003396988,-0.038590144366025925,0.016403071582317352,0.04050825908780098,0.030124906450510025,0.13865546882152557,0.983473002910614,1.3313329219818115,1.3135628700256348,0.5697345733642578,1.0,1.0,pretrain,306,7,
7300,0.0037200211081653833,0.023255793377757072,-0.03713183104991913,-0.03713515028357506,-0.037963397800922394,0.016799455508589745,0.03633013367652893,0.038225580006837845,0.10170836001634598,0.9850502014160156,1.343017339706421,1.2989023923873901,0.5666875839233398,1.0,1.0,pretrain,310,11,
7400,0.0035204554442316294,0.03405344858765602,-0.04591419920325279,-0.053351178765296936,-0.04650215804576874,0.019397538155317307,0.032195210456848145,0.07525919377803802,0.2171214371919632,0.9851388335227966,1.3498413562774658,1.2973909378051758,0.5580992698669434,1.0,1.0,pretrain,314,15,
7500,0.0029594148509204388,0.021949786692857742,-0.036982834339141846,-0.044960327446460724,-0.03406152501702309,0.018937841057777405,0.04368853569030762,0.11461257189512253,0.31335365772247314,0.9860060214996338,1.3297715187072754,1.3168185949325562,0.5707963705062866,1.0,1.0,pretrain,318,19,
7600,0.003721965942531824,0.026222866028547287,-0.04167996346950531,-0.04146994277834892,-0.04039553552865982,0.013997845351696014,0.03692800924181938,0.03764372318983078,0.15713150799274445,0.9868553876876831,1.3836631774902344,1.2791770696640015,0.5608157515525818,1.0,1.0,pretrain,322,23,
7700,0.0037996401078999043,0.036110565066337585,-0.050827883183956146,-0.05199088156223297,-0.04882665351033211,0.015461655333638191,0.03713773190975189,0.0451844297349453,0.09654691815376282,0.9871600866317749,1.3663959503173828,1.290107011795044,0.5604891777038574,1.0,1.0,pretrain,327,3,
7800,0.0034350305795669556,0.028383474797010422,-0.043675921857357025,-0.041087061166763306,-0.043273162096738815,0.014171373099088669,0.03232631832361221,0.04045400395989418,0.1720578670501709,0.986854612827301,1.3598346710205078,1.2909820079803467,0.5622968673706055,1.0,1.0,pretrain,331,7,
7900,0.004494575317949057,0.03430420160293579,-0.04212816432118416,-0.04621870815753937,-0.04689161479473114,0.0162494033575058,0.05891823396086693,0.04261491447687149,0.08625531196594238,0.9861551523208618,1.361613392829895,1.2827963829040527,0.5680423378944397,1.0,1.0,pretrain,335,11,
8000,0.002692368347197771,0.02769068069756031,-0.04194861650466919,-0.04765474051237106,-0.04328274726867676,0.017443222925066948,0.03369175270199776,0.06802317500114441,0.3709927499294281,0.9898210763931274,1.371046543121338,1.275214672088623,0.5717401504516602,1.0,1.0,pretrain,339,15,
8100,0.0027747030835598707,0.03120218776166439,-0.04281412065029144,-0.0429656021296978,-0.04539228230714798,0.01563188247382641,0.04393322020769119,0.038847628980875015,0.30739060044288635,0.9898350238800049,1.3623464107513428,1.2880473136901855,0.5747181177139282,1.0,1.0,pretrain,343,19,
8200,0.002725487807765603,0.04455716162919998,-0.05731026828289032,-0.060195356607437134,-0.044792644679546356,0.015867527574300766,0.11398905515670776,0.168413907289505,0.22507263720035553,0.9880985021591187,1.3442885875701904,1.2926255464553833,0.5749698877334595,1.0,1.0,pretrain,347,23,
8300,0.0027804600540548563,0.029133567586541176,-0.04034408926963806,-0.03929026797413826,-0.040099576115608215,0.015791893005371094,0.026854170486330986,0.029697934165596962,0.22914530336856842,0.9900876879692078,1.3649787902832031,1.286367416381836,0.5644633769989014,1.0,1.0,pretrain,352,3,
8400,0.0036835945211350918,0.028573039919137955,-0.046112485229969025,-0.047175340354442596,-0.04328671842813492,0.015877246856689453,0.041120532900094986,0.05085771158337593,0.09354118257761002,0.9898873567581177,1.3575905561447144,1.294442892074585,0.5693389177322388,1.0,1.0,pretrain,356,7,
8500,0.003013168927282095,0.045721277594566345,-0.05979657173156738,-0.057030800729990005,-0.04750652238726616,0.01434024702757597,0.11686056852340698,0.1113463044166565,0.11751673370599747,0.9893491864204407,1.3624773025512695,1.2893370389938354,0.5678189992904663,1.0,1.0,pretrain,360,11,
8600,0.002547717187553644,0.037126004695892334,-0.046570416539907455,-0.04648098722100258,-0.03625233471393585,0.015521223656833172,0.11011550575494766,0.11461896449327469,0.10380696505308151,0.9888325929641724,1.3565239906311035,1.2988171577453613,0.5674894452095032,1.0,1.0,pretrain,364,15,
8700,0.002899518935009837,0.02858932688832283,-0.04058816283941269,-0.04934391751885414,-0.04369410127401352,0.017551487311720848,0.04802331328392029,0.07324476540088654,0.07165227830410004,0.9885892868041992,1.3590434789657593,1.2922332286834717,0.5596829652786255,1.0,1.0,pretrain,368,19,
8800,0.002405660692602396,0.04264971613883972,-0.051405202597379684,-0.052494458854198456,-0.04411928728222847,0.01775379292666912,0.0736243799328804,0.09111526608467102,0.11660400032997131,0.9898501634597778,1.3754711151123047,1.2929272651672363,0.5525884032249451,1.0,1.0,pretrain,372,23,
8900,0.004003556910902262,0.029052753001451492,-0.0373593345284462,-0.042130134999752045,-0.04702945053577423,0.01684695854783058,0.08991207927465439,0.060593124479055405,0.1714853197336197,0.9917105436325073,1.377446174621582,1.2952648401260376,0.5603249073028564,1.0,1.0,pretrain,377,3,
9000,0.0035060825757682323,0.04183777794241905,-0.05815032124519348,-0.05419774726033211,-0.045960746705532074,0.015194030478596687,0.12159617245197296,0.09817446768283844,0.07346753776073456,0.9904755353927612,1.342029333114624,1.319840669631958,0.5606940984725952,1.0,1.0,pretrain,381,7,
9100,0.0035090437158942223,0.04208001121878624,-0.05097166821360588,-0.05090689659118652,-0.051938269287347794,0.015604916960000992,0.050465866923332214,0.03652883693575859,0.11649919301271439,0.991239607334137,1.3500264883041382,1.3084673881530762,0.5641589164733887,1.0,1.0,pretrain,385,11,
9200,0.0025734114460647106,0.028231540694832802,-0.04185336083173752,-0.046204615384340286,-0.04449637979269028,0.01713675633072853,0.04786063730716705,0.038599830120801926,0.14287874102592468,0.9918341636657715,1.3808410167694092,1.2916183471679688,0.5622315406799316,1.0,1.0,pretrain,389,15,
9300,0.002863130997866392,0.027980204671621323,-0.0446212962269783,-0.04342333972454071,-0.047664932906627655,0.015313390642404556,0.04008587449789047,0.06607083976268768,0.08457159250974655,0.9916853308677673,1.3741531372070312,1.3007137775421143,0.556299090385437,1.0,1.0,pretrain,393,19,
9400,0.0026757321320474148,0.03896729648113251,-0.05292356014251709,-0.05226350203156471,-0.04512016847729683,0.016673129051923752,0.07740981131792068,0.07853809744119644,0.07427085936069489,0.9922074675559998,1.3458209037780762,1.3120737075805664,0.5622605085372925,1.0,1.0,pretrain,397,23,
9500,0.002792161889374256,0.030771329998970032,-0.04507333040237427,-0.046288542449474335,-0.03814622014760971,0.014210163615643978,0.07352728396654129,0.09166354686021805,0.10597109794616699,0.9903795719146729,1.3080565929412842,1.3216453790664673,0.5730457305908203,1.0,1.0,pretrain,402,3,
9600,0.003212605370208621,0.03254774212837219,-0.04295717924833298,-0.043959178030490875,-0.05192454531788826,0.018863333389163017,0.08928118646144867,0.09209701418876648,0.10211603343486786,0.9912941455841064,1.3472005128860474,1.3211205005645752,0.5674874186515808,1.0,1.0,pretrain,406,7,
9700,0.0030327325221151114,0.03972245380282402,-0.05110828951001167,-0.052506931126117706,-0.04257797822356224,0.014150687493383884,0.08447970449924469,0.11048281937837601,0.11583473533391953,0.9926228523254395,1.3727285861968994,1.300163745880127,0.5511218309402466,1.0,1.0,pretrain,410,11,
