stage,pass,episode,reward,noise,terminal_wealth,mean_turnover,q95_turnover,mean_cvar,mean_gross_exposure,fraction_at_gross_cap,mean_short_notional,max_abs_weight,mean_leverage_gate,q95_leverage_gate,mean_direction_entropy,total_actions,update_count
pretrain,,1,0.07293957353677645,0.15,121890.01284606697,1.0735731613600539,1.8577295286314826,0.08887388848324133,1.0682094594729798,0.0,0.03410472973648991,0.5433170071669987,0.5512978434562683,0.8669687211513518,0.8801754315694174,24,0
pretrain,,2,-0.11815283297377191,0.1497,97963.27175165567,0.9917981776275804,1.529215236008167,0.08113508312816632,1.0411549526311104,0.0,0.02057747631555512,0.5770015099218913,0.4679276278863351,0.8554578363895414,0.8254415268699328,48,0
pretrain,,3,0.2401188649071867,0.1494006,150766.59572880543,0.9457054783900579,1.4364077133791786,0.0805035305625796,1.0299365522251243,0.0,0.014968276112562138,0.512047352535384,0.4622378791682422,0.7693445354700086,0.8388125946124395,72,0
pretrain,,4,-0.5275946885738634,0.1491017988,70166.8938075349,1.0468122751585074,2.027855903229543,0.08535096235257245,1.0489011892960185,0.0,0.02445059464800926,0.5686337926558085,0.502103528007865,0.9026282757520675,0.9057343204816183,96,0
pretrain,,5,-0.08621140213961079,0.1488035952024,102027.87659085671,1.214981957383099,1.8387453397469862,0.08840592763098855,1.0735508569826682,0.0,0.036775428491334125,0.531804692532335,0.5722637459014853,0.8229496091604233,0.827997624874115,120,0
pretrain,,6,0.031785038435703905,0.1485059880119952,114318.85932395606,0.9337146044487046,1.6779728365795952,0.0778905455729061,1.0293911236027877,0.0,0.014695561801393827,0.48351425038916723,0.3855861301223437,0.70168337225914,0.8107543513178825,144,17
pretrain,,7,0.13487018727464375,0.14820897603597122,130417.51102329575,0.9832713588894832,1.5490883610078268,0.08196801172785971,1.0422452218121006,0.0,0.02112261090605032,0.4947862508041518,0.5117729349682728,0.8594280868768691,0.8035364747047424,168,41
pretrain,,8,-0.06954571834712088,0.14791255808389928,102960.72750047936,1.1168673968918268,1.6805244788527485,0.08191800813887376,1.0653352288617974,0.0,0.03266761443089872,0.5220362639852932,0.5516029667730132,0.7992665708065033,0.8107733304301897,192,65
pretrain,,9,0.050705881130887774,0.14761673296773145,118023.45838885668,1.1892887395584866,1.712941454031638,0.0850041106338774,1.05866081311944,0.0,0.02933040655971993,0.538609681384904,0.519664396221439,0.8924174219369888,0.8259374300638834,216,89
pretrain,,10,0.1781171629855471,0.14732149950179602,137191.27159799807,0.9533166604205258,1.7091581331832064,0.07747790952740365,1.0515730837803512,0.0,0.025786541890175572,0.5512967578002385,0.4576653838157654,0.8422019332647322,0.8295405333240827,240,113
pretrain,,11,0.37147541895486946,0.1470268565027924,188197.62849921393,0.970741573632473,1.4688395039311475,0.08097354782480666,1.0567805223344335,0.0,0.02839026116721687,0.5480027049779892,0.48843459381411475,0.8818370401859282,0.833836168050766,264,137
pretrain,,12,-0.016544237243179476,0.14673280278978681,108904.82291751684,0.8899326915187497,1.4737103167389118,0.08192604834482942,1.0482076852626743,0.0,0.02410384263133719,0.5556205958127975,0.46378298103809357,0.8742431402206416,0.8063347736994425,288,161
pretrain,,13,-0.40356324238348235,0.14643933718420726,76484.22714816197,1.0003248904609965,1.5005288279482296,0.08008677215052885,1.0525931331018608,0.0,0.02629656655093034,0.5326841580016273,0.45317792147397995,0.8308094710111616,0.8543561697006226,312,185
pretrain,,14,0.020657815815249427,0.14614645850983884,113733.82820338308,0.981859544469487,1.5695675001612732,0.08341358582746128,1.0178876865122999,0.0,0.008943843256149974,0.48288792797497343,0.47476837535699207,0.8264308691024778,0.787752332786719,336,209
pretrain,,15,-0.0009746888080419402,0.14585416559281916,110464.98018356402,0.9675960190416801,1.467580268744911,0.0797586796728138,1.0308212877384255,0.0,0.015410643869212698,0.5034301238400596,0.47386970883235335,0.7980977147817612,0.8491736700137457,360,233
pretrain,,16,0.15957306392869328,0.14556245726163353,135406.38240670576,1.1462989662374767,2.010590666958264,0.08492442555329671,1.0987508691669927,0.0,0.04937543458349649,0.5110208881752831,0.6023955208559831,0.8009306609630584,0.8034589439630508,384,257
pretrain,,17,-0.15701820878268483,0.14527133234711026,93815.04712744262,1.0376393693898405,1.6151309879762783,0.07590926727571333,1.0530735009482928,0.0,0.026536750474146432,0.5117440266268594,0.5102768091795346,0.8029662191867828,0.8467051237821579,408,281
pretrain,,18,-0.15701492314870308,0.144980789682416,94189.17171440863,0.9705484874014342,1.500117543446166,0.07943479691955786,1.0485876349820977,0.0,0.024293817491048864,0.5379155224987439,0.445617879430453,0.7758677721023559,0.8284453600645065,432,305
pretrain,,19,0.2386117055826167,0.1446908281030512,151954.40075551247,0.971761987145458,1.5390287902738367,0.08608011099828673,1.0307012095692611,0.0,0.015350604784630595,0.5499783137014933,0.5043620492021242,0.8283647149801253,0.8195003047585487,456,329
pretrain,,20,-0.16805221779137797,0.1444014464468451,93563.49126763649,0.9662611452596529,1.7299853340855664,0.08271605510549011,1.0581008990605671,0.0,0.029050449530283615,0.5729160947459084,0.49819572642445564,0.8857666999101637,0.8877254699667295,480,353
pretrain,,21,-0.02494298899349771,0.1441126435539514,107110.10952179894,0.8675766881732714,1.298598361547504,0.07610358356434074,1.0167153777465934,0.0,0.008357688873296694,0.5259478209274155,0.4494912922382355,0.766548830270767,0.8925722042719523,504,377
pretrain,,22,-0.19808067242299104,0.1438244182668435,90733.75020060128,1.016772368124553,1.5093983326639446,0.07996245822298192,1.0334345784393095,0.0,0.016717289219654746,0.5223446509667805,0.5312066103021303,0.7814248353242873,0.8455122907956442,528,401
pretrain,,23,0.11125416234375951,0.14353676943030982,125960.35500928145,0.9023121182052861,1.4002740287355009,0.07903770742866517,1.0416232415785391,0.0,0.020811620789269607,0.5217210033110209,0.48990528533856076,0.7797467708587646,0.8456499725580215,552,425
pretrain,,24,0.06533840362118597,0.1432496958914492,120451.61410408544,1.1734476166644268,1.6165729604661463,0.08704392782190373,1.0453258302240145,0.0,0.022662915112007232,0.5497299922364098,0.5439102320621411,0.799047788977623,0.8826280708114306,576,449
pretrain,,25,0.2895122118121865,0.1429631964996663,162800.0706635638,0.8655051024009784,1.3378746456333566,0.08019786712783922,1.0233107549803597,0.0,0.011655377490179883,0.4957162067294121,0.4734465101112922,0.7961695849895476,0.8440263147155443,600,473
pretrain,,26,-0.2133858535253833,0.14267727010666698,89611.46943793334,1.0591134122085004,1.787638209440878,0.08121439313133332,1.0498048770463182,0.0,0.024902438523159143,0.5200286411813326,0.5397088993340731,0.7989837914705276,0.830363817512989,624,497
pretrain,,27,0.11427685990721309,0.14239191556645361,127526.41172263848,0.8363817701382298,1.1235530258289406,0.08464321011865544,1.0135499808405126,0.0,0.006774990420256343,0.5011041121823447,0.4388353315492471,0.7416250348091126,0.8575064813097318,648,521
pretrain,,28,-0.049670130885822936,0.14210713173532072,105008.02012013602,0.8939983317007621,1.4700194001197813,0.08113493150227653,1.0392809297357288,0.0,0.019640464867864343,0.5632007207189287,0.4467948798555881,0.8950563639402387,0.8133247743050257,672,545
pretrain,,29,-0.08722822782161713,0.14182291747185008,100450.26681284279,1.0564983769186904,1.9535933197609014,0.07642559400646817,1.0482662917070444,0.0,0.02413314585352228,0.5642509385943413,0.5262431142230829,0.8733712941408156,0.8748832022150358,696,569
pretrain,,30,0.07926565639792454,0.14153927163690638,121253.43485729228,0.9289114144408988,1.5395611656563617,0.08001286565976569,1.0275704569759823,0.0,0.013785228487991153,0.5318982558591026,0.4396288863693674,0.8373771667480466,0.8300867900252342,720,593
