window_episodes,metric,value,maximum,pass
100,mean_leverage_gate,0.9993863037476938,0.95,False
100,fraction_at_gross_cap,0.0,0.75,True
100,max_abs_weight,0.5984705972032888,0.61,True
100,mean_turnover,0.5848205197815384,1.0,True
