"mode","file","sha256","pretrain_episodes","finetune_episodes","evaluation_data_accessed"
"historical_prefix_repeated","data/ablation_training_bundles/historical_prefix_repeated.RData","1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e",1000,61,FALSE
"moving_block_bootstrap","data/ablation_training_bundles/moving_block_bootstrap.RData","0f82cd46391b4c7e08e34470826fef3886cb14a8f3cbf67966a70af36a6bf2a9",1000,61,FALSE
