seed,output_dir,training_status,sanity_status,no_holdout_gate_pass,pretrained_mean_reward,full_mean_reward,finetune_reward_delta,pretrained_mean_terminal_wealth,full_mean_terminal_wealth,finetune_terminal_wealth_delta,full_mean_cvar,full_median_turnover,full_mean_leverage_gate,full_std_leverage_gate,full_mean_normalized_entropy,full_mean_effective_positions,full_zero_vine_median_action_l1,full_zero_market_median_action_l1,full_zero_market_median_gate_change
20260841,data/no_vine_rl_runs_4gpu/seed_20260841,0,0,False,-0.0005500235499305,0.127610137022029,0.128160160571959,117466.730036363,129670.994673457,12204.264637094,0.0726440900363348,0.165040277742914,0.807643358783969,0.0172100413220101,0.787094243763924,3.54614968996882,0.0398225858807564,1.93197870254517,0.132161736488342
20260842,data/no_vine_rl_runs_4gpu/seed_20260842,0,0,True,0.121483893246562,0.158643967477225,0.0371600742306629,129126.817137745,133898.329692043,4771.51255429766,0.0697232634929988,0.433238109440676,0.809586174582523,0.0157051184092139,0.834819947315949,3.97154001850899,0.0967972502112389,0.958109706640244,0.0903988778591156
20260843,data/no_vine_rl_runs_4gpu/seed_20260843,0,0,False,0.188441870325673,0.151675253154925,-0.0367666171707486,139601.638764169,132403.255134089,-7198.38363008044,0.0638562128879107,0.252851902906384,0.806509782626329,0.0106106009650842,0.807117286884768,3.58439731532759,0.0419609192758799,1.61311662197113,0.261898010969162
20260844,data/no_vine_rl_runs_4gpu/seed_20260844,0,0,True,0.129259892092308,0.156830305788715,0.0275704136964063,128761.049153999,135812.234754125,7051.18560012533,0.0760478634694949,0.690812772405999,0.800050644112415,0.0186392228873981,0.858013876990855,4.0167840680138,0.0881360806524754,1.60185885429382,0.0788260996341705
20260845,data/no_vine_rl_runs_4gpu/seed_20260845,0,0,True,0.123770608033914,0.138728131136333,0.014957523102419,125162.405477352,127117.157189957,1954.75171260533,0.0567719257542181,0.535048056926046,0.800858360699943,0.019485004650968,0.844415776295735,3.9544824319459,0.0509484224021435,1.22909426689148,0.115159928798676
20260846,data/no_vine_rl_runs_4gpu/seed_20260846,0,0,False,0.136848250355759,0.153195949898946,0.0163476995431874,129761.145682558,129810.487946591,49.3422640330391,0.0593313502796102,0.279759508956756,0.812151666750999,0.020840034098817,0.776873928812086,3.45045679416813,0.0184296807274222,0.801655054092407,0.166838109493256
20260847,data/no_vine_rl_runs_4gpu/seed_20260847,0,0,True,0.0834694458456525,0.130843464535125,0.0473740186894726,121970.231619627,132196.580870218,10226.3492505913,0.0717101584751679,0.441599837105189,0.81021785919295,0.0170289850235936,0.818493464463453,3.76450202683282,0.0761089846491814,1.57445853948593,0.189424157142639
20260848,data/no_vine_rl_runs_4gpu/seed_20260848,0,0,True,0.0998830388958805,0.0784777459148849,-0.0214052929809957,122181.844507004,119954.917277749,-2226.92722925529,0.0626051267072902,0.300794564187527,0.8020552747318,0.0147275180824393,0.808768870366848,3.65320238471031,0.203981131315231,1.43074971437454,0.264333724975586
20260849,data/no_vine_rl_runs_4gpu/seed_20260849,0,0,True,0.104539403741125,0.135372873439401,0.030833469698276,122962.118941323,130165.81026413,7203.69132280776,0.063907255543479,0.5342200640589,0.801809227613152,0.0165973239221832,0.830757215562082,3.87323180525029,0.146131753921509,1.0901415348053,0.219468086957932
20260850,data/no_vine_rl_runs_4gpu/seed_20260850,0,0,True,0.110788073476392,0.11551917746092,0.0047311039845282,125079.785670487,126626.202388871,1546.41671838409,0.0663002723889662,0.464754644781351,0.809328824525974,0.0134795971193954,0.865548745695199,4.16415297643083,0.273820251226425,1.44309586286545,0.185674726963043
