"window_id","decision_date","holding_end_date","trading_days","is_complete_period","g_SP500","g_NASDAQ","g_DOW","g_SSE50","g_DIVIDEND","g_CHINEXT","g_GOLD"
"locked_oos_v1",2024-07-31,2024-08-30,22,TRUE,1.02283470738043,1.0064902552021,1.01763564672913,0.986195696305319,0.966698997736825,0.936067551266586,1.01635991820041
"locked_oos_v1",2024-08-30,2024-09-30,18,TRUE,1.02019688797176,1.02684627793577,1.0184555700652,1.19761218608481,1.13678929765886,1.43814432989691,1.03493689409182
"locked_oos_v1",2024-09-30,2024-10-31,18,TRUE,0.990103254154461,0.994831017549624,0.986612673911629,0.942248195256102,0.925566343042071,0.950716845878136,1.06822198656769
"locked_oos_v1",2024-10-31,2024-11-29,20,TRUE,1.05730129762591,1.0620616891916,1.0753574400248,0.996716526815031,1.01748251748252,1.02686145146089,0.970218398411648
"locked_oos_v1",2024-11-29,2024-12-31,21,TRUE,0.97500986302272,1.00481965865005,0.947308050889776,1.00219619326501,1.04686035613871,0.964662689307022,1.00085266030014
"locked_oos_v1",2024-12-31,2025-01-27,16,TRUE,1.02221321338155,1.00160754678563,1.05099069535624,0.965303140978817,0.926589077887198,0.964795432921028,1.04617481683421
"locked_oos_v1",2025-01-27,2025-02-28,17,TRUE,0.990389702089381,0.974430826983626,0.980483156636485,1.02345819144911,0.969404186795491,1.04930966469428,1.03876221498371
"locked_oos_v1",2025-02-28,2025-03-31,21,TRUE,0.942455302712233,0.917866543209767,0.958049490952402,1.00739371534196,1.02093023255814,0.969924812030075,1.0876450297899
"locked_oos_v1",2025-03-31,2025-04-30,20,TRUE,0.992375063617611,1.00850062197072,0.968277466323514,0.988256880733945,0.988610478359909,0.930717054263566,1.0664552400173
"locked_oos_v1",2025-04-30,2025-05-30,18,TRUE,1.06152381081325,1.09557440861327,1.03935913728703,1.02079465280356,1.02764976958525,1.02654867256637,0.986077318194106
"locked_oos_v1",2025-05-30,2025-06-30,19,TRUE,1.04960684761222,1.06571017068453,1.04316764053264,1.02109858130229,1.00960922485586,1.0816430020284,0.993145990404387
"locked_oos_v1",2025-06-30,2025-07-31,22,TRUE,1.02166655584117,1.03695260749202,1.00082120851091,1.03277520484503,1.01871827411168,1.07876230661041,1.00469289164941
"locked_oos_v1",2025-07-31,2025-08-29,21,TRUE,1.01906645562008,1.01577011722675,1.03203868085369,1.0734736115902,0.993148551853005,1.24511082138201,1.01827174062371
"locked_oos_v1",2025-08-29,2025-09-30,21,TRUE,1.03532368775633,1.05613731404831,1.01872903651523,1.00449871465296,0.966447162119787,1.12286212914485,1.17781975175391
"locked_oos_v1",2025-09-30,2025-10-31,17,TRUE,1.02268686663298,1.04699676696521,1.02510847982387,1.01087651951376,1.05126541207008,0.984146720547094,1.05120274914089
"locked_oos_v1",2025-10-31,2025-11-28,19,TRUE,1.00129961108448,0.984856811331629,1.00322837533666,0.985126582278481,0.996913580246913,0.958622867972205,1.03214558134467
"locked_oos_v1",2025-11-28,2025-12-31,22,TRUE,0.999475871961848,0.994706112944985,1.00726934640504,0.99743013170575,0.985448916408669,1.0497528830313,1.02491554054054
"locked_oos_v1",2025-12-31,2026-01-30,19,TRUE,1.01366296106932,1.00945814872601,1.01725183014992,1.01352657004831,0.987747408105561,1.04676710608914,1.18592913061393
"locked_oos_v1",2026-01-30,2026-02-27,14,FALSE,0.991331655615602,0.96617459251791,1.00174777633647,0.992373689227836,1.02798982188295,0.989805097451274,0.992009033266742
"locked_oos_v1",2026-02-27,2026-03-31,22,TRUE,0.949067303820786,0.952462856254792,0.946171456490482,0.929234710214537,1.00587871287129,0.963950318085429,0.887575518781193
"locked_oos_v1",2026-03-31,2026-04-30,20,TRUE,1.10423339439873,1.15292206703622,1.07143981235295,1.05513439007581,1.0276837896032,1.15933375235701,0.996350004932426
"locked_oos_v1",2026-04-30,2026-05-29,17,TRUE,1.05147035588716,1.08357225147322,1.02779981453609,0.978772044415415,0.959592936246633,1.09867172675522,0.971881188118812
"locked_oos_v1",2026-05-29,2026-06-30,21,TRUE,0.989353620032644,0.971864048604756,1.02521411425801,1.0286953620287,0.909544603867748,1.07673328398717,0.891401792991035
"locked_oos_v1",2026-06-30,2026-07-06,3,FALSE,1.00507647326007,0.996469077863153,1.01408108325939,0.987998702562439,1.05932784636488,0.909715857011916,1.03051428571429
